Date,Open,High,Low,Close,Volume
20211013  09:30:00,106.21,106.55,106.21,106.52,2434
20211013  09:30:05,106.54,106.75,106.51,106.56,411
20211013  09:30:10,106.57,106.67,106.5,106.64,361
20211013  09:30:15,106.64,106.81,106.62,106.69,321
20211013  09:30:20,106.71,106.79,106.7,106.75,275
20211013  09:30:25,106.74,106.86,106.71,106.72,416
20211013  09:30:30,106.78,106.85,106.7,106.82,338
20211013  09:30:35,106.79,106.89,106.79,106.84,231
20211013  09:30:40,106.86,106.88,106.74,106.77,253
20211013  09:30:45,106.77,106.85,106.74,106.81,72
20211013  09:30:50,106.82,106.82,106.72,106.74,245
20211013  09:30:55,106.79,106.82,106.71,106.72,166
20211013  09:31:00,106.71,106.74,106.65,106.74,196
20211013  09:31:05,106.74,106.88,106.72,106.86,843
20211013  09:31:10,106.86,107.05,106.85,107.03,849
20211013  09:31:15,107.04,107.1,107.01,107.06,590
20211013  09:31:20,107.07,107.07,107.01,107.03,175
20211013  09:31:25,107.03,107.19,107.01,107.16,408
20211013  09:31:30,107.18,107.28,107.17,107.18,493
20211013  09:31:35,107.17,107.2,106.93,106.99,668
20211013  09:31:40,107.02,107.16,107.01,107.13,174
20211013  09:31:45,107.11,107.13,106.99,107.0,154
20211013  09:31:50,107.02,107.11,107.01,107.08,119
20211013  09:31:55,107.07,107.14,107.06,107.12,186
20211013  09:32:00,107.14,107.29,107.07,107.18,456
20211013  09:32:05,107.15,107.22,107.01,107.02,542
20211013  09:32:10,107.02,107.07,106.97,107.0,219
20211013  09:32:15,107.01,107.05,106.86,106.87,315
20211013  09:32:20,106.88,106.91,106.78,106.89,302
20211013  09:32:25,106.89,106.9,106.74,106.75,208
20211013  09:32:30,106.75,106.8,106.7,106.8,134
20211013  09:32:35,106.78,106.78,106.54,106.55,195
20211013  09:32:40,106.53,106.65,106.52,106.65,200
20211013  09:32:45,106.65,106.65,106.48,106.55,314
20211013  09:32:50,106.56,106.57,106.42,106.44,176
20211013  09:32:55,106.45,106.62,106.45,106.6,280
20211013  09:33:00,106.57,106.71,106.55,106.67,449
20211013  09:33:05,106.68,106.8,106.64,106.72,436
20211013  09:33:10,106.75,106.78,106.73,106.75,139
20211013  09:33:15,106.73,106.79,106.66,106.76,168
20211013  09:33:20,106.75,106.77,106.73,106.74,54
20211013  09:33:25,106.76,106.88,106.75,106.87,107
20211013  09:33:30,106.85,106.9,106.83,106.88,480
20211013  09:33:35,106.84,106.85,106.76,106.76,230
20211013  09:33:40,106.77,106.8,106.74,106.77,91
20211013  09:33:45,106.76,106.84,106.75,106.83,78
20211013  09:33:50,106.78,106.79,106.73,106.76,79
20211013  09:33:55,106.76,106.87,106.75,106.85,99
20211013  09:34:00,106.87,106.89,106.73,106.87,263
20211013  09:34:05,106.87,106.93,106.82,106.93,316
20211013  09:34:10,106.93,107.04,106.93,107.0,295
20211013  09:34:15,106.98,107.02,106.96,107.02,330
20211013  09:34:20,107.0,107.08,107.0,107.05,272
20211013  09:34:25,107.05,107.14,107.05,107.12,186
20211013  09:34:30,107.12,107.18,107.11,107.13,322
20211013  09:34:35,107.14,107.25,107.12,107.17,332
20211013  09:34:40,107.16,107.23,107.14,107.21,307
20211013  09:34:45,107.22,107.25,107.15,107.15,329
20211013  09:34:50,107.18,107.28,107.16,107.23,231
20211013  09:34:55,107.23,107.3,107.22,107.27,239
20211013  09:35:00,107.24,107.46,107.23,107.39,953
20211013  09:35:05,107.37,107.44,107.35,107.43,214
20211013  09:35:10,107.46,107.59,107.46,107.59,435
20211013  09:35:15,107.57,107.61,107.5,107.59,367
20211013  09:35:20,107.55,107.58,107.49,107.57,433
20211013  09:35:25,107.55,107.58,107.53,107.56,244
20211013  09:35:30,107.55,107.66,107.5,107.66,687
20211013  09:35:35,107.66,107.68,107.63,107.66,448
20211013  09:35:40,107.67,107.8,107.65,107.78,556
20211013  09:35:45,107.78,107.79,107.77,107.78,439
20211013  09:35:50,107.78,107.8,107.63,107.64,820
20211013  09:35:55,107.64,107.8,107.64,107.76,255
20211013  09:36:00,107.73,107.8,107.68,107.75,786
20211013  09:36:05,107.73,107.82,107.69,107.8,174
20211013  09:36:10,107.8,107.81,107.66,107.71,194
20211013  09:36:15,107.7,107.71,107.62,107.66,446
20211013  09:36:20,107.67,107.75,107.64,107.75,245
20211013  09:36:25,107.75,107.8,107.72,107.8,668
20211013  09:36:30,107.79,107.9,107.77,107.87,455
20211013  09:36:35,107.87,107.95,107.85,107.95,355
20211013  09:36:40,107.94,108.0,107.92,107.95,1069
20211013  09:36:45,107.95,107.95,107.78,107.81,365
20211013  09:36:50,107.82,107.82,107.68,107.7,501
20211013  09:36:55,107.69,107.72,107.65,107.72,326
20211013  09:37:00,107.7,107.75,107.61,107.75,435
20211013  09:37:05,107.75,107.75,107.67,107.67,231
20211013  09:37:10,107.68,107.68,107.53,107.6,652
20211013  09:37:15,107.62,107.65,107.52,107.53,373
20211013  09:37:20,107.53,107.59,107.53,107.56,367
20211013  09:37:25,107.54,107.64,107.51,107.63,275
20211013  09:37:30,107.64,107.73,107.61,107.62,430
20211013  09:37:35,107.63,107.64,107.58,107.59,81
20211013  09:37:40,107.57,107.65,107.57,107.62,369
20211013  09:37:45,107.62,107.77,107.62,107.74,511
20211013  09:37:50,107.74,107.75,107.7,107.71,194
20211013  09:37:55,107.71,107.74,107.7,107.73,492
20211013  09:38:00,107.73,107.85,107.72,107.79,350
20211013  09:38:05,107.78,107.82,107.72,107.82,154
20211013  09:38:10,107.82,107.83,107.78,107.8,261
20211013  09:38:15,107.78,107.89,107.76,107.86,343
20211013  09:38:20,107.85,107.85,107.8,107.83,161
20211013  09:38:25,107.83,108.01,107.82,107.98,543
20211013  09:38:30,107.99,108.01,107.97,107.98,478
20211013  09:38:35,107.97,107.97,107.85,107.86,191
20211013  09:38:40,107.87,107.87,107.8,107.85,207
20211013  09:38:45,107.86,107.96,107.85,107.93,199
20211013  09:38:50,107.92,107.95,107.87,107.93,212
20211013  09:38:55,107.93,107.93,107.82,107.83,128
20211013  09:39:00,107.87,108.0,107.87,108.0,415
20211013  09:39:05,108.01,108.02,107.94,107.98,473
20211013  09:39:10,107.98,108.05,107.96,108.03,529
20211013  09:39:15,108.03,108.16,108.02,108.14,693
20211013  09:39:20,108.15,108.19,108.13,108.15,233
20211013  09:39:25,108.15,108.15,108.01,108.03,364
20211013  09:39:30,108.05,108.08,108.02,108.06,177
20211013  09:39:35,108.06,108.08,108.03,108.08,116
20211013  09:39:40,108.09,108.12,108.04,108.04,185
20211013  09:39:45,108.04,108.15,108.04,108.12,90
20211013  09:39:50,108.14,108.21,108.12,108.2,260
20211013  09:39:55,108.2,108.26,108.19,108.24,411
20211013  09:40:00,108.25,108.43,108.22,108.38,807
20211013  09:40:05,108.37,108.42,108.35,108.39,424
