Date,Open,High,Low,Close,Volume
20210319,78.41,79.34,77.59,79.06,301949
20210326,79.99,81.27,74.97,77.41,1724024
20210401,77.0,81.31,74.85,81.09,1302873
20210409,81.73,83.79,80.35,82.76,1445068
20210416,82.1,83.95,77.93,82.15,2099968
20210423,82.15,83.3,78.51,82.76,1645420
20210430,83.35,89.2,81.41,81.62,2738911
20210507,81.97,82.0,76.47,78.81,2011894
20210514,78.2,78.3,72.5,74.59,1845783
20210521,74.22,78.81,72.76,77.17,2012311
20210528,77.26,81.09,76.8,80.08,1569338
20210604,81.01,82.91,80.26,81.58,1135157
20210611,81.4,82.65,79.7,81.31,1132609
20210618,81.5,85.77,78.96,84.65,1857786
20210625,83.49,87.14,82.21,85.62,1448078
20210702,86.28,95.27,86.15,94.7,2205771
20210709,94.91,95.44,87.45,90.9,1519310
20210716,91.24,91.9,85.68,85.89,1377109
20210723,84.98,92.37,84.24,92.15,1344178
20210730,92.01,106.97,89.1,106.19,4653422
20210806,105.93,122.49,103.83,110.11,6984724
20210813,111.31,112.33,104.36,110.55,4342807
20210820,110.14,111.58,101.97,104.65,3113868
20210827,105.3,111.78,104.86,111.4,2442330
20210903,112.6,114.49,108.5,109.92,1982329
20210910,109.97,110.58,104.98,105.2,1150427
20210917,105.2,106.82,102.63,103.88,1616217
20210924,101.63,106.86,99.51,105.8,1460652
20211001,105.07,108.44,99.81,102.45,2383924
20211008,101.76,107.95,99.82,105.06,1578858
20211013,104.66,109.88,104.02,109.16,1015593
