Date,Open,High,Low,Close,Volume
20210728,93.44,98.71,89.65,97.93,1239993
20210729,96.58,105.74,96.58,102.95,1480691
20210730,101.6,106.97,101.38,106.19,1142444
20210802,105.93,110.33,103.83,108.63,1045627
20210803,108.13,114.85,107.66,112.56,1433765
20210804,114.44,122.49,114.16,118.77,1994421
20210805,116.62,117.68,111.59,112.35,1218796
20210806,110.56,116.26,109.7,110.11,1292114
20210809,111.31,112.33,107.06,107.58,1031254
20210810,107.89,109.17,104.36,106.48,1030473
20210811,107.65,109.79,105.62,107.68,834538
20210812,107.44,108.44,105.86,106.5,544855
20210813,107.16,111.71,106.57,110.55,901684
20210816,110.14,111.58,105.86,107.48,654455
20210817,106.68,108.7,105.35,107.56,658493
20210818,107.35,108.07,103.27,103.44,680069
20210819,103.32,106.18,101.97,103.7,630153
20210820,104.32,105.98,103.99,104.65,490696
20210823,105.3,109.02,104.86,108.77,601901
20210824,109.45,109.61,107.28,107.65,445409
20210825,108.13,109.91,107.45,108.3,398279
20210826,108.54,109.23,106.84,107.27,459397
20210827,108.01,111.78,107.8,111.4,537342
20210830,112.6,114.49,111.26,111.32,491956
20210831,111.29,111.29,109.03,110.72,429254
20210901,111.3,111.85,109.85,109.99,333374
20210902,110.31,110.88,108.77,109.2,352762
20210903,108.85,111.17,108.5,109.92,374982
20210907,109.97,110.58,108.66,109.15,239890
20210908,108.82,109.3,105.52,106.17,361292
20210909,106.53,107.3,105.84,106.15,273808
20210910,107.04,107.04,104.98,105.2,275436
20210913,105.2,105.28,102.63,104.8,309781
20210914,105.52,106.82,104.42,105.73,357106
20210915,106.04,106.32,104.03,105.6,316535
20210916,104.92,106.75,103.76,106.22,324196
20210917,105.51,105.98,103.71,103.88,308596
20210920,101.63,102.51,99.51,101.55,365186
20210921,102.15,103.43,101.18,102.82,291308
20210922,102.76,104.56,102.21,104.38,294117
20210923,104.89,106.86,103.89,106.15,281941
20210924,105.2,106.05,104.68,105.8,228098
20210927,105.07,108.44,103.44,108.16,459676
20210928,106.79,107.65,101.42,101.52,646543
20210929,102.32,102.66,99.81,100.35,449978
20210930,102.01,104.44,101.99,102.9,491884
20211001,102.6,103.0,100.64,102.45,335841
20211004,101.76,101.85,99.82,100.34,359245
20211005,100.92,102.87,100.61,101.81,264503
20211006,100.6,103.72,100.35,103.64,331750
20211007,104.55,107.95,104.46,106.45,359647
20211008,106.54,107.28,104.89,105.06,263711
20211011,104.66,107.2,104.02,104.68,260375
20211012,105.3,106.04,104.34,105.04,274402
20211013,106.21,109.88,106.21,109.16,480815
