Date,Open,High,Low,Close,Volume
20210312,241.0,241.72,229.7,231.87,294443
20210319,228.41,241.6,225.53,239.79,511284
20210326,235.86,241.12,220.42,227.26,543331
20210401,225.49,232.38,223.5,224.36,476771
20210409,226.53,232.0,221.32,223.31,581663
20210416,237.89,245.69,236.65,238.69,802936
20210423,237.44,238.42,226.07,232.08,376356
20210430,231.5,239.22,230.51,230.95,313730
20210507,231.27,236.17,222.88,225.31,370838
20210514,222.87,225.29,204.39,209.51,895983
20210521,210.62,217.63,209.44,211.06,684037
20210528,210.03,215.46,208.7,213.96,383179
20210604,223.02,223.13,216.3,219.02,350467
20210611,218.1,218.4,211.0,211.64,340094
20210618,212.25,215.17,208.22,212.3,384328
20210625,210.55,230.25,208.99,228.5,466520
20210702,229.5,230.89,216.46,217.75,407011
20210709,215.24,215.4,198.26,205.94,667206
20210716,203.9,216.6,203.02,212.1,509948
20210723,206.1,216.39,203.24,206.53,473445
20210730,198.37,201.14,179.67,195.19,1398237
20210806,196.27,203.28,192.0,196.39,578250
20210813,194.98,198.45,186.71,188.62,429845
20210820,185.0,186.26,155.5,157.96,1736665
20210827,159.28,174.16,152.8,159.47,1742872
20210903,160.14,178.18,158.23,170.3,925469
20210910,174.15,176.84,165.58,168.1,539693
20210917,164.54,166.87,153.67,160.05,804593
20210924,154.4,155.14,144.57,145.08,948613
20211001,144.92,153.73,143.34,144.2,726812
20211004,141.7,141.9,138.43,139.63,179915
