Date,Open,High,Low,Close,Volume
20210719,206.1,209.08,203.24,208.91,101053
20210720,209.0,211.5,207.46,210.59,62771
20210721,209.15,211.85,208.42,211.08,53780
20210722,212.64,216.39,212.6,214.04,71995
20210723,206.29,206.89,203.56,206.53,183845
20210726,198.37,198.58,190.88,191.76,420281
20210727,183.59,186.9,179.67,186.07,443315
20210728,190.23,198.0,189.76,196.01,250075
20210729,200.88,201.14,194.91,197.54,164255
20210730,190.6,196.05,190.49,195.19,120308
20210802,196.27,202.07,196.25,200.09,128264
20210803,195.01,197.44,192.0,197.38,142869
20210804,197.49,203.28,196.91,200.71,154821
20210805,199.27,200.29,197.64,199.28,66911
20210806,199.25,199.32,195.68,196.39,85383
20210809,194.98,195.5,192.82,195.25,106844
20210810,197.27,198.45,195.07,195.73,66583
20210811,196.6,196.92,194.73,194.86,59440
20210812,191.17,192.98,189.68,191.66,88355
20210813,188.61,189.26,186.71,188.62,108620
20210816,185.0,186.26,181.51,182.71,157924
20210817,175.92,177.89,173.15,173.73,276835
20210818,174.12,175.36,172.11,172.35,235536
20210819,166.7,167.27,159.51,160.55,487134
20210820,164.12,166.93,155.5,157.96,579235
20210823,159.28,161.27,152.8,161.06,679516
20210824,169.04,174.16,168.15,171.7,486972
20210825,168.7,169.61,166.08,169.1,198934
20210826,167.46,168.45,164.82,165.24,138158
20210827,159.99,161.77,158.55,159.47,239291
20210830,160.14,163.29,158.23,162.29,184378
20210831,167.7,169.0,166.14,166.99,175188
20210901,169.56,174.79,169.33,173.28,216207
20210902,178.01,178.18,171.67,172.0,228098
20210903,169.53,172.06,168.88,170.3,121596
20210907,174.15,176.84,173.37,175.16,170620
20210908,174.25,174.37,169.26,170.71,132846
20210909,167.3,169.04,165.58,167.32,124966
20210910,171.2,171.64,167.61,168.1,111260
20210913,164.54,166.87,163.02,165.41,112009
20210914,162.86,163.07,159.48,160.15,139208
20210915,157.95,158.03,153.92,157.86,230232
20210916,154.93,157.64,153.67,156.26,161632
20210917,158.48,160.38,158.09,160.05,161511
20210920,154.4,155.14,149.09,151.49,256234
20210921,151.58,152.58,149.57,150.18,140266
20210922,151.47,154.0,151.02,151.89,145543
20210923,152.58,152.68,149.61,151.19,165484
20210924,147.71,148.0,144.57,145.08,241084
20210927,144.92,150.99,144.44,150.18,182630
20210928,152.16,153.73,148.86,152.39,186723
20210929,150.46,152.1,147.48,147.58,126260
20210930,147.03,149.58,146.86,148.05,98725
20211001,147.09,148.45,143.34,144.2,132472
20211004,141.7,141.9,138.43,139.63,179915
