Date,Open,High,Low,Close,Volume
20210326,14.1,14.1144,11.55,13.26,687032
20210401,13.23,15.55,12.02,14.35,988645
20210409,14.545,14.6825,12.31,12.46,713731
20210416,12.17,12.24,9.12,9.86,1261332
20210423,9.6,10.4283,7.94,10.2,1551208
20210430,10.72,10.85,9.58,9.71,1024237
20210507,9.76,9.77,7.66,8.18,907857
20210514,8.04,8.165,6.42,7.75,1218310
20210521,7.73,9.03,7.52,8.91,871334
20210528,9.04,10.58,8.2347,9.82,964483
20210604,9.96,10.63,9.595,9.99,574328
20210611,10.06,12.6199,9.66,10.58,1497783
20210618,10.1,10.265,8.68,8.8,924483
20210625,8.84,9.62,8.49,8.86,840904
20210702,8.95,9.8,8.22,8.38,873993
20210709,8.44,8.75,7.58,8.05,505828
20210716,8.12,8.2,6.53,6.55,759416
20210723,6.3,7.17,6.25,6.4,699221
20210730,6.34,6.69,6.05,6.33,498757
20210806,6.45,6.58,5.88,6.33,534179
20210813,6.39,8.31,6.07,6.14,1627674
20210820,6.21,6.36,5.68,5.78,749221
20210827,5.9,6.53,5.805,6.28,591524
20210903,6.3,6.59,5.94,6.12,585252
20210910,6.16,6.3283,5.55,5.58,621306
20210917,5.62,7.54,5.335,6.55,3228083
20210924,6.23,7.31,5.95,6.97,1274524
20211001,7.07,7.86,6.365,6.43,1072933
20211008,6.35,6.6,5.86,6.39,747377
20211015,6.37,7.85,6.35,7.39,1356391
20211018,7.69,8.93,7.67,8.74,1478122
