Date,Open,High,Low,Close,Volume
20210802,6.45,6.55,6.31,6.33,75139
20210803,6.34,6.35,6.12,6.2,91240
20210804,6.1528,6.32,5.93,5.98,119797
20210805,5.97,6.35,5.88,6.19,118316
20210806,6.43,6.58,6.22,6.33,129685
20210809,6.39,7.528,6.2904,7.22,367222
20210810,7.83,8.31,7.295,7.52,591767
20210811,7.55,7.64,6.75,6.84,327013
20210812,6.8,6.97,6.47,6.69,145786
20210813,6.585,6.61,6.07,6.14,195884
20210816,6.21,6.36,5.94,6.07,211098
20210817,5.97,6.14,5.77,5.92,161609
20210818,5.97,6.315,5.7843,6.07,149999
20210819,5.99,6.1,5.68,5.72,126295
20210820,5.72,5.92,5.69,5.78,100218
20210823,5.9,6.2,5.805,6.14,126022
20210824,6.16,6.39,6.02,6.27,146705
20210825,6.29,6.47,6.12,6.23,103508
20210826,6.16,6.53,6.025,6.12,125972
20210827,6.1597,6.37,6.09,6.28,89314
20210830,6.3,6.3338,5.94,6.21,130571
20210831,6.15,6.3799,6.13,6.24,94265
20210901,6.21,6.525,6.2,6.37,117314
20210902,6.44,6.59,6.32,6.42,112086
20210903,6.42,6.435,6.06,6.12,131015
20210907,6.16,6.3283,5.99,6.0,141720
20210908,6.02,6.055,5.69,5.72,164041
20210909,5.75,6.04,5.7,5.82,135198
20210910,5.97,5.97,5.55,5.58,180345
20210913,5.62,5.75,5.335,5.62,201678
20210914,6.2,7.54,6.12,6.44,2019229
20210915,6.49,6.61,5.89,6.14,549747
20210916,6.07,6.29,6.0,6.15,185166
20210917,6.17,6.55,6.125,6.55,272261
20210920,6.23,6.38,5.97,6.12,213388
20210921,6.28,6.3,5.95,6.0,170890
20210922,6.04,6.75,6.01,6.66,326870
20210923,6.76,7.31,6.61,7.24,373803
20210924,7.02,7.24,6.95,6.97,189571
20210927,7.07,7.79,7.03,7.65,300496
20210928,7.4826,7.86,7.165,7.19,249982
20210929,7.32,7.345,6.56,6.57,230215
20210930,6.6,6.84,6.56,6.69,145093
20211001,6.75,6.81,6.365,6.43,147144
20211004,6.35,6.3699,5.94,6.0,178416
20211005,6.11,6.28,5.98,6.04,149583
20211006,5.92,6.2,5.86,6.07,133106
20211007,6.12,6.46,6.03,6.36,163734
20211008,6.4,6.6,6.335,6.39,122537
20211011,6.37,6.97,6.35,6.71,183854
20211012,6.745,7.04,6.705,6.92,176915
20211013,7.19,7.31,6.93,7.25,265790
20211014,7.38,7.44,6.87,7.22,363278
20211015,7.26,7.85,7.13,7.39,366551
20211018,7.69,8.93,7.67,8.74,1478122
