Date,Open,High,Low,Close,Volume
20210312,43.5,46.1615,40.25,45.5,3918151
20210319,45.55,46.29,40.44,43.35,3730475
20210326,44.07,44.56,34.0,36.13,4622513
20210401,35.26,42.06,34.5,39.66,3656582
20210409,40.54,40.65,36.95,38.12,3213270
20210416,37.96,39.33,34.06,36.09,3404054
20210423,36.77,41.2,35.36,41.08,3912089
20210430,41.93,43.22,37.35,39.84,3711896
20210507,40.34,41.45,35.77,36.94,3086114
20210514,36.78,36.79,30.71,33.42,4278180
20210521,33.33,34.78,32.5914,34.06,2673163
20210528,34.26,39.76,33.56,38.62,2768527
20210604,39.99,42.88,39.94,41.94,2396753
20210611,41.67,46.26,41.44,45.68,2351393
20210618,45.97,48.365,43.77,46.91,2413627
20210625,46.44,46.99,43.81,45.07,1925924
20210702,45.72,55.13,45.5501,50.4,4025481
20210709,49.4,51.7399,42.73,45.53,2826012
20210716,45.97,46.91,42.42,42.8,2363824
20210723,41.49,47.38,40.48,43.99,2259854
20210730,42.67,45.2,38.66,44.68,2931959
20210806,44.65,46.78,43.45,43.84,1984276
20210813,43.66,46.38,40.61,41.03,1607386
20210820,39.46,39.63,36.24,36.92,2442358
20210827,37.44,39.7375,37.04,38.05,1437739
20210903,38.17,41.02,36.64,40.37,1843298
20210910,40.85,41.86,37.55,37.98,1302623
20210917,38.01,39.4,36.5629,37.51,1406047
20210924,36.11,36.5,34.54,35.38,1466238
20211001,35.43,37.03,34.425,35.38,1481024
20211004,35.02,35.02,33.275,33.4,354948
