Date,Open,High,Low,Close,Volume
20210719,41.49,43.67,40.48,43.35,591080
20210720,43.42,44.41,42.4301,44.17,343440
20210721,44.06,47.38,44.0,46.77,546315
20210722,46.96,47.38,45.47,46.07,345717
20210723,43.67,44.5,42.495,43.99,433301
20210726,42.67,44.88,41.93,43.17,479696
20210727,42.44,43.3,38.66,39.36,917978
20210728,40.91,42.0,39.79,41.84,521368
20210729,42.25,43.3,41.64,42.62,419067
20210730,42.36,45.2,41.53,44.68,593848
20210802,44.65,46.78,44.3,45.85,615299
20210803,45.23,45.8,43.76,44.57,417098
20210804,45.47,45.8,44.56,45.09,318274
20210805,44.76,46.3,44.015,45.6,295499
20210806,45.55,45.8,43.45,43.84,338104
20210809,43.66,45.48,43.62,45.21,271684
20210810,45.47,46.38,44.1,44.22,265365
20210811,44.71,45.12,43.15,43.97,287516
20210812,44.35,44.4,41.55,42.47,434141
20210813,41.9,42.28,40.61,41.03,348678
20210816,39.46,39.6,38.07,38.62,577620
20210817,37.46,39.02,36.833,38.1,539764
20210818,38.38,39.63,37.945,38.86,438427
20210819,37.89,38.15,36.24,36.29,502734
20210820,36.63,37.9,36.6,36.92,383810
20210823,37.44,38.38,37.04,38.17,357671
20210824,39.26,39.61,38.63,38.94,339120
20210825,38.66,39.14,38.182,38.95,224119
20210826,38.63,39.7375,37.815,38.26,310666
20210827,38.23,38.47,37.83,38.05,206161
20210830,38.17,38.28,36.64,37.8,335065
20210831,38.24,39.39,37.9,39.31,346004
20210901,37.49,39.93,37.2,39.08,490234
20210902,39.065,41.02,38.9,40.35,400641
20210903,40.11,40.965,39.831,40.37,271352
20210907,40.85,41.86,40.59,40.59,294327
20210908,39.17,39.426,37.81,38.14,447769
20210909,37.98,38.85,37.55,38.45,297428
20210910,38.62,39.52,37.895,37.98,263097
20210913,38.01,38.39,36.5629,38.39,347526
20210914,38.49,39.4,37.69,37.89,279818
20210915,38.0,38.15,36.95,38.03,246627
20210916,37.54,37.67,36.74,37.09,281891
20210917,37.3,37.57,36.97,37.51,250182
20210920,36.11,36.315,34.54,35.17,508867
20210921,35.52,35.8199,34.88,34.9,279121
20210922,35.21,35.825,35.12,35.7,233176
20210923,36.2,36.5,35.57,36.01,238242
20210924,35.59,36.07,35.2,35.38,206830
20210927,35.43,36.86,34.425,36.77,319713
20210928,36.28,37.03,34.94,35.05,330398
20210929,35.44,36.36,35.02,35.13,302842
20210930,35.63,35.98,35.29,35.63,225859
20211001,36.63,36.6698,35.26,35.38,302210
20211004,35.02,35.02,33.275,33.4,354948
