Date,Open,High,Low,Close,Volume
20211013  09:30:00,31.98,32.0,31.92,32.0,9009
20211013  09:30:05,32.0,32.19,31.96,32.08,1499
20211013  09:30:10,32.065,32.14,32.01,32.025,568
20211013  09:30:15,32.025,32.21,32.025,32.2,513
20211013  09:30:20,32.18,32.28,32.16,32.25,916
20211013  09:30:25,32.25,32.26,32.16,32.1703,1348
20211013  09:30:30,32.171,32.171,32.09,32.1591,1318
20211013  09:30:35,32.16,32.16,32.04,32.1002,854
20211013  09:30:40,32.11,32.23,32.1,32.23,675
20211013  09:30:45,32.23,32.26,32.2,32.2274,621
20211013  09:30:50,32.2229,32.35,32.21,32.3475,897
20211013  09:30:55,32.35,32.36,32.295,32.3187,608
20211013  09:31:00,32.31,32.47,32.29,32.4599,1037
20211013  09:31:05,32.469,32.51,32.43,32.4794,1582
20211013  09:31:10,32.47,32.5,32.37,32.45,989
20211013  09:31:15,32.445,32.4585,32.37,32.4484,713
20211013  09:31:20,32.4405,32.48,32.44,32.4523,862
20211013  09:31:25,32.46,32.59,32.46,32.5892,895
20211013  09:31:30,32.572,32.65,32.49,32.5,1423
20211013  09:31:35,32.5017,32.58,32.5,32.535,664
20211013  09:31:40,32.53,32.69,32.49,32.68,904
20211013  09:31:45,32.68,32.6871,32.56,32.57,717
20211013  09:31:50,32.56,32.655,32.56,32.64,387
20211013  09:31:55,32.649,32.75,32.63,32.71,1317
20211013  09:32:00,32.695,32.79,32.58,32.59,1337
20211013  09:32:05,32.58,32.65,32.56,32.57,780
20211013  09:32:10,32.57,32.57,32.5,32.5653,719
20211013  09:32:15,32.565,32.565,32.42,32.4774,709
20211013  09:32:20,32.46,32.4787,32.38,32.405,994
20211013  09:32:25,32.42,32.431,32.36,32.41,829
20211013  09:32:30,32.4299,32.4671,32.39,32.4452,508
20211013  09:32:35,32.47,32.48,32.4,32.41,417
20211013  09:32:40,32.4,32.42,32.33,32.365,520
20211013  09:32:45,32.3501,32.365,32.27,32.3507,549
20211013  09:32:50,32.38,32.4299,32.32,32.3619,500
20211013  09:32:55,32.379,32.42,32.29,32.41,513
20211013  09:33:00,32.4,32.4,32.31,32.31,429
20211013  09:33:05,32.31,32.33,32.25,32.2799,531
20211013  09:33:10,32.2799,32.29,32.17,32.17,831
20211013  09:33:15,32.17,32.26,32.17,32.21,1114
20211013  09:33:20,32.22,32.25,32.19,32.22,840
20211013  09:33:25,32.22,32.32,32.21,32.299,505
20211013  09:33:30,32.31,32.35,32.28,32.29,455
20211013  09:33:35,32.3,32.345,32.28,32.3,321
20211013  09:33:40,32.3,32.33,32.26,32.28,444
20211013  09:33:45,32.27,32.35,32.27,32.3309,453
20211013  09:33:50,32.33,32.56,32.33,32.53,1400
20211013  09:33:55,32.53,32.54,32.4099,32.47,753
20211013  09:34:00,32.47,32.4766,32.3699,32.39,353
20211013  09:34:05,32.39,32.4192,32.3,32.342,574
20211013  09:34:10,32.33,32.36,32.2506,32.26,547
20211013  09:34:15,32.258,32.2699,32.16,32.18,586
20211013  09:34:20,32.1682,32.2391,32.13,32.2247,605
20211013  09:34:25,32.2285,32.3299,32.215,32.3,287
20211013  09:34:30,32.305,32.31,32.24,32.265,282
20211013  09:34:35,32.27,32.32,32.26,32.2897,302
20211013  09:34:40,32.299,32.35,32.28,32.3,378
20211013  09:34:45,32.2954,32.32,32.19,32.19,487
20211013  09:34:50,32.2,32.21,32.1346,32.1346,401
20211013  09:34:55,32.14,32.17,32.07,32.09,604
20211013  09:35:00,32.07,32.1,31.96,31.97,2706
20211013  09:35:05,31.9899,32.0,31.83,31.92,1244
20211013  09:35:10,31.92,31.97,31.87,31.88,652
20211013  09:35:15,31.9,31.97,31.89,31.929,324
20211013  09:35:20,31.93,31.93,31.84,31.865,419
20211013  09:35:25,31.86,31.97,31.84,31.935,563
