Date,Open,High,Low,Close,Volume
20210319,35.09,38.57,34.5,38.28,402641
20210326,38.53,39.45,30.1,34.03,1058784
20210401,33.73,37.75,30.24,35.26,1125001
20210409,35.98,36.13,31.5501,32.3,1179247
20210416,31.364,31.46,24.61,27.24,2012334
20210423,26.64,28.49,23.91,27.98,1704083
20210430,28.74,30.34,27.27,28.51,1417924
20210507,28.55,28.82,21.58,23.05,1493275
20210514,22.66,25.52,18.47,24.58,2596804
20210521,24.33,28.63,23.9309,27.89,1994560
20210528,27.95,31.82,26.66,30.7,1358722
20210604,31.1,32.02,29.81,30.58,920528
20210611,30.75,34.38,29.965,31.85,1002060
20210618,32.01,32.34,28.4,29.17,836498
20210625,29.22,34.245,28.64,31.85,1751644
20210702,32.11,36.04,32.11,32.48,1121625
20210709,32.67,33.61,28.4,29.39,700688
20210716,29.48,29.74,25.88,26.01,828429
20210723,25.05,28.4,24.75,26.81,686761
20210730,26.66,28.1506,25.39,27.28,575612
20210806,27.5,28.7,25.01,25.9,702122
20210813,25.95,30.245,24.86,24.99,1170504
20210820,24.79,26.05,23.53,24.23,913168
20210827,24.39,26.8677,24.25,26.6,577420
20210903,26.57,27.62,25.45,26.4,588413
20210910,26.5,27.15,24.08,24.16,522785
20210917,24.2,26.53,23.16,26.47,690588
20210924,25.42,28.4,25.125,26.97,671691
20211001,27.03,28.83,24.86,25.57,677398
20211008,25.36,27.355,23.805,27.19,597183
20211013,27.19,33.66,27.17,33.59,1112468
