Date,Open,High,Low,Close,Volume
20210728,26.62,28.1506,26.56,27.83,137385
20210729,27.83,28.0801,27.14,27.2,94324
20210730,26.88,27.97,26.71,27.28,86909
20210802,27.5,27.57,26.57,26.62,93869
20210803,26.82,26.87,25.88,26.49,88235
20210804,26.25,27.21,25.69,25.89,111501
20210805,25.65,26.64,25.01,26.0,113982
20210806,28.4,28.7,25.79,25.9,294534
20210809,25.95,28.91,25.86,28.18,343100
20210810,29.52,30.245,28.6017,29.1,271641
20210811,29.57,29.77,26.96,27.4,220382
20210812,27.05,27.42,25.88,26.41,147668
20210813,26.33,26.46,24.86,24.99,187710
20210816,24.79,25.805,24.4,25.1,242677
20210817,24.6,25.955,24.453,25.87,223778
20210818,25.89,26.05,24.91,25.06,173372
20210819,25.04,25.39,23.7,23.76,155896
20210820,23.71,24.52,23.53,24.23,117442
20210823,24.39,25.37,24.25,25.32,122240
20210824,25.54,26.0699,25.24,25.85,124615
20210825,25.87,26.75,25.4,26.41,131183
20210826,26.04,26.8677,25.73,25.9,103882
20210827,26.01,26.865,25.79,26.6,95498
20210830,26.57,26.7,25.45,26.13,151310
20210831,26.2,26.89,25.97,26.06,90913
20210901,26.5,27.4705,26.25,26.93,140831
20210902,27.27,27.62,26.76,27.15,108313
20210903,27.11,27.25,26.25,26.4,97044
20210907,26.5,27.15,26.34,26.8,106568
20210908,26.77,26.85,25.15,25.25,130369
20210909,25.19,25.88,24.78,25.26,96402
20210910,25.55,26.12,24.08,24.16,189444
20210913,24.2,24.79,23.16,24.21,170365
20210914,24.63,25.66,24.4,24.66,176163
20210915,24.49,24.69,24.0,24.63,90750
20210916,24.46,25.01,24.1,24.97,84892
20210917,25.01,26.53,24.99,26.47,168416
20210920,25.42,26.015,25.125,25.72,141537
20210921,25.87,26.47,25.5,26.08,109920
20210922,26.08,27.1,25.82,26.92,131643
20210923,28.03,28.4,27.099,27.77,187034
20210924,27.5,27.58,26.66,26.97,101555
20210927,27.03,28.83,26.49,28.4,172141
20210928,28.0,28.39,26.78,26.83,149792
20210929,27.06,27.1,25.15,25.19,164069
20210930,25.25,25.8914,24.86,25.54,107610
20211001,25.57,25.87,24.96,25.57,83784
20211004,25.36,25.4,24.12,24.32,126902
20211005,24.4,24.84,24.1709,24.37,82415
20211006,24.01,25.0,23.805,24.6,113064
20211007,25.06,26.51,24.65,26.09,127283
20211008,26.49,27.355,26.37,27.19,147518
20211011,27.19,28.27,27.17,27.65,135582
20211012,27.92,29.96,27.87,29.78,242495
20211013,31.98,33.66,31.79,33.59,734390
