Date,Open,High,Low,Close,Volume
20210305,66.93,68.88,51.32,57.43,926752
20210312,57.8,64.36,52.0,62.69,895643
20210319,62.5,65.13,57.42,58.36,632891
20210326,57.2,58.69,48.32,51.6,796752
20210401,51.01,54.72,47.92,54.49,633477
20210409,55.18,64.07,52.69,63.27,1031230
20210416,62.81,65.86,60.11,61.25,623809
20210423,60.47,63.2,56.39,61.3,1499550
20210430,60.97,64.25,57.86,61.82,1688824
20210507,62.04,62.84,51.47,54.7,1070780
20210514,53.17,53.65,49.89,52.99,734920
20210521,52.66,58.2,51.15,56.61,713102
20210528,57.35,62.65,57.15,62.12,522676
20210604,62.9,63.84,59.88,61.0,488235
20210611,60.99,65.07,59.26,64.09,583208
20210618,64.56,65.66,59.44,63.17,592220
20210625,63.06,69.35,61.11,67.67,720707
20210702,67.76,69.29,65.76,68.49,483326
20210709,69.69,70.24,61.6,65.81,539065
20210716,65.9,66.25,58.26,59.31,525749
20210723,57.88,79.18,57.48,77.97,1493280
20210730,77.24,78.74,71.83,74.42,1182771
20210806,74.3,78.55,71.87,75.98,633899
20210813,75.7,80.85,74.06,74.62,469995
20210820,74.03,74.79,69.9,72.72,455307
20210827,74.01,76.37,71.51,73.12,456235
20210903,73.3,77.88,71.78,75.08,502221
20210910,75.83,76.84,73.23,74.5,342037
20210917,75.61,75.63,69.82,74.76,555617
20210923,72.38,80.1,70.1,79.37,628755
