Date,Open,High,Low,Close,Volume
20210708,62.92,64.39,61.6,61.96,139213
20210709,62.5,65.89,62.43,65.81,138334
20210712,65.9,66.25,64.24,64.79,64741
20210713,64.75,65.47,63.42,63.95,67387
20210714,64.51,64.81,62.08,62.47,96204
20210715,61.64,62.63,59.75,60.5,115075
20210716,61.22,62.26,58.26,59.31,182341
20210719,57.88,60.32,57.48,59.58,106512
20210720,60.59,63.06,59.23,62.33,128767
20210721,62.09,63.44,61.82,63.39,88501
20210722,62.82,63.74,61.81,62.97,140728
20210723,74.14,79.18,74.0,77.97,1028771
20210726,77.24,78.74,74.27,76.32,456609
20210727,75.56,76.95,71.83,73.97,292341
20210728,74.5,76.61,72.63,76.16,178152
20210729,75.88,77.38,74.71,74.92,133753
20210730,74.01,75.87,73.62,74.42,121914
20210802,74.3,75.35,73.29,73.5,85408
20210803,73.86,75.69,71.87,73.38,147897
20210804,73.0,77.35,72.38,76.9,167695
20210805,75.76,78.11,74.55,77.32,147176
20210806,76.39,78.55,75.6,75.98,85721
20210809,75.7,78.28,74.79,78.15,98397
20210810,78.35,80.85,75.5,75.8,166399
20210811,76.41,77.78,75.67,76.53,81809
20210812,76.38,76.88,75.01,75.26,64122
20210813,75.26,75.85,74.06,74.62,59266
20210816,74.03,74.79,69.9,72.44,160212
20210817,71.09,72.61,70.05,71.81,99663
20210818,71.29,73.38,71.0,71.96,64414
20210819,70.5,72.55,70.4,70.86,67407
20210820,71.2,72.97,70.8,72.72,63610
20210823,74.01,75.93,73.67,75.5,88269
20210824,75.53,76.37,73.72,74.63,76905
20210825,74.31,74.98,73.49,74.69,60422
20210826,74.72,74.95,71.51,71.61,157398
20210827,72.18,73.88,71.66,73.12,73238
20210830,73.3,75.0,71.78,74.51,71864
20210831,74.86,77.88,74.1,76.11,143893
20210901,75.98,77.25,73.69,74.17,112214
20210902,74.6,76.2,73.6,73.92,99822
20210903,73.92,75.47,72.93,75.08,74426
20210907,75.83,76.84,74.05,76.49,95938
20210908,76.22,76.7,73.23,74.13,95981
20210909,74.11,75.67,73.54,74.62,75750
20210910,75.25,75.99,74.27,74.5,74366
20210913,75.61,75.61,69.82,71.26,155177
20210914,71.69,72.79,70.81,71.31,85530
20210915,71.33,73.62,70.37,73.62,75776
20210916,73.29,73.41,71.52,72.48,102392
20210917,72.42,75.63,72.4,74.76,136739
20210920,72.38,73.14,70.1,71.73,98532
20210921,72.76,76.37,72.6,76.09,136700
20210922,74.37,79.64,74.02,78.6,214109
20210923,78.97,80.1,77.46,79.37,179411
