Date,Open,High,Low,Close,Volume
20210604,21.97,24.95,20.0,20.82,356271
20210611,20.71,24.46,20.31,22.4,281216
20210618,22.28,23.68,20.69,23.04,258663
20210625,22.82,23.2,18.5,18.5,432100
20210702,18.17,20.99,17.65,18.08,1477839
20210709,18.09,18.09,16.1,16.45,618324
20210716,16.55,16.84,15.22,15.3,699795
20210723,14.95,16.65,14.87,15.7,742978
20210730,15.76,16.24,14.72,15.44,478163
20210806,15.58,16.94,15.01,16.71,772986
20210813,16.99,17.52,14.91,14.99,1188093
20210820,15.0,15.14,13.56,14.04,1003695
20210827,14.27,15.08,14.04,14.04,693357
20210903,14.18,15.53,13.97,15.16,781105
20210910,15.5,16.13,15.13,15.29,660077
20210917,15.33,15.66,14.38,15.09,958291
20210924,14.58,17.79,14.42,17.64,1280363
20211001,17.66,18.08,15.3,16.45,1253960
20211008,16.29,17.09,15.88,16.21,616793
20211015,16.9,19.86,16.83,19.38,1811906
20211018,19.18,21.0,19.12,20.85,443798
