Date,Open,High,Low,Close,Volume
20210802,15.58,16.32,15.41,15.73,137756
20210803,15.77,16.05,15.01,15.11,144451
20210804,15.23,16.58,15.2,16.39,236630
20210805,16.58,16.73,15.88,16.06,126167
20210806,16.06,16.94,16.06,16.71,127980
20210809,16.99,17.32,16.56,16.91,137442
20210810,17.02,17.27,16.56,16.99,113344
20210811,17.16,17.27,16.51,16.9,151108
20210812,16.99,17.52,16.74,17.46,256352
20210813,15.35,15.53,14.91,14.99,529844
20210816,15.0,15.14,14.18,14.29,234013
20210817,14.08,14.7,13.56,13.75,286558
20210818,13.98,14.58,13.85,14.22,187273
20210819,13.98,14.12,13.77,13.82,138181
20210820,13.98,14.27,13.9,14.04,157668
20210823,14.27,14.5,14.22,14.43,120229
20210824,14.5,14.93,14.47,14.76,119817
20210825,14.8,15.08,14.51,14.85,123957
20210826,14.76,14.79,14.2,14.36,152924
20210827,14.31,14.41,14.04,14.04,176428
20210830,14.18,14.38,14.01,14.19,139521
20210831,14.18,14.25,13.97,14.18,131971
20210901,14.14,14.69,14.11,14.57,154982
20210902,14.6,15.2,14.4,15.06,181715
20210903,15.02,15.53,14.92,15.16,172914
20210907,15.5,16.13,15.46,15.84,193713
20210908,15.81,16.01,15.13,15.47,142795
20210909,15.31,15.84,15.26,15.69,167902
20210910,15.77,15.91,15.23,15.29,155664
20210913,15.33,15.39,14.67,15.01,184644
20210914,15.05,15.33,14.38,14.5,223244
20210915,14.84,15.5,14.63,15.45,248065
20210916,15.47,15.66,15.23,15.5,151099
20210917,15.52,15.58,15.06,15.09,151237
20210920,14.58,14.91,14.42,14.57,164548
20210921,14.62,15.28,14.56,15.17,144196
20210922,15.86,17.09,15.61,16.84,500667
20210923,17.17,17.35,16.67,17.14,265217
20210924,16.86,17.79,16.62,17.64,205733
20210927,17.66,18.08,16.85,17.7,328371
20210928,17.4,17.67,16.79,17.04,233673
20210929,16.35,17.17,16.01,16.01,290460
20210930,15.9,16.06,15.3,15.88,250540
20211001,15.88,16.49,15.75,16.45,150914
20211004,16.29,16.68,15.88,16.09,186508
20211005,16.14,16.76,16.08,16.25,112050
20211006,16.0,16.64,15.92,16.62,99620
20211007,16.94,17.09,16.34,16.4,126601
20211008,16.51,16.65,16.17,16.21,92012
20211011,16.9,18.51,16.83,18.39,629837
20211012,18.17,19.02,17.84,18.97,430074
20211013,19.0,19.31,18.49,18.92,267294
20211014,19.8,19.81,18.94,19.62,291467
20211015,19.56,19.86,19.32,19.38,193232
20211018,19.18,21.0,19.12,20.85,443798
