Date,Open,High,Low,Close,Volume
20211013  09:30:00,106.21,106.89,106.21,106.72,5529
20211013  09:31:00,106.71,107.28,106.65,107.12,4860
20211013  09:32:00,107.14,107.29,106.42,106.6,3343
20211013  09:33:00,106.57,106.9,106.55,106.85,2416
20211013  09:34:00,106.87,107.3,106.73,107.27,3427
20211013  09:35:00,107.24,107.8,107.23,107.76,5857
20211013  09:36:00,107.73,108.0,107.62,107.72,5589
20211013  09:37:00,107.7,107.77,107.51,107.73,4415
20211013  09:38:00,107.73,108.01,107.72,107.83,3231
20211013  09:39:00,107.87,108.26,107.87,108.24,3952
20211013  09:40:00,108.25,108.88,108.22,108.86,7779
20211013  09:41:00,108.85,108.87,108.51,108.57,4081
20211013  09:42:00,108.57,108.79,108.32,108.37,3998
20211013  09:43:00,108.38,108.48,108.0,108.13,4224
20211013  09:44:00,108.13,108.43,108.05,108.42,3375
20211013  09:45:00,108.39,108.62,108.28,108.31,3181
20211013  09:46:00,108.3,108.42,108.23,108.41,1646
20211013  09:47:00,108.42,108.51,108.34,108.39,2434
20211013  09:48:00,108.39,108.53,108.07,108.07,3147
20211013  09:49:00,108.08,108.34,108.06,108.12,1990
20211013  09:50:00,108.11,108.34,107.91,108.27,3119
20211013  09:51:00,108.26,108.3,107.92,107.96,2175
20211013  09:52:00,107.97,108.19,107.85,108.19,2729
20211013  09:53:00,108.18,108.38,108.17,108.25,3323
20211013  09:54:00,108.24,108.35,108.16,108.24,2148
20211013  09:55:00,108.24,108.67,108.23,108.47,4561
20211013  09:56:00,108.47,108.63,108.42,108.53,2390
20211013  09:57:00,108.52,108.72,108.43,108.7,2878
20211013  09:58:00,108.68,109.17,108.68,109.13,7602
20211013  09:59:00,109.13,109.24,109.04,109.2,2833
20211013  10:00:00,109.2,109.32,108.92,108.93,5493
20211013  10:01:00,108.92,109.07,108.73,108.76,2548
20211013  10:02:00,108.76,108.88,108.65,108.85,2342
20211013  10:03:00,108.85,108.94,108.79,108.84,1967
20211013  10:04:00,108.84,109.08,108.8,109.01,1654
20211013  10:05:00,109.02,109.3,108.93,109.18,3270
20211013  10:06:00,109.18,109.2,108.93,108.96,1766
20211013  10:07:00,108.97,109.07,108.88,108.9,1478
20211013  10:08:00,108.91,108.99,108.81,108.83,1550
20211013  10:09:00,108.83,108.98,108.73,108.97,2262
20211013  10:10:00,108.98,108.99,108.51,108.52,2101
20211013  10:11:00,108.53,108.59,108.3,108.43,2619
20211013  10:12:00,108.43,108.47,108.19,108.19,2098
20211013  10:13:00,108.19,108.42,108.12,108.16,1851
20211013  10:14:00,108.16,108.23,107.96,108.15,3112
20211013  10:15:00,108.14,108.3,108.02,108.25,2464
20211013  10:16:00,108.24,108.45,108.16,108.43,3160
20211013  10:17:00,108.43,108.47,108.24,108.28,1921
20211013  10:18:00,108.27,108.58,108.26,108.52,1711
20211013  10:19:00,108.52,108.65,108.51,108.61,1698
20211013  10:20:00,108.57,108.77,108.51,108.67,2237
20211013  10:21:00,108.65,108.66,108.43,108.43,1985
20211013  10:22:00,108.43,108.53,108.31,108.45,1797
20211013  10:23:00,108.46,108.57,108.42,108.55,1249
20211013  10:24:00,108.52,108.62,108.46,108.48,1144
20211013  10:25:00,108.5,108.59,108.44,108.48,1832
20211013  10:26:00,108.47,108.47,108.32,108.4,1213
20211013  10:27:00,108.4,108.59,108.28,108.58,1832
20211013  10:28:00,108.6,108.69,108.44,108.5,1852
20211013  10:29:00,108.5,108.52,108.37,108.47,972
20211013  10:30:00,108.46,108.55,108.4,108.48,1202
20211013  10:31:00,108.48,108.6,108.19,108.57,2380
20211013  10:32:00,108.55,108.77,108.48,108.71,2434
20211013  10:33:00,108.72,108.89,108.72,108.82,2083
20211013  10:34:00,108.83,108.98,108.83,108.98,1775
20211013  10:35:00,108.97,109.06,108.91,109.06,2289
20211013  10:36:00,109.05,109.19,109.04,109.18,2087
20211013  10:37:00,109.17,109.37,109.14,109.36,2592
20211013  10:38:00,109.36,109.54,109.34,109.47,3272
20211013  10:39:00,109.48,109.49,109.32,109.38,1903
20211013  10:40:00,109.38,109.57,109.32,109.57,2411
20211013  10:41:00,109.56,109.57,109.35,109.43,1809
20211013  10:42:00,109.43,109.64,109.42,109.61,1927
20211013  10:43:00,109.61,109.67,109.53,109.65,1459
20211013  10:44:00,109.65,109.79,109.62,109.76,2521
20211013  10:45:00,109.76,109.8,109.51,109.54,2715
20211013  10:46:00,109.54,109.67,109.48,109.58,2075
20211013  10:47:00,109.59,109.69,109.56,109.63,1010
20211013  10:48:00,109.63,109.68,109.58,109.6,1221
20211013  10:49:00,109.61,109.69,109.54,109.57,1555
20211013  10:50:00,109.58,109.69,109.57,109.6,1225
20211013  10:51:00,109.61,109.7,109.54,109.69,1181
20211013  10:52:00,109.7,109.79,109.62,109.79,1741
20211013  10:53:00,109.79,109.88,109.74,109.79,2571
20211013  10:54:00,109.79,109.82,109.54,109.64,1816
20211013  10:55:00,109.63,109.69,109.41,109.44,1669
20211013  10:56:00,109.46,109.51,109.41,109.45,1083
20211013  10:57:00,109.45,109.45,109.35,109.44,1424
20211013  10:58:00,109.43,109.45,109.27,109.31,1776
20211013  10:59:00,109.3,109.38,109.29,109.33,921
