Date,Open,High,Low,Close,Volume
20210916,104.92,106.75,103.76,106.22,324196
20210917,105.51,105.98,103.71,103.88,308596
20210920,101.63,102.51,99.51,101.55,365186
20210921,102.14,103.43,101.18,102.82,291312
20210922,102.76,104.56,102.21,104.38,294117
20210923,104.89,106.86,103.89,106.15,281941
20210924,105.2,106.05,104.68,105.8,228098
20210927,105.07,108.44,103.44,108.16,459676
20210928,106.83,107.65,101.42,101.52,646545
20210929,102.22,102.66,99.81,100.35,449987
20210930,101.97,104.44,101.97,102.9,491889
20211001,102.65,103.0,100.64,102.45,335855
20211004,101.69,101.85,99.82,100.34,359251
20211005,100.92,102.87,100.61,101.81,264503
20211006,100.6,103.72,100.35,103.64,331750
20211007,104.55,107.95,104.46,106.45,359656
20211008,106.54,107.28,104.89,105.06,263711
20211011,104.66,107.2,104.02,104.68,260362
20211012,105.3,106.04,104.34,105.04,274402
20211013,106.21,109.88,106.21,109.16,480815
