Date,Open,High,Low,Close,Volume
20211004  09:30:00,141.7,141.84,141.01,141.68,4527
20211004  09:31:00,141.63,141.9,141.21,141.26,1278
20211004  09:32:00,141.24,141.35,140.8,141.01,2010
20211004  09:33:00,141.02,141.04,140.26,140.34,2374
20211004  09:34:00,140.34,140.64,140.3,140.41,1695
20211004  09:35:00,140.39,140.48,140.12,140.16,1745
20211004  09:36:00,140.13,140.2,139.44,140.07,2489
20211004  09:37:00,140.06,140.07,139.7,140.01,1351
20211004  09:38:00,140.01,140.45,139.9,140.34,1147
20211004  09:39:00,140.32,140.59,140.32,140.44,930
20211004  09:40:00,140.42,140.53,140.08,140.27,1065
20211004  09:41:00,140.29,140.45,140.17,140.45,632
20211004  09:42:00,140.46,140.62,140.33,140.43,1229
20211004  09:43:00,140.37,140.38,140.05,140.1,1291
20211004  09:44:00,140.09,140.39,140.07,140.22,457
20211004  09:45:00,140.2,140.45,140.16,140.45,482
20211004  09:46:00,140.46,140.54,140.37,140.45,522
20211004  09:47:00,140.44,140.56,140.2,140.21,470
20211004  09:48:00,140.2,140.59,139.93,140.52,1207
20211004  09:49:00,140.52,140.76,140.45,140.51,1063
20211004  09:50:00,140.47,140.74,140.32,140.61,587
20211004  09:51:00,140.61,140.63,140.23,140.23,752
20211004  09:52:00,140.23,140.5,140.0,140.0,1265
20211004  09:53:00,140.0,140.28,139.9,140.09,1064
20211004  09:54:00,140.08,140.26,139.93,139.93,659
20211004  09:55:00,139.92,140.16,139.81,139.92,911
20211004  09:56:00,139.92,140.3,139.88,140.28,795
20211004  09:57:00,140.27,140.52,140.26,140.41,771
20211004  09:58:00,140.42,140.65,140.34,140.5,621
20211004  09:59:00,140.52,140.6,140.38,140.4,533
20211004  10:00:00,140.4,140.42,139.95,139.97,803
20211004  10:01:00,139.95,140.08,139.82,140.0,757
20211004  10:02:00,140.04,140.05,139.61,139.62,932
20211004  10:03:00,139.62,139.72,139.45,139.54,1579
20211004  10:04:00,139.52,139.63,139.47,139.51,956
20211004  10:05:00,139.49,139.98,139.48,139.94,640
20211004  10:06:00,139.91,140.06,139.89,140.05,482
20211004  10:07:00,140.05,140.11,139.88,139.99,350
20211004  10:08:00,139.97,140.24,139.95,140.14,445
20211004  10:09:00,140.14,140.21,140.09,140.11,270
20211004  10:10:00,140.12,140.22,140.04,140.1,283
20211004  10:11:00,140.06,140.18,140.06,140.14,226
20211004  10:12:00,140.14,140.23,140.04,140.15,419
20211004  10:13:00,140.13,140.17,140.06,140.09,254
20211004  10:14:00,140.09,140.15,140.0,140.05,354
20211004  10:15:00,140.05,140.17,140.04,140.07,302
20211004  10:16:00,140.07,140.15,139.92,140.02,402
20211004  10:17:00,140.03,140.15,140.0,140.11,357
20211004  10:18:00,140.13,140.15,139.77,139.79,441
20211004  10:19:00,139.77,139.82,139.56,139.59,754
20211004  10:20:00,139.62,139.74,139.49,139.63,774
20211004  10:21:00,139.64,139.79,139.45,139.46,997
20211004  10:22:00,139.47,139.55,139.35,139.4,766
20211004  10:23:00,139.4,139.51,139.36,139.36,565
20211004  10:24:00,139.36,139.38,139.12,139.19,1220
20211004  10:25:00,139.2,139.32,139.16,139.27,578
20211004  10:26:00,139.27,139.37,139.14,139.31,858
20211004  10:27:00,139.28,139.46,139.28,139.45,608
20211004  10:28:00,139.44,139.45,139.16,139.19,786
20211004  10:29:00,139.19,139.3,138.9,138.98,1997
20211004  10:30:00,138.96,138.98,138.6,138.74,1890
20211004  10:31:00,138.72,138.9,138.62,138.64,1001
20211004  10:32:00,138.67,138.72,138.6,138.63,571
20211004  10:33:00,138.62,138.68,138.43,138.59,1035
20211004  10:34:00,138.59,138.85,138.59,138.7,529
20211004  10:35:00,138.69,138.71,138.44,138.51,868
20211004  10:36:00,138.51,138.74,138.49,138.67,724
20211004  10:37:00,138.68,138.85,138.61,138.66,667
20211004  10:38:00,138.69,138.76,138.56,138.59,805
20211004  10:39:00,138.61,138.95,138.59,138.9,816
20211004  10:40:00,138.89,138.94,138.73,138.79,571
20211004  10:41:00,138.79,138.81,138.63,138.63,503
20211004  10:42:00,138.66,138.88,138.57,138.76,543
20211004  10:43:00,138.75,138.88,138.73,138.85,348
20211004  10:44:00,138.85,139.07,138.84,139.06,1036
20211004  10:45:00,139.05,139.09,138.91,138.93,546
20211004  10:46:00,138.92,138.97,138.85,138.96,641
20211004  10:47:00,138.95,139.01,138.81,139.0,410
20211004  10:48:00,139.03,139.11,138.85,138.87,557
20211004  10:49:00,138.87,138.97,138.7,138.94,702
20211004  10:50:00,138.92,139.02,138.82,138.85,360
20211004  10:51:00,138.85,139.08,138.81,138.85,517
20211004  10:52:00,138.85,138.93,138.82,138.89,275
20211004  10:53:00,138.89,138.92,138.72,138.81,637
20211004  10:54:00,138.82,138.82,138.63,138.66,493
20211004  10:55:00,138.64,138.86,138.63,138.84,617
20211004  10:56:00,138.86,139.21,138.86,139.11,912
20211004  10:57:00,139.12,139.18,139.05,139.14,484
20211004  10:58:00,139.13,139.28,139.09,139.22,568
20211004  10:59:00,139.23,139.47,139.23,139.44,732
