Date,Open,High,Low,Close,Volume
20210907,174.15,176.84,173.37,175.16,170620
20210908,174.25,174.37,169.26,170.71,132831
20210909,167.3,169.04,165.58,167.32,124966
20210910,171.2,171.64,167.61,168.1,111490
20210913,164.54,166.87,163.02,165.41,112071
20210914,162.86,163.07,159.48,160.15,139187
20210915,157.95,158.03,153.92,157.86,230232
20210916,154.93,157.64,153.67,156.26,161632
20210917,158.48,160.38,158.09,160.05,162012
20210920,154.4,155.14,149.09,151.49,256280
20210921,151.58,152.58,149.57,150.18,140266
20210922,151.47,154.0,151.02,151.89,145544
20210923,152.58,152.68,149.61,151.19,165418
20210924,147.71,148.0,144.57,145.08,241065
20210927,144.92,150.99,144.44,150.18,182584
20210928,152.16,153.73,148.86,152.39,186766
20210929,150.46,152.1,147.48,147.58,126260
20210930,147.03,149.58,146.86,148.05,98806
20211001,147.09,148.45,143.34,144.2,132576
20211004,141.7,141.9,138.43,139.63,180064
