Date,Open,High,Low,Close,Volume
20211018  09:30:00,7.69,7.89,7.67,7.8377,16367
20211018  09:31:00,7.835,8.0,7.835,7.9795,12268
20211018  09:32:00,7.98,8.1785,7.9701,8.14,20278
20211018  09:33:00,8.13,8.16,8.08,8.1399,12362
20211018  09:34:00,8.135,8.1588,8.07,8.135,8638
20211018  09:35:00,8.14,8.28,8.12,8.2299,17115
20211018  09:36:00,8.23,8.25,8.17,8.19,7573
20211018  09:37:00,8.19,8.29,8.18,8.2688,9658
20211018  09:38:00,8.2683,8.3,8.235,8.295,8789
20211018  09:39:00,8.29,8.32,8.24,8.3,8729
20211018  09:40:00,8.31,8.33,8.26,8.27,9537
20211018  09:41:00,8.28,8.31,8.25,8.3022,8731
20211018  09:42:00,8.305,8.33,8.21,8.25,10461
20211018  09:43:00,8.24,8.29,8.24,8.2578,4643
20211018  09:44:00,8.2595,8.27,8.21,8.2122,4389
20211018  09:45:00,8.21,8.32,8.21,8.2701,9130
20211018  09:46:00,8.271,8.28,8.18,8.1821,7442
20211018  09:47:00,8.18,8.23,8.18,8.1906,5152
20211018  09:48:00,8.1927,8.3,8.18,8.2886,6426
20211018  09:49:00,8.287,8.38,8.2801,8.37,12164
20211018  09:50:00,8.36,8.41,8.35,8.4048,11148
20211018  09:51:00,8.4,8.47,8.39,8.46,11324
20211018  09:52:00,8.455,8.4597,8.39,8.395,8284
20211018  09:53:00,8.3975,8.49,8.38,8.475,7836
20211018  09:54:00,8.4784,8.5,8.45,8.4799,8285
20211018  09:55:00,8.48,8.56,8.475,8.55,12237
20211018  09:56:00,8.5409,8.65,8.54,8.6178,16059
20211018  09:57:00,8.611,8.62,8.53,8.5583,11734
20211018  09:58:00,8.5536,8.59,8.51,8.5201,9680
20211018  09:59:00,8.52,8.59,8.52,8.58,8085
20211018  10:00:00,8.575,8.65,8.57,8.64,10176
20211018  10:01:00,8.64,8.7,8.61,8.6141,15848
20211018  10:02:00,8.6116,8.72,8.61,8.6851,11574
20211018  10:03:00,8.6803,8.69,8.59,8.6,10176
20211018  10:04:00,8.608,8.64,8.56,8.562,9853
20211018  10:05:00,8.569,8.65,8.56,8.6402,7218
20211018  10:06:00,8.645,8.74,8.64,8.705,11876
20211018  10:07:00,8.705,8.72,8.64,8.6877,8155
20211018  10:08:00,8.68,8.69,8.61,8.624,5995
20211018  10:09:00,8.6276,8.67,8.61,8.67,5178
20211018  10:10:00,8.6689,8.67,8.54,8.5801,12284
20211018  10:11:00,8.58,8.6,8.54,8.55,7071
20211018  10:12:00,8.55,8.62,8.55,8.5718,5647
20211018  10:13:00,8.571,8.67,8.535,8.658,7067
20211018  10:14:00,8.65,8.67,8.62,8.6412,5845
20211018  10:15:00,8.64,8.65,8.58,8.585,4632
20211018  10:16:00,8.58,8.61,8.54,8.59,6247
20211018  10:17:00,8.59,8.61,8.54,8.56,2904
20211018  10:18:00,8.555,8.57,8.49,8.5001,10633
20211018  10:19:00,8.51,8.525,8.46,8.52,7744
20211018  10:20:00,8.52,8.56,8.51,8.56,5627
20211018  10:21:00,8.55,8.605,8.53,8.5691,6817
20211018  10:22:00,8.56,8.57,8.49,8.5094,6731
20211018  10:23:00,8.5099,8.56,8.48,8.5495,4889
20211018  10:24:00,8.55,8.64,8.545,8.63,5915
20211018  10:25:00,8.6331,8.6331,8.5818,8.61,5863
20211018  10:26:00,8.605,8.61,8.5488,8.5592,4299
20211018  10:27:00,8.55,8.5575,8.5,8.5099,3992
20211018  10:28:00,8.5099,8.55,8.48,8.48,6358
20211018  10:29:00,8.4812,8.49,8.46,8.4617,6309
20211018  10:30:00,8.465,8.51,8.43,8.48,8821
20211018  10:31:00,8.4813,8.53,8.48,8.525,4334
20211018  10:32:00,8.525,8.55,8.47,8.535,5088
20211018  10:33:00,8.539,8.56,8.49,8.5099,3771
20211018  10:34:00,8.505,8.51,8.43,8.4401,5981
20211018  10:35:00,8.44,8.47,8.42,8.4699,2906
20211018  10:36:00,8.465,8.48,8.445,8.465,2178
20211018  10:37:00,8.4641,8.47,8.42,8.4396,3881
20211018  10:38:00,8.4315,8.46,8.41,8.4513,3644
20211018  10:39:00,8.45,8.52,8.45,8.5055,6945
20211018  10:40:00,8.5056,8.52,8.47,8.4911,4083
20211018  10:41:00,8.4999,8.5,8.45,8.4709,2688
20211018  10:42:00,8.4782,8.58,8.47,8.575,6691
20211018  10:43:00,8.5729,8.6,8.5501,8.5613,5513
20211018  10:44:00,8.56,8.63,8.56,8.6027,6700
20211018  10:45:00,8.6038,8.62,8.57,8.5714,4818
20211018  10:46:00,8.58,8.64,8.575,8.615,5337
20211018  10:47:00,8.6113,8.65,8.61,8.61,4257
20211018  10:48:00,8.615,8.64,8.56,8.57,4885
20211018  10:49:00,8.5793,8.62,8.57,8.585,3270
20211018  10:50:00,8.585,8.61,8.56,8.56,3889
20211018  10:51:00,8.5649,8.5999,8.53,8.5301,2817
20211018  10:52:00,8.5399,8.5581,8.51,8.555,4230
20211018  10:53:00,8.555,8.56,8.51,8.525,2864
20211018  10:54:00,8.5217,8.58,8.52,8.5701,3574
20211018  10:55:00,8.57,8.58,8.53,8.56,2117
20211018  10:56:00,8.5588,8.59,8.54,8.585,2284
20211018  10:57:00,8.5889,8.62,8.56,8.6101,5606
20211018  10:58:00,8.6111,8.65,8.59,8.65,5393
20211018  10:59:00,8.65,8.65,8.61,8.6115,4547
