Date,Open,High,Low,Close,Volume
20210921,6.28,6.3,5.95,6.0,170890
20210922,6.04,6.75,6.01,6.66,326870
20210923,6.76,7.31,6.61,7.24,373803
20210924,7.02,7.24,6.95,6.97,189571
20210927,7.07,7.79,7.03,7.65,300496
20210928,7.4826,7.86,7.165,7.19,249982
20210929,7.32,7.345,6.56,6.57,230215
20210930,6.6,6.84,6.56,6.69,145093
20211001,6.75,6.81,6.365,6.43,147144
20211004,6.35,6.3699,5.94,6.0,178416
20211005,6.11,6.28,5.98,6.04,149583
20211006,5.92,6.2,5.86,6.07,133106
20211007,6.12,6.46,6.03,6.36,163739
20211008,6.4,6.6,6.335,6.39,122537
20211011,6.37,6.97,6.35,6.71,183854
20211012,6.745,7.04,6.705,6.92,176915
20211013,7.19,7.31,6.93,7.25,265790
20211014,7.38,7.44,6.87,7.22,363278
20211015,7.26,7.85,7.13,7.39,366551
20211018,7.69,8.93,7.67,8.74,1478130
