Date,Open,High,Low,Close,Volume
20211004  09:30:00,35.02,35.02,34.81,34.94,6547
20211004  09:31:00,34.94,34.95,34.37,34.44,9824
20211004  09:32:00,34.44,34.45,34.34,34.4,2902
20211004  09:33:00,34.42,34.43,34.29,34.36,2739
20211004  09:34:00,34.37,34.44,34.24,34.24,2728
20211004  09:35:00,34.25,34.3,34.13,34.25,3321
20211004  09:36:00,34.25,34.26,34.15,34.18,3420
20211004  09:37:00,34.18,34.25,34.06,34.21,2252
20211004  09:38:00,34.2,34.29,34.15,34.21,1927
20211004  09:39:00,34.2,34.27,34.13,34.25,1546
20211004  09:40:00,34.23,34.32,34.07,34.16,2854
20211004  09:41:00,34.17,34.2,34.1,34.17,1309
20211004  09:42:00,34.16,34.18,34.08,34.18,2277
20211004  09:43:00,34.18,34.18,33.94,34.01,4306
20211004  09:44:00,34.0,34.15,33.99,34.13,1896
20211004  09:45:00,34.12,34.15,34.04,34.1,1932
20211004  09:46:00,34.1,34.14,34.08,34.13,814
20211004  09:47:00,34.13,34.16,34.04,34.05,1437
20211004  09:48:00,34.06,34.06,33.96,34.04,2348
20211004  09:49:00,34.04,34.07,33.96,33.99,1442
20211004  09:50:00,33.98,33.98,33.88,33.91,2557
20211004  09:51:00,33.92,33.97,33.86,33.88,2188
20211004  09:52:00,33.88,33.99,33.86,33.96,1611
20211004  09:53:00,33.96,34.0,33.93,33.95,1650
20211004  09:54:00,33.96,34.12,33.96,34.06,2292
20211004  09:55:00,34.06,34.13,34.03,34.08,1189
20211004  09:56:00,34.09,34.12,34.07,34.1,1105
20211004  09:57:00,34.11,34.13,34.02,34.05,1176
20211004  09:58:00,34.05,34.18,34.04,34.17,891
20211004  09:59:00,34.16,34.17,34.1,34.12,1083
20211004  10:00:00,34.11,34.18,34.05,34.05,1269
20211004  10:01:00,34.05,34.06,33.94,33.98,1700
20211004  10:02:00,33.98,34.0,33.89,33.9,2121
20211004  10:03:00,33.9,34.0,33.89,33.95,1136
20211004  10:04:00,33.95,33.98,33.9,33.91,1311
20211004  10:05:00,33.91,33.97,33.89,33.95,1017
20211004  10:06:00,33.95,33.99,33.93,33.98,1218
20211004  10:07:00,33.98,34.03,33.94,33.95,1391
20211004  10:08:00,33.95,33.98,33.93,33.96,811
20211004  10:09:00,33.96,33.96,33.88,33.91,1704
20211004  10:10:00,33.91,33.93,33.87,33.88,1328
20211004  10:11:00,33.88,33.91,33.85,33.9,1499
20211004  10:12:00,33.91,33.91,33.86,33.89,778
20211004  10:13:00,33.89,33.89,33.81,33.83,1852
20211004  10:14:00,33.83,33.88,33.79,33.79,1634
20211004  10:15:00,33.8,33.82,33.77,33.81,1884
20211004  10:16:00,33.8,33.81,33.71,33.77,2384
20211004  10:17:00,33.76,33.77,33.73,33.76,1313
20211004  10:18:00,33.75,33.79,33.7,33.7,2265
20211004  10:19:00,33.71,33.72,33.62,33.66,2402
20211004  10:20:00,33.65,33.72,33.65,33.7,1381
20211004  10:21:00,33.7,33.71,33.67,33.7,1876
20211004  10:22:00,33.71,33.74,33.69,33.73,914
20211004  10:23:00,33.73,33.78,33.71,33.75,1187
20211004  10:24:00,33.75,33.78,33.73,33.75,1142
20211004  10:25:00,33.74,33.76,33.67,33.69,1107
20211004  10:26:00,33.7,33.73,33.63,33.65,1447
20211004  10:27:00,33.66,33.68,33.64,33.66,633
20211004  10:28:00,33.65,33.72,33.64,33.71,929
20211004  10:29:00,33.71,33.75,33.67,33.7,1050
20211004  10:30:00,33.69,33.69,33.63,33.65,1205
20211004  10:31:00,33.65,33.82,33.64,33.8,1592
20211004  10:32:00,33.8,33.81,33.7,33.71,829
20211004  10:33:00,33.71,33.71,33.65,33.65,927
20211004  10:34:00,33.66,33.68,33.63,33.64,761
20211004  10:35:00,33.64,33.67,33.6,33.6,1952
20211004  10:36:00,33.59,33.63,33.56,33.57,1555
20211004  10:37:00,33.57,33.6,33.54,33.56,1465
20211004  10:38:00,33.57,33.63,33.56,33.59,1305
20211004  10:39:00,33.58,33.67,33.57,33.64,1174
20211004  10:40:00,33.64,33.67,33.6,33.61,1041
20211004  10:41:00,33.61,33.62,33.57,33.59,795
20211004  10:42:00,33.58,33.67,33.57,33.63,1326
20211004  10:43:00,33.63,33.78,33.61,33.75,1072
20211004  10:44:00,33.73,33.78,33.71,33.75,846
20211004  10:45:00,33.75,33.76,33.69,33.7,878
20211004  10:46:00,33.69,33.69,33.65,33.66,595
20211004  10:47:00,33.66,33.69,33.61,33.64,785
20211004  10:48:00,33.64,33.68,33.6,33.62,1614
20211004  10:49:00,33.62,33.66,33.61,33.65,332
20211004  10:50:00,33.64,33.65,33.61,33.62,527
20211004  10:51:00,33.62,33.65,33.59,33.59,1473
20211004  10:52:00,33.59,33.6,33.52,33.53,1693
20211004  10:53:00,33.52,33.56,33.43,33.45,3898
20211004  10:54:00,33.45,33.48,33.41,33.45,2508
20211004  10:55:00,33.46,33.51,33.45,33.47,1290
20211004  10:56:00,33.48,33.57,33.47,33.54,1882
20211004  10:57:00,33.55,33.56,33.51,33.55,751
20211004  10:58:00,33.55,33.55,33.5,33.52,1025
20211004  10:59:00,33.51,33.56,33.48,33.54,1801
