Date,Open,High,Low,Close,Volume
20210907,40.85,41.86,40.59,40.59,294327
20210908,39.17,39.43,37.81,38.14,447749
20210909,37.98,38.85,37.55,38.45,297428
20210910,38.62,39.52,37.895,37.98,263231
20210913,38.01,38.39,36.5629,38.39,347706
20210914,38.49,39.4,37.69,37.89,279818
20210915,38.0,38.15,36.95,38.03,246606
20210916,37.54,37.67,36.74,37.09,281891
20210917,37.3,37.57,36.97,37.51,251010
20210920,36.11,36.315,34.54,35.17,509185
20210921,35.52,35.8199,34.88,34.9,279129
20210922,35.21,35.825,35.12,35.7,233577
20210923,36.2,36.5,35.57,36.01,238242
20210924,35.59,36.07,35.2,35.38,206830
20210927,35.43,36.86,34.425,36.77,319713
20210928,36.28,37.03,34.94,35.05,330573
20210929,35.44,36.36,35.02,35.13,302709
20210930,35.63,35.98,35.29,35.63,225698
20211001,36.63,36.6698,35.26,35.38,302657
20211004,35.02,35.02,33.275,33.4,355699
