Date,Open,High,Low,Close,Volume
20211013  09:30:00,31.98,32.36,31.92,32.3199,18821
20211013  09:31:00,32.3187,32.75,32.29,32.71,11507
20211013  09:32:00,32.695,32.79,32.27,32.41,8382
20211013  09:33:00,32.4,32.56,32.17,32.48,8080
20211013  09:34:00,32.47,32.4766,32.07,32.081,5403
20211013  09:35:00,32.09,32.1,31.81,31.81,7691
20211013  09:36:00,31.82,32.05,31.81,31.995,6669
20211013  09:37:00,31.995,32.225,31.85,32.075,4699
20211013  09:38:00,32.075,32.26,31.79,32.1406,6755
20211013  09:39:00,32.145,32.52,32.1001,32.4,7332
20211013  09:40:00,32.4,32.64,32.32,32.6203,6801
20211013  09:41:00,32.625,32.84,32.55,32.82,10726
20211013  09:42:00,32.84,32.93,32.61,32.63,9146
20211013  09:43:00,32.64,32.7199,32.5,32.5882,5601
20211013  09:44:00,32.5899,32.95,32.5301,32.9099,7906
20211013  09:45:00,32.91,33.03,32.84,32.97,7921
20211013  09:46:00,32.9502,32.99,32.85,32.9,4643
20211013  09:47:00,32.91,32.99,32.85,32.92,4464
20211013  09:48:00,32.94,33.02,32.59,32.65,7989
20211013  09:49:00,32.65,32.73,32.46,32.53,5829
20211013  09:50:00,32.5201,32.61,32.43,32.55,5229
20211013  09:51:00,32.55,32.58,32.36,32.385,5457
20211013  09:52:00,32.39,32.59,32.37,32.555,4485
20211013  09:53:00,32.5509,32.65,32.52,32.535,3850
20211013  09:54:00,32.5399,32.54,32.36,32.47,3970
20211013  09:55:00,32.478,32.64,32.45,32.48,4565
20211013  09:56:00,32.47,32.61,32.41,32.41,3090
20211013  09:57:00,32.41,32.42,32.24,32.355,4918
20211013  09:58:00,32.36,32.42,32.23,32.265,2797
20211013  09:59:00,32.27,32.35,32.15,32.23,3398
20211013  10:00:00,32.2282,32.73,32.225,32.5597,6359
20211013  10:01:00,32.553,33.0,32.5489,32.93,6723
20211013  10:02:00,32.93,33.04,32.84,32.85,6083
20211013  10:03:00,32.84,33.23,32.84,33.1,7545
20211013  10:04:00,33.11,33.17,32.98,32.98,4785
20211013  10:05:00,32.9893,32.99,32.83,32.84,4104
20211013  10:06:00,32.84,32.94,32.81,32.815,2745
20211013  10:07:00,32.82,32.93,32.7201,32.7346,2970
20211013  10:08:00,32.7338,32.88,32.73,32.83,1859
20211013  10:09:00,32.83,32.9,32.724,32.76,3133
20211013  10:10:00,32.7601,32.83,32.73,32.76,1885
20211013  10:11:00,32.765,32.82,32.65,32.68,2567
20211013  10:12:00,32.685,32.6899,32.53,32.5794,2913
20211013  10:13:00,32.57,32.74,32.57,32.61,2263
20211013  10:14:00,32.6132,32.615,32.455,32.5751,2788
20211013  10:15:00,32.56,32.6,32.475,32.54,2324
20211013  10:16:00,32.54,32.77,32.525,32.73,2712
20211013  10:17:00,32.7379,32.79,32.54,32.5686,2925
20211013  10:18:00,32.5616,32.6587,32.55,32.59,1489
20211013  10:19:00,32.585,32.85,32.585,32.765,2632
20211013  10:20:00,32.765,32.8998,32.76,32.79,2851
20211013  10:21:00,32.79,33.02,32.73,32.8806,4256
20211013  10:22:00,32.88,32.96,32.8225,32.8401,2267
20211013  10:23:00,32.8599,33.09,32.8581,33.01,3017
20211013  10:24:00,33.005,33.0499,32.89,32.9291,2073
20211013  10:25:00,32.93,32.99,32.88,32.8801,1432
20211013  10:26:00,32.89,33.03,32.86,33.0027,2218
20211013  10:27:00,33.005,33.0057,32.95,32.98,1001
20211013  10:28:00,32.99,33.01,32.87,32.886,1784
20211013  10:29:00,32.8899,32.8989,32.715,32.73,3690
20211013  10:30:00,32.73,33.0,32.68,33.0,3268
20211013  10:31:00,32.99,33.04,32.83,32.91,3397
20211013  10:32:00,32.9,33.0,32.8,32.84,2723
20211013  10:33:00,32.84,32.9,32.83,32.87,1913
20211013  10:34:00,32.865,33.01,32.855,32.9611,2161
20211013  10:35:00,32.96,33.01,32.92,32.952,1790
20211013  10:36:00,32.9598,33.0,32.94,32.98,1600
20211013  10:37:00,32.98,33.04,32.829,32.88,3463
20211013  10:38:00,32.885,32.95,32.77,32.78,2625
20211013  10:39:00,32.775,32.79,32.62,32.625,2766
20211013  10:40:00,32.63,32.72,32.58,32.7119,2697
20211013  10:41:00,32.715,32.729,32.59,32.65,1591
20211013  10:42:00,32.6482,32.67,32.6,32.63,967
20211013  10:43:00,32.62,32.66,32.525,32.635,2329
20211013  10:44:00,32.635,32.74,32.58,32.59,2133
20211013  10:45:00,32.58,32.58,32.36,32.435,3880
20211013  10:46:00,32.435,32.46,32.34,32.38,2541
20211013  10:47:00,32.38,32.45,32.35,32.4201,1375
20211013  10:48:00,32.42,32.425,32.33,32.37,1172
20211013  10:49:00,32.3799,32.46,32.35,32.415,1459
20211013  10:50:00,32.42,32.49,32.41,32.47,1112
20211013  10:51:00,32.48,32.51,32.32,32.365,3069
20211013  10:52:00,32.365,32.375,32.2702,32.325,2049
20211013  10:53:00,32.325,32.38,32.305,32.3787,1005
20211013  10:54:00,32.379,32.38,32.3,32.33,754
20211013  10:55:00,32.325,32.47,32.32,32.4389,1631
20211013  10:56:00,32.43,32.485,32.4,32.46,865
20211013  10:57:00,32.46,32.63,32.459,32.5911,2585
20211013  10:58:00,32.6,32.67,32.57,32.59,1298
20211013  10:59:00,32.58,32.65,32.57,32.64,925
