Date,Open,High,Low,Close,Volume
20210916,24.46,25.01,24.1,24.97,84892
20210917,25.01,26.53,24.99,26.47,168416
20210920,25.42,26.015,25.125,25.72,141537
20210921,25.87,26.47,25.5,26.08,109920
20210922,26.08,27.1,25.82,26.92,131643
20210923,28.03,28.4,27.099,27.77,187034
20210924,27.5,27.58,26.66,26.97,101555
20210927,27.03,28.83,26.49,28.4,172141
20210928,28.01,28.39,26.78,26.83,149793
20210929,27.06,27.1,25.15,25.19,164069
20210930,25.25,25.8914,24.86,25.54,107610
20211001,25.57,25.87,24.96,25.57,83784
20211004,25.36,25.4,24.12,24.32,126902
20211005,24.4,24.84,24.1709,24.37,82415
20211006,24.01,25.0,23.805,24.6,113064
20211007,25.06,26.51,24.65,26.09,127283
20211008,26.48,27.355,26.37,27.19,147520
20211011,27.19,28.27,27.17,27.65,135582
20211012,27.92,29.96,27.87,29.78,242504
20211013,31.98,33.66,31.79,33.59,734390
