Date,Open,High,Low,Close,Volume
20210726  09:30:00,77.24,77.64,76.11,76.14,10016
20210726  09:31:00,76.15,76.35,75.71,76.02,5739
20210726  09:32:00,76.03,76.03,75.26,75.48,4699
20210726  09:33:00,75.48,75.78,75.37,75.42,4173
20210726  09:34:00,75.41,75.96,75.26,75.8,3829
20210726  09:35:00,75.82,75.84,75.31,75.38,4279
20210726  09:36:00,75.35,75.89,74.79,75.63,5574
20210726  09:37:00,75.65,75.8,75.12,75.32,3016
20210726  09:38:00,75.29,75.36,74.93,75.01,3763
20210726  09:39:00,74.99,75.64,74.97,75.4,2354
20210726  09:40:00,75.4,75.91,75.16,75.65,3157
20210726  09:41:00,75.64,75.69,74.67,74.8,6100
20210726  09:42:00,74.81,75.08,74.38,74.73,5457
20210726  09:43:00,74.74,75.0,74.56,74.57,2367
20210726  09:44:00,74.56,74.82,74.27,74.4,3311
20210726  09:45:00,74.39,75.08,74.37,75.02,3213
20210726  09:46:00,75.05,75.35,74.9,75.19,3128
20210726  09:47:00,75.19,75.5,75.02,75.03,3648
20210726  09:48:00,75.04,75.22,74.84,75.12,2804
20210726  09:49:00,75.12,75.45,75.11,75.43,2505
20210726  09:50:00,75.45,75.68,75.24,75.54,2805
20210726  09:51:00,75.56,75.69,75.12,75.13,2985
20210726  09:52:00,75.15,75.42,75.09,75.32,2172
20210726  09:53:00,75.32,75.57,75.1,75.56,2003
20210726  09:54:00,75.54,76.14,75.53,76.08,4552
20210726  09:55:00,76.1,76.19,75.84,76.02,2980
20210726  09:56:00,76.04,76.44,76.0,76.24,3142
20210726  09:57:00,76.23,76.38,76.01,76.01,1847
20210726  09:58:00,76.06,76.35,75.85,75.95,1747
20210726  09:59:00,75.97,76.16,75.93,76.08,1420
20210726  10:00:00,76.08,76.55,76.06,76.54,3024
20210726  10:01:00,76.52,76.8,76.45,76.59,2735
20210726  10:02:00,76.62,76.85,76.45,76.7,2198
20210726  10:03:00,76.7,76.93,76.65,76.79,2244
20210726  10:04:00,76.86,77.14,76.78,77.11,2889
20210726  10:05:00,77.1,77.28,76.85,77.11,3793
20210726  10:06:00,77.14,77.32,77.05,77.2,2911
20210726  10:07:00,77.2,77.31,77.07,77.19,2297
20210726  10:08:00,77.19,77.49,76.9,77.31,3292
20210726  10:09:00,77.31,77.52,77.2,77.38,3141
20210726  10:10:00,77.36,77.39,77.18,77.2,1077
20210726  10:11:00,77.23,77.4,76.86,76.94,2408
20210726  10:12:00,76.97,77.07,76.83,76.83,1841
20210726  10:13:00,76.85,77.1,76.73,76.95,2333
20210726  10:14:00,76.94,77.17,76.9,76.92,1461
20210726  10:15:00,76.9,77.1,76.78,77.07,1888
20210726  10:16:00,77.06,77.1,76.86,77.05,1033
20210726  10:17:00,77.05,77.08,76.92,76.97,1177
20210726  10:18:00,76.99,77.07,76.83,76.85,1133
20210726  10:19:00,76.84,77.06,76.76,76.95,1434
20210726  10:20:00,76.95,76.95,76.78,76.85,550
20210726  10:21:00,76.87,76.98,76.81,76.98,489
20210726  10:22:00,76.99,77.35,76.92,77.22,1828
20210726  10:23:00,77.22,77.52,77.22,77.47,1718
20210726  10:24:00,77.46,77.8,77.33,77.61,3169
20210726  10:25:00,77.66,77.78,77.38,77.43,2005
20210726  10:26:00,77.45,77.5,77.3,77.36,2066
20210726  10:27:00,77.37,77.5,77.25,77.41,1467
20210726  10:28:00,77.4,77.48,77.25,77.38,1295
20210726  10:29:00,77.38,77.56,77.28,77.28,1719
20210726  10:30:00,77.28,77.41,77.02,77.06,1752
20210726  10:31:00,77.07,77.19,76.9,77.03,2431
20210726  10:32:00,77.03,77.09,76.75,76.85,2038
20210726  10:33:00,76.89,77.17,76.85,77.11,1302
20210726  10:34:00,77.12,77.28,76.99,77.24,1150
20210726  10:35:00,77.24,77.25,76.91,77.01,1142
20210726  10:36:00,77.02,77.07,76.82,76.96,876
20210726  10:37:00,76.96,77.11,76.92,77.1,723
20210726  10:38:00,77.11,77.12,76.88,76.93,667
20210726  10:39:00,76.93,76.93,76.44,76.65,2195
20210726  10:40:00,76.67,76.97,76.66,76.86,1189
20210726  10:41:00,76.87,77.1,76.78,76.98,1135
20210726  10:42:00,76.96,77.1,76.85,77.02,876
20210726  10:43:00,77.05,77.24,77.01,77.01,1097
20210726  10:44:00,77.03,77.1,76.87,76.88,737
20210726  10:45:00,76.88,76.98,76.78,76.93,974
20210726  10:46:00,76.92,77.23,76.87,77.18,1461
20210726  10:47:00,77.19,77.48,77.1,77.31,1358
20210726  10:48:00,77.35,77.42,77.14,77.19,1044
20210726  10:49:00,77.21,77.22,76.93,76.95,913
20210726  10:50:00,76.95,77.21,76.86,77.14,961
20210726  10:51:00,77.12,77.44,77.12,77.22,811
20210726  10:52:00,77.25,77.42,77.25,77.39,679
20210726  10:53:00,77.39,77.57,77.36,77.51,1185
20210726  10:54:00,77.51,77.57,77.28,77.33,850
20210726  10:55:00,77.32,77.39,77.24,77.37,763
20210726  10:56:00,77.36,77.41,77.26,77.39,1266
20210726  10:57:00,77.39,77.46,77.32,77.45,642
20210726  10:58:00,77.42,77.46,77.03,77.05,773
20210726  10:59:00,77.05,77.12,76.97,77.04,1080
