Date,Open,High,Low,Close,Volume
20210628,67.76,67.9,65.76,66.22,108507
20210629,66.52,68.17,66.14,67.57,82054
20210630,66.85,68.83,66.6,68.14,86625
20210701,68.58,69.29,66.68,67.66,121056
20210702,68.12,69.04,67.68,68.49,85003
20210706,69.69,70.24,68.13,69.06,123129
20210707,69.61,69.94,65.1,65.13,138375
20210708,62.92,64.39,61.6,61.96,139213
20210709,62.5,65.89,62.43,65.81,138334
20210712,65.9,66.25,64.24,64.79,64755
20210713,64.75,65.47,63.42,63.95,67387
20210714,64.51,64.81,62.08,62.47,96204
20210715,61.64,62.63,59.75,60.5,115075
20210716,61.22,62.26,58.26,59.31,182338
20210719,57.88,60.32,57.48,59.58,106735
20210720,60.59,63.06,59.23,62.33,128590
20210721,62.09,63.44,61.82,63.39,88501
20210722,62.82,63.74,61.81,62.97,140728
20210723,74.14,79.18,74.0,77.97,1028771
20210726,77.24,78.74,74.27,76.32,456609
