Date,Open,High,Low,Close,Volume
20211018  09:30:00,19.18,19.21,19.12,19.18,3695
20211018  09:31:00,19.16,19.32,19.16,19.3,1595
20211018  09:32:00,19.3,19.33,19.29,19.31,601
20211018  09:33:00,19.31,19.36,19.31,19.33,1696
20211018  09:34:00,19.33,19.4,19.32,19.35,1370
20211018  09:35:00,19.38,19.47,19.36,19.39,1013
20211018  09:36:00,19.39,19.46,19.38,19.46,270
20211018  09:37:00,19.45,19.46,19.36,19.42,756
20211018  09:38:00,19.41,19.45,19.38,19.43,1507
20211018  09:39:00,19.43,19.52,19.42,19.44,1295
20211018  09:40:00,19.45,19.5,19.41,19.45,1133
20211018  09:41:00,19.46,19.52,19.45,19.52,2291
20211018  09:42:00,19.52,19.54,19.48,19.53,746
20211018  09:43:00,19.52,19.53,19.47,19.51,646
20211018  09:44:00,19.51,19.54,19.47,19.53,722
20211018  09:45:00,19.54,19.56,19.5,19.56,431
20211018  09:46:00,19.55,19.58,19.53,19.57,278
20211018  09:47:00,19.57,19.64,19.56,19.63,851
20211018  09:48:00,19.61,19.64,19.59,19.61,529
20211018  09:49:00,19.6,19.62,19.55,19.57,837
20211018  09:50:00,19.57,19.63,19.56,19.63,742
20211018  09:51:00,19.61,19.66,19.6,19.66,1098
20211018  09:52:00,19.66,19.7,19.65,19.7,756
20211018  09:53:00,19.7,19.73,19.68,19.71,1292
20211018  09:54:00,19.71,19.73,19.68,19.7,1473
20211018  09:55:00,19.71,19.73,19.67,19.73,424
20211018  09:56:00,19.73,19.79,19.72,19.77,1063
20211018  09:57:00,19.76,19.8,19.76,19.79,1341
20211018  09:58:00,19.78,19.8,19.76,19.76,1033
20211018  09:59:00,19.77,19.85,19.77,19.83,1276
20211018  10:00:00,19.83,19.84,19.79,19.83,724
20211018  10:01:00,19.84,19.86,19.82,19.85,1331
20211018  10:02:00,19.84,19.9,19.83,19.9,1321
20211018  10:03:00,19.89,19.98,19.88,19.96,2407
20211018  10:04:00,19.97,20.0,19.95,19.97,2649
20211018  10:05:00,19.98,19.98,19.93,19.94,1755
20211018  10:06:00,19.95,20.09,19.94,20.07,9807
20211018  10:07:00,20.06,20.13,20.03,20.13,3137
20211018  10:08:00,20.13,20.16,20.07,20.1,2662
20211018  10:09:00,20.11,20.18,20.1,20.16,1745
20211018  10:10:00,20.17,20.23,20.14,20.21,1822
20211018  10:11:00,20.21,20.22,20.18,20.21,1489
20211018  10:12:00,20.21,20.22,20.18,20.19,1594
20211018  10:13:00,20.18,20.29,20.14,20.25,3911
20211018  10:14:00,20.25,20.35,20.24,20.34,6345
20211018  10:15:00,20.35,20.36,20.3,20.32,3151
20211018  10:16:00,20.31,20.48,20.31,20.47,5676
20211018  10:17:00,20.47,20.55,20.44,20.53,8301
20211018  10:18:00,20.53,20.64,20.5,20.62,7382
20211018  10:19:00,20.61,20.62,20.43,20.46,6923
20211018  10:20:00,20.46,20.51,20.42,20.49,3624
20211018  10:21:00,20.49,20.52,20.34,20.41,6374
20211018  10:22:00,20.41,20.45,20.34,20.44,2761
20211018  10:23:00,20.43,20.47,20.37,20.41,3875
20211018  10:24:00,20.42,20.47,20.36,20.45,5422
20211018  10:25:00,20.44,20.5,20.42,20.49,4324
20211018  10:26:00,20.48,20.5,20.46,20.46,2225
20211018  10:27:00,20.46,20.51,20.42,20.47,1794
20211018  10:28:00,20.46,20.49,20.41,20.49,2135
20211018  10:29:00,20.48,20.49,20.31,20.32,4783
20211018  10:30:00,20.32,20.33,20.27,20.32,1716
20211018  10:31:00,20.32,20.34,20.29,20.31,1057
20211018  10:32:00,20.3,20.37,20.22,20.36,4463
20211018  10:33:00,20.35,20.39,20.34,20.36,733
20211018  10:34:00,20.36,20.43,20.35,20.37,2504
20211018  10:35:00,20.37,20.5,20.36,20.47,2389
20211018  10:36:00,20.47,20.53,20.45,20.53,2186
20211018  10:37:00,20.52,20.53,20.4,20.43,2452
20211018  10:38:00,20.43,20.53,20.42,20.48,3042
20211018  10:39:00,20.48,20.5,20.46,20.49,624
20211018  10:40:00,20.5,20.5,20.44,20.45,2034
20211018  10:41:00,20.46,20.48,20.4,20.41,3815
20211018  10:42:00,20.42,20.43,20.39,20.4,1079
20211018  10:43:00,20.4,20.47,20.39,20.44,1221
20211018  10:44:00,20.44,20.45,20.37,20.38,785
20211018  10:45:00,20.38,20.39,20.33,20.37,800
20211018  10:46:00,20.37,20.39,20.35,20.35,620
20211018  10:47:00,20.36,20.37,20.32,20.33,769
20211018  10:48:00,20.33,20.36,20.29,20.29,1282
20211018  10:49:00,20.29,20.37,20.29,20.35,866
20211018  10:50:00,20.35,20.37,20.34,20.35,568
20211018  10:51:00,20.34,20.39,20.33,20.39,1240
20211018  10:52:00,20.39,20.47,20.38,20.44,1732
20211018  10:53:00,20.45,20.46,20.41,20.42,549
20211018  10:54:00,20.42,20.48,20.41,20.48,487
20211018  10:55:00,20.48,20.5,20.44,20.46,1189
20211018  10:56:00,20.46,20.47,20.38,20.43,761
20211018  10:57:00,20.43,20.46,20.41,20.46,374
20211018  10:58:00,20.46,20.47,20.41,20.43,436
20211018  10:59:00,20.42,20.43,20.41,20.42,355
