Date,Open,High,Low,Close,Volume
20210921,14.62,15.28,14.56,15.17,144196
20210922,15.86,17.09,15.61,16.84,500667
20210923,17.17,17.35,16.67,17.14,265217
20210924,16.86,17.79,16.62,17.64,205733
20210927,17.66,18.08,16.85,17.7,328371
20210928,17.4,17.67,16.79,17.04,233673
20210929,16.35,17.17,16.01,16.01,290460
20210930,15.9,16.06,15.3,15.88,250540
20211001,15.88,16.49,15.75,16.45,150914
20211004,16.29,16.68,15.88,16.09,186507
20211005,16.14,16.76,16.08,16.25,112050
20211006,16.0,16.64,15.92,16.62,99620
20211007,16.94,17.09,16.34,16.4,126601
20211008,16.51,16.65,16.17,16.21,92012
20211011,16.9,18.51,16.83,18.39,629837
20211012,18.17,19.02,17.84,18.97,430074
20211013,19.0,19.31,18.49,18.92,267294
20211014,19.8,19.81,18.94,19.62,291467
20211015,19.56,19.86,19.32,19.38,193232
20211018,19.18,21.0,19.12,20.85,443798
