Date,Open,High,Low,Close,Volume
20120518,42.05,45.0,38.0,38.18,5369670
20120525,36.53,36.66,30.94,31.91,3937115
20120601,31.46,31.69,26.83,27.72,2482388
20120608,27.22,27.76,25.52,27.1,1949075
20120615,27.18,30.1,26.84,30.015,1046249
20120622,29.94,33.45,29.41,33.05,1529307
20120629,32.88,33.44,30.76,31.095,1077129
20120706,31.23,31.9,30.55,31.73,413158
20120713,32.1,32.88,30.55,30.72,599307
20120720,30.5,30.5,27.15,28.76,926902
20120727,28.12,29.49,22.28,23.705,1892238
20120803,24.0,24.04,19.82,21.09,2514040
20120810,21.35,22.45,20.22,21.805,1256124
20120817,22.15,22.45,19.0,19.05,3583625
20120824,19.05,20.13,18.75,19.41,2687039
20120831,19.49,19.53,18.03,18.06,1432927
20120907,18.07,19.42,17.55,18.98,1806336
20120914,19.06,22.08,18.55,22.0,3110281
20120921,22.66,23.37,21.37,22.86,2592587
20120928,21.74,21.98,19.8,21.66,2460991
20121005,22.08,22.59,20.88,20.91,1916171
20121012,20.4,20.75,19.45,19.52,1330858
20121019,19.68,20.48,18.8,19.0,1664176
20121026,19.2,24.25,19.05,21.94,4131227
20121102,20.84,21.69,20.73,21.18,1661657
20121109,21.1,21.48,19.13,19.21,1632209
20121116,19.16,23.93,18.87,23.56,5192209
20121123,23.96,24.68,22.7,24.0,2388667
20121130,24.94,28.0,24.81,28.0,4095107
20121207,28.0,28.88,26.68,27.485,3380252
20121214,27.17,28.75,26.76,26.81,3090956
20121221,26.76,28.22,26.12,26.26,2556996
20121228,26.5,27.18,25.15,25.91,1542804
20130104,26.19,28.93,26.11,28.76,2525246
20130111,28.7,31.96,28.65,31.72,4028947
20130118,32.06,32.21,29.27,29.66,4143615
20130125,29.75,31.93,29.74,31.54,1900291
20130201,31.88,32.5,28.74,29.73,4325171
20130208,29.09,29.29,28.01,28.545,2397726
20130215,28.61,28.75,27.1,28.32,2226870
20130222,28.21,29.08,26.82,27.13,1636234
20130301,27.16,28.03,26.34,27.78,2112426
20130308,27.77,28.68,27.21,27.96,2138714
20130315,28.01,28.64,26.56,26.645,1516614
20130322,26.37,26.9,25.56,25.73,1314730
20130328,25.74,26.28,24.72,25.58,1348969
20130405,25.63,27.8,25.28,27.39,2401092
20130412,27.19,28.1,26.42,27.4,1461216
20130419,27.16,27.48,25.15,25.73,1364362
20130426,25.81,27.09,25.7,26.85,1129053
20130503,27.16,29.07,26.86,28.31,2578335
20130510,28.33,28.46,26.57,26.68,1733449
20130517,26.6,27.33,25.9,26.25,1413956
20130524,26.16,26.19,24.08,24.315,2002005
20130531,24.51,24.95,23.26,24.35,1974395
20130607,24.28,24.32,22.67,23.29,1828023
20130614,24.06,24.6,23.26,23.63,1662544
20130621,23.93,25.19,23.65,24.53,1751921
20130628,23.94,24.98,23.38,24.88,1531223
20130705,24.97,25.06,24.15,24.37,648751
