Date,Open,High,Low,Close,Volume
20120330,7.43,7.99,7.335,7.45,230290
20120405,7.465,7.695,6.88,6.895,363865
20120413,6.82,6.895,6.4,6.72,289690
20120420,6.68,6.745,6.305,6.63,216985
20120427,6.57,6.725,6.2,6.67,153145
20120504,6.655,6.88,6.28,6.365,168870
20120511,6.39,6.935,5.875,6.45,601270
20120518,6.385,6.425,5.365,5.51,332065
20120525,5.515,6.27,5.425,5.96,330060
20120601,6.0,6.385,5.55,5.63,234055
20120608,5.605,6.04,5.42,6.015,177255
20120615,6.06,6.2,5.725,5.98,161450
20120622,5.99,6.9,5.9,6.755,453540
20120629,6.79,6.825,6.125,6.26,321355
20120706,6.27,6.36,6.04,6.2,192525
20120713,6.19,6.88,6.135,6.85,217700
20120720,6.865,7.2,6.21,6.36,480980
20120727,6.21,6.26,5.53,5.9,440160
20120803,5.92,6.05,5.105,5.455,339230
20120810,5.51,6.18,5.51,5.99,263325
20120817,5.94,6.26,5.76,6.0,150145
20120824,6.03,6.17,5.8,5.9,239875
20120831,5.915,5.94,5.6,5.705,221560
20120907,5.705,5.915,5.56,5.87,144930
20120914,5.84,6.13,5.46,6.08,289575
20120921,6.47,6.555,5.91,6.005,384245
20120928,5.9,6.205,5.495,5.855,652200
20121005,5.9,6.02,5.73,5.78,214660
20121012,5.77,5.88,5.5,5.53,187350
20121019,5.605,5.8,5.37,5.55,180770
20121026,5.6,5.71,5.405,5.475,132915
20121102,5.54,5.91,5.475,5.785,124645
20121109,5.96,6.41,5.865,6.065,390350
20121116,6.06,6.425,6.03,6.37,194555
20121123,6.415,6.695,6.34,6.425,169650
20121130,6.42,6.86,6.305,6.765,240155
20121207,6.78,7.0,6.7,6.835,228495
20121214,6.885,7.16,6.55,6.76,356930
20121221,6.755,7.05,6.715,6.8,289970
20121228,6.73,6.9,6.6,6.645,92200
20130104,6.6,7.09,6.6,6.88,147720
20130111,6.96,6.96,6.42,6.58,230175
20130118,6.615,6.97,6.57,6.905,418835
20130125,6.91,7.545,6.85,7.395,316250
20130201,7.37,7.74,7.37,7.66,297460
20130208,7.68,8.0,7.52,7.85,310995
20130215,7.595,7.83,7.39,7.41,448630
20130222,7.47,7.93,6.91,7.22,784135
20130301,7.24,7.35,6.76,6.93,499790
20130308,6.955,7.89,6.94,7.695,311735
20130315,7.775,7.9,7.04,7.06,397380
20130322,7.06,7.41,6.985,7.325,228345
