Date,Open,High,Low,Close,Volume
20120330,21.65,22.195,21.355,21.41,23626512
20120405,21.495,22.665,21.44,22.63,24159940
20120413,22.36,23.0,21.555,21.615,32993296
20120420,21.79,22.15,20.37,20.465,45107552
20120427,20.38,22.07,19.82,21.535,33247732
20120504,21.35,21.37,20.185,20.19,22450624
20120511,20.065,20.565,19.955,20.24,19824868
20120518,20.09,20.27,18.65,18.94,26015808
20120525,19.095,20.59,19.075,20.08,25108972
20120601,20.385,20.77,20.02,20.035,17507644
20120608,20.055,20.735,19.59,20.725,19071724
20120615,20.985,21.02,20.24,20.505,17971772
20120622,20.39,21.07,20.37,20.79,16073792
20120629,20.62,20.855,20.2,20.855,13456352
20120706,20.88,21.94,20.845,21.64,14228592
20120713,21.62,22.14,21.165,21.605,18736172
20120720,21.615,21.975,21.54,21.58,15212036
20120727,21.23,21.775,20.355,20.9,23550968
20120803,21.105,22.07,20.995,21.99,17106740
20120810,22.04,22.32,21.975,22.205,10690792
20120817,22.26,23.15,22.26,23.145,14232456
20120824,23.22,24.105,23.145,23.685,26035856
20120831,24.28,24.315,23.475,23.76,13581120
20120907,23.775,24.375,23.73,24.3,12737060
20120914,24.295,24.89,23.43,24.69,26053048
20120921,24.975,25.18,24.77,25.005,16711156
20120928,24.53,24.825,23.585,23.825,25796428
20121005,23.97,24.17,23.24,23.305,23086140
20121012,23.095,23.125,22.27,22.49,27070064
20121019,22.58,23.315,21.77,21.78,23170532
20121026,21.875,22.69,21.105,21.57,30733248
20121102,21.22,21.535,20.525,20.6,13340292
20121109,20.85,21.1,19.06,19.54,32670092
20121116,19.795,19.805,18.065,18.845,32619608
20121123,19.31,20.43,19.28,20.41,19008108
20121130,20.57,21.225,20.44,20.905,22353716
20121207,21.2,21.235,18.525,19.045,34620488
20121214,18.745,19.625,18.055,18.205,29640268
20121221,18.175,19.105,17.9,18.55,25693808
20121228,18.585,18.725,18.025,18.2,11668160
20130104,18.235,19.82,18.18,18.82,19399940
20130111,18.645,18.995,18.4,18.58,20360760
20130118,17.955,18.24,17.265,17.855,28156156
20130125,18.02,18.395,15.535,15.71,33496372
20130201,15.64,16.52,15.565,16.2,23113244
20130208,16.21,17.1,15.785,16.965,26655748
20130215,17.02,17.32,16.425,16.435,20530300
20130222,16.47,16.525,15.815,16.1,14819308
20130301,16.21,16.255,15.355,15.375,21010640
20130308,15.28,15.55,14.965,15.42,22623580
20130315,15.34,15.865,15.185,15.845,19886580
20130322,15.765,16.505,15.755,16.495,19908308
20130328,16.59,16.785,15.77,15.81,14045052
20130405,15.785,15.845,14.99,15.115,18322192
20130412,15.17,15.645,15.09,15.35,13495804
20130419,15.245,15.28,13.755,13.95,25568088
20130426,14.025,14.955,13.975,14.9,24376940
20130503,15.015,16.185,15.0,16.07,22479156
20130510,16.275,16.635,16.09,16.18,18845512
20130517,16.125,16.355,14.96,15.475,22729560
20130524,15.42,16.01,15.36,15.9,17699836
20130531,16.07,16.325,15.695,16.06,12787488
20130607,16.105,16.23,15.455,15.78,15866396
20130614,15.875,16.04,15.305,15.36,14030380
20130621,15.41,15.56,14.575,14.77,14252140
20130628,14.55,14.595,13.89,14.16,17043124
20130705,14.38,15.12,14.33,14.91,12374740
20130712,15.005,15.35,14.655,15.235,13628692
20130719,15.18,15.53,15.15,15.175,9734424
20130726,15.33,15.88,14.955,15.75,13256096
20130802,15.745,16.53,15.72,16.52,12014464
20130809,16.59,16.855,16.2,16.23,12406240
20130816,16.305,18.01,16.305,17.94,25273472
20130823,18.02,18.35,17.795,17.895,14932764
20130830,17.885,18.22,17.355,17.4,13970712
20130906,17.615,17.935,17.405,17.795,11314268
20130913,18.03,18.14,16.595,16.605,24072524
20130920,16.465,17.09,15.97,16.695,20838692
20130927,17.72,17.745,17.17,17.24,16219168
20131004,17.03,17.585,16.945,17.25,12741176
20131011,17.38,17.635,17.08,17.6,12956216
20131018,17.49,18.19,17.475,18.175,12062708
20131025,18.28,19.045,18.145,18.785,17281712
20131101,18.895,19.26,18.375,18.575,16932692
20131108,18.61,18.89,18.3,18.59,10566584
20131115,18.57,18.905,18.37,18.75,10546508
20131122,18.75,18.83,18.345,18.565,9870868
20131129,18.61,19.94,18.605,19.86,11371164
20131206,19.935,20.54,19.67,20.0,18114068
20131213,20.055,20.39,19.775,19.8,17552248
20131220,19.825,20.09,19.245,19.61,20481552
20131227,20.285,20.425,19.98,20.005,12806164
20140103,19.925,20.045,19.3,19.32,13617688
20140110,19.195,19.535,18.97,19.035,18617592
20140117,18.925,20.005,18.925,19.31,13032264
20140124,19.32,19.905,19.3,19.505,11660656
20140131,19.645,19.815,17.625,17.88,21426104
20140207,17.95,18.675,17.83,18.56,12208812
20140214,18.525,19.5,18.5,19.43,11207812
20140221,19.5,19.685,18.735,18.76,8829520
20140228,18.685,19.025,18.415,18.795,10706444
20140307,18.695,19.1,18.67,18.945,7804440
20140314,18.87,19.275,18.68,18.74,8768340
20140321,18.83,19.15,18.755,19.03,8290212
20140328,19.23,19.605,19.08,19.175,9737140
20140404,19.27,19.41,18.95,18.995,7192556
