Date,Open,High,Low,Close,Volume
20131220,19.18,19.79,18.81,19.68,174730
20131227,19.79,20.59,19.35,20.14,20681
20140103,20.1,20.95,19.78,20.02,13337
20140110,20.05,20.22,19.81,20.04,28079
20140117,19.9,20.49,19.75,20.24,12665
20140124,20.4,21.61,20.32,21.37,14201
20140131,21.26,22.0,21.02,21.37,11540
20140207,21.5,21.5,20.3,21.32,11767
20140214,21.25,22.45,21.07,22.0,7256
20140221,22.1,22.64,21.63,22.31,8359
20140228,22.4,22.94,21.67,22.89,16126
20140307,22.96,25.81,22.77,25.47,19345
20140314,25.3,26.68,23.02,24.11,29030
20140321,24.17,25.43,22.82,23.06,28661
20140328,23.0,24.21,22.3,23.9,14624
20140404,23.99,25.14,22.59,23.02,20319
20140411,23.01,24.18,21.91,23.6,15155
20140417,23.88,24.01,21.68,22.3,9148
20140425,22.3,23.86,21.95,22.09,11465
20140502,22.17,24.58,21.23,23.74,18094
20140509,23.57,23.68,20.99,21.14,8865
20140516,21.18,21.78,21.0,21.27,7744
20140523,21.25,22.76,21.19,22.57,5454
20140530,23.11,23.47,22.39,22.67,7099
20140606,22.33,24.28,22.02,24.0,10908
20140613,23.88,24.63,23.64,24.22,5331
20140620,24.24,24.79,23.68,24.61,8090
20140627,24.65,24.72,24.0,24.61,4496
20140703,24.56,25.0,24.4,24.63,4092
20140711,24.75,24.75,23.02,23.28,5225
20140718,23.46,23.62,22.1,22.53,9452
20140725,22.47,23.06,22.21,23.01,5097
20140801,22.98,23.28,22.09,23.0,7219
20140808,23.11,23.97,22.69,23.36,5981
20140815,23.36,23.64,22.38,23.1,3154
20140822,23.3,23.93,23.04,23.49,4371
20140829,23.66,23.81,23.34,23.67,2700
20140905,23.65,24.62,23.49,24.45,5134
20140912,24.48,25.03,24.02,24.61,10896
20140919,24.84,25.34,24.28,24.6,5819
20140926,24.59,24.9,23.02,23.49,5102
20141003,23.33,23.56,22.45,23.41,7756
20141010,23.42,23.6,21.62,21.76,3957
20141017,21.75,23.3,21.1,22.2,10929
20141024,22.1,23.54,21.7,23.42,5783
20141031,23.39,25.65,23.17,25.4,12286
20141107,25.47,25.8,23.92,25.72,10019
20141114,25.7,26.2,25.0,25.52,4695
20141121,25.4,25.97,24.96,25.03,7501
20141128,25.59,26.83,25.29,26.22,9357
20141205,26.29,26.79,24.71,25.25,9819
20141212,25.25,25.5,24.45,24.91,5869
20141219,25.03,26.57,24.19,26.17,13084
20141226,26.06,27.08,26.06,26.39,7454
20150102,26.4,26.72,24.93,25.63,10939
20150109,25.49,26.91,24.27,26.87,10067
20150116,26.86,28.08,26.45,27.06,11187
20150123,27.2,28.83,26.89,28.3,12227
20150130,28.35,28.71,27.2,28.12,6243
20150206,28.28,29.6,27.25,29.42,17899
20150213,29.75,31.03,29.36,30.62,12232
20150220,30.89,32.97,30.12,32.61,32821
20150227,32.72,34.7,32.43,34.38,12405
20150306,34.57,35.65,33.9,33.96,15751
20150313,34.03,35.34,33.77,34.9,11354
20150320,35.23,35.86,34.86,35.68,7647
20150327,35.7,36.13,34.21,34.95,5605
20150402,35.21,35.91,34.18,35.18,7168
20150410,35.19,35.65,34.03,34.1,7372
20150417,33.42,34.51,32.06,32.8,10025
20150424,32.88,33.91,32.52,32.87,5554
20150501,32.87,33.25,29.28,30.75,21142
20150508,30.87,30.87,29.22,29.66,10833
20150515,29.66,30.32,28.56,29.11,10278
20150522,29.04,30.07,29.0,29.6,6731
20150529,29.59,29.75,28.58,28.91,6491
20150605,28.68,28.92,27.09,28.83,14767
20150612,28.75,28.86,27.95,28.47,7706
20150619,28.22,30.29,27.9,30.1,15797
20150626,30.23,31.79,29.56,31.64,10166
20150702,31.81,31.82,30.19,30.78,9167
20150710,30.49,31.41,30.05,31.35,6756
20150717,31.51,32.87,31.51,32.82,8592
20150724,32.81,32.99,30.8,31.05,10619
20150731,30.55,32.35,29.16,32.25,21543
20150807,32.42,32.45,28.87,29.59,11978
20150814,29.79,29.89,27.72,29.46,14465
20150821,29.28,31.2,28.7,29.27,20035
20150828,27.6,29.37,26.9,29.01,13690
20150904,28.96,29.29,26.98,27.71,9142
20150911,28.41,28.55,26.43,26.93,5433
20150918,26.93,28.04,26.67,27.99,4860
20150925,28.14,28.29,25.02,25.49,8272
20151002,25.46,25.46,23.96,25.21,6642
20151009,25.29,27.73,25.09,27.21,8896
20151016,27.27,28.17,26.11,26.82,9083
20151023,26.66,27.32,25.2,26.68,6860
20151030,26.76,27.8,25.65,27.37,7870
20151106,27.44,27.71,24.69,27.08,20493
20151113,27.0,27.53,26.09,26.26,6492
20151120,26.19,26.49,25.36,25.55,7199
20151127,25.66,25.71,24.63,25.05,6030
20151204,24.94,25.81,23.69,23.74,7681
20151211,23.42,23.9,22.37,23.08,11532
20151218,23.09,25.87,22.41,24.78,13333
20151224,24.93,24.99,23.15,23.25,8581
20151231,23.0,24.2,22.76,24.0,10162
20160108,23.67,23.86,22.3,22.38,17366
20160115,22.45,22.84,20.48,20.95,16345
20160122,21.13,21.47,19.66,20.2,6000
20160129,20.2,21.85,19.86,21.8,8093
20160205,21.66,21.98,20.04,20.27,10227
20160212,20.06,20.94,19.28,20.46,10171
20160219,20.65,23.01,20.65,21.87,7731
20160226,22.02,23.46,21.5,23.3,8419
20160304,24.68,27.24,22.2,27.02,24792
20160311,26.99,29.72,26.84,29.54,15510
20160318,29.43,29.92,28.72,29.41,15083
20160324,29.32,29.5,27.28,28.06,8397
20160401,28.32,29.05,27.57,28.64,9789
20160408,28.68,28.71,27.0,27.36,6226
20160415,27.61,28.33,26.87,27.57,6390
20160422,27.4,28.61,27.1,27.46,6397
20160429,27.06,29.5,26.07,28.18,16356
20160506,28.19,29.68,27.66,29.15,10048
20160513,29.15,30.31,28.7,29.31,7426
20160520,29.31,29.54,27.84,28.23,8295
20160527,28.19,29.16,28.0,29.12,6361
20160603,29.21,29.28,28.13,28.58,5494
20160610,28.69,28.7,26.82,26.94,6492
20160617,27.16,27.78,26.33,27.05,7400
20160624,27.48,27.72,26.25,26.94,4531
20160701,26.59,28.26,25.75,28.19,8693
20160708,28.0,28.0,26.97,27.59,3159
20160715,27.57,31.42,27.53,30.63,12535
20160722,30.6,30.68,29.82,30.6,8574
20160729,30.5,30.51,28.59,29.42,20775
20160805,27.46,29.27,27.36,29.03,22087
20160812,29.0,29.81,28.51,29.8,14940
20160819,29.88,30.28,29.48,29.91,11262
20160826,29.28,30.38,29.05,29.63,7981
20160902,29.71,30.7,29.5,30.5,6964
20160909,30.49,31.26,30.18,30.3,6954
20160916,30.13,31.96,30.06,31.91,9274
20160923,32.0,32.28,31.25,31.33,8527
20160930,31.07,31.54,30.57,31.09,8672
20161007,31.85,32.84,31.11,32.24,9842
20161014,32.1,32.7,31.3,31.75,7042
20161021,31.6,32.0,31.3,31.8,6072
20161028,32.2,32.25,31.05,31.35,7474
20161104,31.25,31.8,30.4,31.3,9039
20161111,31.55,34.7,31.3,34.5,16068
20161118,34.85,35.65,34.15,35.05,15680
20161125,35.2,35.35,34.55,34.95,8317
20161202,35.0,35.08,31.95,32.25,13672
20161209,32.5,34.1,31.9,32.6,24912
20161216,32.4,32.7,31.5,31.9,18928
20161223,32.2,35.3,31.9,35.3,28623
20161230,35.45,35.5,33.6,33.65,15452
20170106,34.05,34.8,33.5,33.8,18028
20170113,33.8,34.5,33.25,34.25,14167
20170120,34.15,34.4,33.3,34.3,8094
20170127,34.35,34.9,33.7,34.0,15291
20170203,34.65,34.65,32.7,32.9,20403
20170210,32.7,32.95,30.8,31.35,162536
20170217,31.4,31.55,31.0,31.2,46079
20170224,31.25,31.45,30.45,31.4,46536
20170303,31.25,31.55,29.1,29.4,103424
20170310,29.4,30.2,29.2,30.15,53517
20170317,30.0,30.83,29.54,30.6,65178
20170324,30.55,31.15,29.95,30.85,45848
20170331,30.35,31.6,30.25,31.45,67589
20170407,31.85,32.1,30.25,30.35,68091
20170413,30.55,30.85,29.95,30.2,32432
20170421,30.45,31.45,30.2,30.9,41844
20170428,31.2,31.4,30.0,30.3,47452
20170505,30.45,30.55,29.0,29.1,51359
20170512,29.3,30.1,26.7,26.9,101213
20170519,27.0,27.0,24.3,25.3,97303
20170526,25.3,25.6,23.12,24.7,111115
20170602,24.5,24.85,22.35,24.8,113651
20170609,24.65,25.58,23.2,23.3,118554
20170616,23.4,24.7,23.2,24.65,59530
20170623,24.7,25.05,22.15,23.6,101005
20170630,23.5,24.2,22.65,22.75,67172
20170707,22.9,23.6,21.25,21.95,56539
20170714,21.85,22.4,21.25,21.9,48391
20170721,21.25,21.25,19.65,20.35,163397
20170728,20.4,21.2,20.25,20.5,68686
20170804,20.6,20.9,14.8,16.25,302171
20170811,16.2,16.45,13.65,14.05,139108
20170818,14.3,14.45,12.05,13.0,184887
20170825,13.0,13.45,12.4,12.9,125919
20170901,13.05,14.35,12.45,14.15,143326
20170908,14.2,14.6,13.05,13.35,170407
20170915,13.6,17.13,13.5,16.95,209400
20170922,17.2,17.65,15.1,15.9,139895
20170929,15.75,16.15,14.25,14.7,141812
20171006,15.05,16.5,14.45,15.2,104966
20171013,15.2,15.2,13.35,13.75,148801
20171020,13.7,14.55,13.5,14.0,88029
20171027,14.0,14.95,13.95,14.75,74757
20171103,14.7,14.85,11.8,11.9,179080
20171110,12.05,12.9,10.9,11.0,255576
20171117,11.15,13.15,10.8,12.95,148131
20171124,12.8,14.05,12.3,13.85,72075
20171201,14.0,16.4,13.63,14.0,218867
20171208,14.15,15.0,14.05,14.65,121571
20171215,14.6,16.0,14.6,15.1,133927
20171222,15.15,15.6,14.35,14.9,118199
20171229,14.8,15.43,14.0,15.1,102019
20180105,15.2,15.65,14.05,14.1,75307
20180112,14.3,14.7,13.55,14.45,124115
20180119,14.5,14.6,13.1,13.2,58748
20180126,13.25,13.7,12.4,12.85,92458
20180202,12.8,14.23,12.5,13.95,93824
20180209,13.8,14.4,12.8,13.45,93518
20180216,13.65,14.9,13.4,14.4,81915
20180223,14.65,15.0,14.25,14.85,61074
20180302,14.85,16.2,14.5,15.75,157382
20180309,15.8,16.08,15.25,15.7,73604
20180316,15.7,15.85,14.0,14.2,64906
20180323,14.2,14.6,13.57,13.9,62127
20180329,14.1,14.25,13.45,14.05,45760
20180406,13.9,16.8,13.9,16.45,115511
20180413,16.6,17.0,16.3,16.95,53663
20180420,17.15,17.95,16.75,17.0,77392
20180427,17.0,17.6,16.8,17.2,49443
20180504,17.25,17.6,16.15,16.3,62342
20180511,16.5,17.6,15.9,16.3,111173
20180518,16.35,17.0,15.95,16.1,45993
20180525,16.1,16.25,14.9,15.05,76660
20180601,15.0,15.0,14.35,14.8,51275
20180608,14.75,14.98,14.24,14.45,60370
20180615,14.45,15.95,14.45,15.6,62627
20180622,15.55,17.55,15.5,16.6,75930
20180629,16.6,16.7,15.5,15.9,64201
20180706,15.85,17.45,15.55,17.3,47586
20180713,17.35,17.85,16.52,17.05,67620
20180720,17.15,17.2,15.75,15.95,61416
20180727,15.85,16.0,15.2,15.7,72253
20180803,15.55,17.5,15.25,17.15,142718
20180810,17.15,18.35,16.55,17.45,123287
20180817,17.35,18.8,17.2,18.35,103807
20180824,18.45,19.55,18.1,19.15,65611
20180831,19.15,19.25,18.5,19.05,49573
20180907,19.05,20.45,18.67,19.9,95559
20180914,19.95,21.3,19.45,19.8,91289
20180921,19.75,21.45,19.15,21.35,99258
20180928,19.9,20.7,19.45,20.5,84783
20181005,20.54,20.6,19.48,19.7,74084
20181012,19.53,19.93,18.4,18.86,58733
20181019,18.84,20.36,18.63,19.81,63820
20181026,19.92,20.26,17.42,17.83,78478
20181102,18.07,19.88,18.06,19.0,56659
20181109,19.08,19.24,14.97,15.66,135167
20181116,15.71,15.9,13.99,14.05,95492
20181123,14.05,14.3,13.04,13.88,76830
20181130,14.0,14.25,13.4,13.65,61437
20181207,13.85,14.7,13.6,14.27,45644
20181214,14.24,15.44,13.68,14.51,53513
20181221,14.47,14.79,12.3,12.34,57731
20181228,12.28,12.76,11.66,12.42,51205
20190104,12.5,13.69,11.9,13.54,43208
20190111,13.55,14.75,13.37,14.03,44043
20190118,13.98,14.6,13.8,14.46,32659
20190125,14.01,14.5,13.4,14.01,37053
20190201,13.97,14.69,13.88,14.19,33390
20190208,14.17,14.59,13.22,13.72,44395
20190215,13.74,14.14,12.82,13.79,67733
20190222,13.72,14.32,13.18,13.87,47194
20190301,14.02,16.5,13.08,16.0,148082
20190308,16.11,16.15,14.36,14.72,79078
20190315,14.77,15.04,14.15,14.5,51141
20190322,14.47,15.59,14.38,15.06,49746
20190329,15.04,15.6,14.58,14.85,49792
20190405,14.95,15.14,14.52,14.98,48007
20190412,15.35,16.8,15.32,16.43,67595
20190418,16.44,17.07,15.94,16.05,57788
20190426,15.95,15.95,14.87,15.4,69082
20190503,15.86,15.96,14.33,14.59,73919
20190510,14.4,15.22,13.02,13.82,112045
20190517,13.53,13.75,13.05,13.13,76170
20190524,13.19,13.33,12.65,12.69,67244
20190531,12.69,12.81,11.71,11.98,53526
20190607,11.95,12.08,10.7,10.75,116830
20190614,10.81,11.18,10.63,10.96,88349
20190621,10.98,11.68,10.31,10.6,84806
20190628,10.64,10.67,9.28,9.33,117227
20190705,9.85,9.9,9.0,9.4,87244
20190712,9.34,9.61,8.73,9.46,132140
20190719,9.39,11.04,9.06,10.54,166007
20190726,10.64,11.3,10.07,11.25,138636
20190802,11.3,11.98,10.93,11.62,138509
20190809,11.43,12.49,10.89,12.18,177166
20190816,12.12,12.4,10.46,11.15,117598
20190823,11.4,11.64,10.87,11.01,81809
20190830,11.12,11.5,10.61,11.11,74808
20190906,11.19,12.06,10.97,11.52,71053
20190913,11.57,11.98,11.36,11.96,71510
20190920,11.85,12.13,10.62,10.85,90705
20190927,10.8,11.14,10.44,10.78,73708
20191004,10.82,10.97,9.65,9.82,86882
20191011,9.72,9.96,9.05,9.22,110944
20191018,9.18,9.55,8.78,9.36,111774
20191025,9.43,10.14,9.18,9.72,93487
20191101,9.78,10.06,9.2,9.62,78898
20191108,9.74,10.35,9.12,9.62,121328
20191115,9.55,9.67,8.53,8.76,146429
20191122,8.76,9.05,7.47,7.96,248511
20191129,8.08,8.65,7.9,8.18,150207
20191206,8.24,8.71,7.77,8.05,148509
20191213,8.03,8.44,7.84,8.22,80584
20191220,8.45,8.78,7.66,7.73,195362
20191227,7.73,7.75,7.2,7.3,162562
20200103,7.31,7.6,7.15,7.32,119428
20200110,7.25,7.3,6.35,6.47,218698
20200117,6.5,7.44,6.42,7.28,134292
20200124,7.26,7.32,6.6,6.74,81056
20200131,6.56,6.89,6.25,6.52,93965
20200207,6.5,7.13,6.38,6.55,93549
20200214,6.55,7.19,6.47,7.1,75303
20200221,7.09,7.78,7.03,7.46,100829
20200228,7.14,7.28,5.12,6.26,252151
20200306,6.31,6.32,4.37,4.53,216753
20200313,3.95,4.29,2.65,3.22,236201
20200320,2.64,3.6,1.95,3.19,356382
20200327,3.23,3.98,2.71,3.6,251412
20200403,3.45,3.5,2.0,2.27,277568
20200409,2.5,3.73,2.4,2.6,346158
20200417,2.34,3.85,1.95,3.2,665676
20200424,3.22,3.44,3.02,3.05,263251
20200501,3.15,5.53,3.06,4.57,660284
20200508,4.11,4.78,3.81,4.1,216181
20200515,6.4,6.41,4.08,4.52,1250441
20200522,4.8,4.98,4.5,4.58,193453
20200529,4.8,5.675,4.7,5.13,248356
20200605,5.03,6.15,5.0,5.91,393140
20200612,6.29,7.35,5.0,5.89,420268
20200619,5.42,6.25,5.3,5.52,288506
20200626,5.48,5.48,4.15,4.18,281583
20200702,3.91,4.69,3.75,4.53,191266
20200710,4.61,4.64,4.08,4.6,184070
20200717,4.76,4.8159,4.1,4.27,143664
20200724,4.21,4.235,3.96,4.0,118982
20200731,4.01,4.34,3.81,4.04,161610
20200807,4.05,5.26,3.86,4.75,352210
20200814,4.65,5.77,4.35,5.54,442967
20200821,5.69,5.85,5.13,5.19,361764
20200828,5.34,7.1,4.9378,6.3,558039
20200904,6.33,7.71,5.76,7.02,712113
20200911,6.76,6.9471,5.6,5.79,205872
20200918,5.89,5.89,5.42,5.67,170247
20200925,5.42,5.48,4.3573,4.88,162028
20201002,5.04,5.04,4.42,4.65,143013
20201009,4.31,4.36,3.94,4.05,337232
20201016,4.03,4.09,2.66,3.04,678909
20201023,3.31,3.88,2.84,2.97,770513
20201030,2.92,2.93,2.28,2.36,465378
20201106,2.3,2.62,2.11,2.49,475800
20201113,4.27,4.39,2.78,2.97,2036439
20201120,3.39,3.39,2.9,3.35,1182649
20201127,3.51,5.0,3.41,4.45,1177946
20201204,4.44,4.45,3.3,3.51,1291141
20201211,3.45,4.33,3.33,3.92,1040247
20201218,4.01,4.01,2.72,2.8,1771480
20201224,2.61,2.75,2.48,2.51,642667
20201231,2.63,2.63,2.08,2.12,1046885
20210108,2.2,2.23,1.91,2.14,1781325
20210115,2.16,2.55,2.13,2.33,3238284
20210122,2.8,3.74,2.57,3.51,7035283
20210129,4.71,20.36,3.85,13.26,23648263
20210205,17.02,17.25,6.0,6.83,11947980
20210212,6.88,6.89,5.26,5.59,4278411
20210219,6.03,6.25,5.32,5.7,2197284
20210226,5.95,11.0,5.75,8.01,11256561
20210305,8.86,9.445,7.5,8.05,3670847
20210312,8.53,12.47,8.31,11.16,6237141
20210319,12.18,14.54,11.85,13.93,6166439
20210326,13.15,13.19,8.93,10.24,4087774
20210401,10.32,10.76,9.15,9.36,1650186
20210409,10.1,11.25,9.24,9.42,2049573
20210416,9.44,10.23,8.3101,9.33,2065583
20210423,9.48,10.65,9.01,10.16,1419647
20210430,10.67,12.223,9.88,10.03,2067886
20210507,10.11,10.12,8.93,9.51,1489656
20210514,9.9,14.335,9.56,12.98,5806514
20210521,13.67,14.67,12.03,12.08,4575019
20210528,12.29,36.72,12.17,26.12,17842991
20210604,31.89,72.62,28.53,47.91,17553760
20210611,52.38,60.62,39.71,49.4,9481480
20210618,51.83,64.955,51.52,59.26,10916934
20210625,61.34,63.01,51.05,54.06,5201539
20210702,55.1,61.0,47.77,51.96,3131802
20210709,53.46,55.07,38.76,46.19,3036775
20210716,44.29,46.55,32.14,34.96,5168562
20210723,32.95,46.55,31.15,36.99,5440436
20210730,38.32,40.85,36.08,37.02,2953594
20210806,37.58,38.48,28.91,32.7,3192928
20210813,32.68,37.1595,29.4,33.47,3316642
20210820,33.85,38.7762,32.2,34.41,3006978
20210827,35.04,48.3,34.4,40.84,5923361
20210903,41.78,47.85,41.28,44.02,3659084
20210910,45.0,51.7,44.88,50.16,3261794
20210917,51.82,52.79,43.77,44.2,2809492
20210924,41.95,43.3286,37.65,40.01,2295619
20211001,40.12,41.78,33.74,38.46,2417447
20211008,38.9,39.03,35.64,37.19,1558872
20211015,36.85,41.79,36.12,40.74,1840169
20211022,40.795,44.4404,35.995,36.6,1828817
20211029,36.18,37.8492,34.53,35.37,1210661
20211105,35.65,44.21,35.39,41.7,1731568
20211112,42.47,45.95,37.5,40.0,1469144
20211119,40.35,44.4325,39.66,40.87,1195834
20211126,41.51,42.99,36.13,37.63,791847
20211203,38.26,38.43,25.3101,29.01,2109253
20211210,28.01,33.92,26.0,27.44,2050692
20211217,27.49,30.71,20.8,29.12,3828882
20211223,29.0,32.23,26.82,28.52,1633288
20211231,28.35,30.19,26.62,27.2,1344965
20220107,27.415,28.13,20.8,22.99,1799382
20220114,22.39,23.75,19.51,20.57,1757499
20220121,19.79,20.16,16.22,17.97,1830730
20220128,16.24,18.155,13.4,15.06,2745924
20220204,15.14,18.71,14.65,15.35,2476878
20220211,15.62,20.96,14.65,18.81,2969485
20220218,18.83,20.58,17.66,17.9,1855075
20220225,17.36,18.13,14.96,17.66,1465414
20220304,17.995,19.43,16.35,16.57,1578939
20220311,16.91,17.1,14.265,14.3,1364586
