Date,Open,High,Low,Close,Volume
20150102,2.7,2.73,2.64,2.69,77292
20150109,2.67,2.7,2.54,2.63,500031
20150116,2.62,2.68,2.39,2.39,807347
20150123,2.39,2.5,2.14,2.45,1423152
20150130,2.44,2.84,2.44,2.57,1386834
20150206,2.69,3.37,2.65,3.03,1797119
20150213,3.03,3.18,2.93,3.15,685758
20150220,3.16,3.17,3.01,3.06,299024
20150227,3.05,3.14,3.02,3.11,367721
20150306,3.13,3.23,2.83,2.92,597892
20150313,2.92,2.98,2.71,2.75,522876
20150320,2.75,2.82,2.72,2.8,400620
20150327,2.81,2.85,2.53,2.72,812676
20150402,2.73,2.76,2.65,2.69,303405
20150410,2.68,2.78,2.68,2.76,330589
20150417,2.76,2.94,2.45,2.575,1104028
20150424,2.56,2.57,2.25,2.3,1352227
20150501,2.3,2.37,2.25,2.31,528313
20150508,2.31,2.36,2.24,2.31,612807
20150515,2.31,2.39,2.3,2.32,387635
20150522,2.35,2.37,2.27,2.28,371394
20150529,2.27,2.33,2.2,2.28,417159
20150605,2.29,2.34,2.25,2.33,350500
20150612,2.31,2.36,2.28,2.31,347149
20150619,2.32,2.59,2.29,2.58,927319
20150626,2.61,2.67,2.37,2.47,1051348
20150702,2.41,2.63,2.31,2.53,1089870
20150710,2.46,2.54,1.93,1.96,1074668
20150717,1.97,2.09,1.74,1.79,806235
20150724,1.82,1.84,1.65,1.67,651352
20150731,1.67,1.99,1.61,1.93,705659
20150807,1.93,2.21,1.9,2.09,657323
20150814,1.92,1.98,1.79,1.84,546626
20150821,1.82,1.88,1.68,1.78,494978
20150828,1.69,1.87,1.65,1.85,599614
20150904,1.82,1.87,1.71,1.82,382320
20150911,1.85,2.14,1.81,2.01,520006
20150918,2.0,2.0,1.81,1.87,406935
20150925,1.87,1.9,1.66,1.71,339153
20151002,1.69,1.83,1.65,1.83,263798
20151009,1.83,1.96,1.77,1.96,393722
20151016,1.96,2.06,1.85,1.94,636796
20151023,1.91,2.21,1.91,2.21,465379
20151030,2.21,2.21,2.1,2.12,250273
20151106,2.13,2.3,2.11,2.15,323260
20151113,2.15,2.18,1.94,1.99,238184
20151120,1.99,2.25,1.95,2.22,309831
20151127,2.22,2.4,2.17,2.33,284202
20151204,2.34,2.37,2.2,2.28,298488
20151211,2.26,2.5,2.21,2.36,479237
20151218,2.36,2.6,2.3,2.45,549816
20151224,2.47,3.0,2.43,2.92,657709
20151231,2.91,3.06,2.86,2.87,485417
20160108,2.77,2.82,2.1,2.14,1150228
20160115,2.16,2.46,1.99,2.03,1010239
20160122,2.08,2.18,1.75,2.02,866879
20160129,2.01,2.2,2.01,2.2,489215
20160205,2.17,2.19,1.95,1.98,432161
20160212,1.97,1.995,1.81,1.83,487097
20160219,1.86,1.98,1.82,1.91,415223
