Date,Open,High,Low,Close,Volume
20120330,206.14,207.0,200.31,202.51,151698
20120405,198.37,202.39,192.36,194.39,186998
20120413,192.02,194.2,185.61,188.46,177602
20120420,189.05,194.55,183.65,189.98,162908
20120427,188.99,228.69,185.51,226.85,344257
20120504,223.63,233.84,223.05,223.99,275069
20120511,222.6,230.68,218.2,227.68,189835
20120518,225.6,230.61,212.81,213.85,220096
20120525,214.03,219.98,211.18,212.89,155160
20120601,214.3,216.55,207.11,208.22,141262
20120608,207.4,221.49,206.37,218.48,156844
20120615,217.31,220.87,212.56,218.35,139003
20120622,217.3,226.03,216.73,222.16,122774
20120629,220.44,228.35,218.0,228.35,139825
20120706,229.3,230.5,224.18,225.05,84443
20120713,224.8,227.14,212.61,218.39,115741
20120720,216.6,229.39,213.96,228.29,140640
20120727,224.72,238.34,214.95,237.32,283765
20120803,237.0,240.74,228.66,234.97,143645
20120810,235.6,238.0,231.43,232.75,81803
20120817,232.44,243.35,231.0,241.17,144407
20120824,241.37,246.87,238.2,245.74,120994
20120831,245.7,250.0,243.0,248.27,131670
20120907,248.48,259.42,244.66,259.14,157926
20120914,259.0,264.11,253.5,261.27,135021
20120921,261.25,262.84,256.74,257.47,135868
20120928,255.22,258.95,248.23,254.32,137384
20121005,255.4,261.9,249.03,258.51,119720
20121012,257.67,259.8,241.89,242.36,137235
20121019,242.85,250.91,238.51,240.0,164969
20121026,238.81,238.95,226.1,238.24,252775
20121102,236.32,238.7,230.5,232.42,108285
20121109,232.27,237.75,224.6,226.31,130774
20121116,226.59,229.22,218.18,225.23,142606
20121123,228.32,240.0,227.45,239.88,98747
20121130,240.39,252.65,238.0,252.05,173113
20121207,252.55,255.55,248.66,253.27,134363
20121214,253.1,254.78,246.65,249.19,140418
20121221,249.81,263.11,249.26,256.92,146951
20121228,257.3,259.5,242.86,245.18,95785
20130104,243.75,260.85,242.75,259.15,100824
20130111,262.97,269.73,262.3,267.94,140414
20130118,268.0,274.5,267.54,272.12,123514
20130125,271.62,284.72,266.65,283.99,119379
20130201,283.75,284.48,262.8,265.0,331203
20130208,262.77,268.03,255.11,261.95,171693
20130215,263.2,270.65,256.6,265.09,174025
20130222,265.91,274.3,261.61,265.42,120806
20130301,266.94,268.69,255.73,265.74,133115
20130308,265.36,276.68,264.14,274.19,115623
20130315,273.43,277.4,260.05,261.82,150256
20130322,259.3,261.49,252.07,257.75,132223
20130328,258.55,267.38,254.5,266.49,92211
