Date,Open,High,Low,Close,Volume
20211004  09:30:00,141.74,141.74,141.74,141.74,0
20211004  09:30:05,141.7,141.7,141.54,141.6,20
20211004  09:30:10,141.68,141.68,141.68,141.68,1
20211004  09:30:15,141.75,141.75,141.74,141.75,1
20211004  09:30:20,141.59,141.59,141.58,141.58,5
20211004  09:30:25,141.64,141.84,141.01,141.19,3356
20211004  09:30:30,141.16,141.48,141.02,141.45,479
20211004  09:30:35,141.45,141.47,141.28,141.36,173
20211004  09:30:40,141.34,141.5,141.34,141.46,83
20211004  09:30:45,141.47,141.58,141.41,141.47,97
20211004  09:30:50,141.47,141.59,141.4,141.47,59
20211004  09:30:55,141.47,141.75,141.43,141.68,250
20211004  09:31:00,141.63,141.81,141.62,141.8,104
20211004  09:31:05,141.76,141.9,141.75,141.82,237
20211004  09:31:10,141.8,141.81,141.67,141.68,92
20211004  09:31:15,141.68,141.72,141.41,141.41,92
20211004  09:31:20,141.36,141.44,141.25,141.26,99
20211004  09:31:25,141.25,141.35,141.22,141.33,122
20211004  09:31:30,141.3,141.31,141.22,141.31,58
20211004  09:31:35,141.27,141.46,141.23,141.3,70
20211004  09:31:40,141.31,141.34,141.26,141.32,145
20211004  09:31:45,141.32,141.46,141.32,141.35,68
20211004  09:31:50,141.35,141.4,141.22,141.27,114
20211004  09:31:55,141.25,141.27,141.21,141.26,72
20211004  09:32:00,141.24,141.31,141.2,141.28,36
20211004  09:32:05,141.27,141.35,141.16,141.32,109
20211004  09:32:10,141.34,141.34,141.21,141.21,33
20211004  09:32:15,141.2,141.23,140.97,141.04,910
20211004  09:32:20,141.06,141.15,141.04,141.1,95
20211004  09:32:25,141.12,141.13,141.02,141.06,49
20211004  09:32:30,141.03,141.03,140.88,140.93,134
20211004  09:32:35,140.93,141.06,140.8,141.04,216
20211004  09:32:40,141.04,141.19,140.96,141.19,196
20211004  09:32:45,141.14,141.26,141.14,141.25,51
20211004  09:32:50,141.33,141.33,141.07,141.15,90
20211004  09:32:55,141.14,141.14,141.01,141.01,86
20211004  09:33:00,141.02,141.04,140.92,140.93,180
20211004  09:33:05,140.98,141.04,140.86,140.87,132
20211004  09:33:10,140.87,140.91,140.66,140.74,245
20211004  09:33:15,140.71,140.81,140.7,140.74,170
20211004  09:33:20,140.7,140.76,140.7,140.74,81
20211004  09:33:25,140.7,140.7,140.64,140.67,69
20211004  09:33:30,140.65,140.75,140.58,140.62,419
20211004  09:33:35,140.61,140.61,140.5,140.56,115
20211004  09:33:40,140.56,140.57,140.4,140.46,244
20211004  09:33:45,140.46,140.55,140.37,140.4,216
20211004  09:33:50,140.39,140.57,140.38,140.5,212
20211004  09:33:55,140.5,140.51,140.26,140.34,285
20211004  09:34:00,140.34,140.5,140.3,140.46,150
20211004  09:34:05,140.47,140.49,140.33,140.37,271
20211004  09:34:10,140.39,140.46,140.39,140.43,142
20211004  09:34:15,140.45,140.64,140.43,140.53,277
20211004  09:34:20,140.57,140.57,140.44,140.5,121
20211004  09:34:25,140.46,140.49,140.38,140.38,90
20211004  09:34:30,140.41,140.5,140.38,140.49,72
20211004  09:34:35,140.5,140.58,140.44,140.49,82
20211004  09:34:40,140.57,140.61,140.53,140.61,59
20211004  09:34:45,140.57,140.57,140.37,140.39,170
20211004  09:34:50,140.38,140.42,140.35,140.39,103
20211004  09:34:55,140.4,140.43,140.36,140.41,153
20211004  09:35:00,140.39,140.48,140.35,140.35,160
20211004  09:35:05,140.33,140.34,140.26,140.26,170
20211004  09:35:10,140.27,140.3,140.25,140.25,296
20211004  09:35:15,140.27,140.3,140.25,140.27,124
20211004  09:35:20,140.27,140.4,140.25,140.32,160
20211004  09:35:25,140.35,140.38,140.25,140.27,58
20211004  09:35:30,140.26,140.32,140.24,140.3,85
20211004  09:35:35,140.3,140.37,140.3,140.31,79
20211004  09:35:40,140.32,140.35,140.14,140.26,306
20211004  09:35:45,140.26,140.28,140.13,140.19,118
20211004  09:35:50,140.18,140.24,140.12,140.17,121
20211004  09:35:55,140.19,140.21,140.14,140.16,62
20211004  09:36:00,140.13,140.18,140.04,140.09,236
20211004  09:36:05,140.08,140.09,139.44,139.47,703
20211004  09:36:10,139.52,139.72,139.48,139.72,328
20211004  09:36:15,139.77,139.95,139.73,139.91,71
20211004  09:36:20,139.92,139.94,139.82,139.91,86
20211004  09:36:25,139.91,140.15,139.9,140.09,227
20211004  09:36:30,140.1,140.12,140.01,140.05,165
20211004  09:36:35,140.11,140.11,140.0,140.02,123
20211004  09:36:40,140.02,140.12,140.02,140.09,92
20211004  09:36:45,140.12,140.2,140.09,140.1,158
20211004  09:36:50,140.09,140.09,139.92,139.99,211
20211004  09:36:55,139.99,140.13,139.98,140.07,83
20211004  09:37:00,140.06,140.07,139.91,139.94,155
20211004  09:37:05,139.92,140.02,139.89,139.97,61
20211004  09:37:10,139.99,140.02,139.89,139.92,64
20211004  09:37:15,139.93,139.95,139.85,139.87,74
20211004  09:37:20,139.89,139.94,139.77,139.83,198
20211004  09:37:25,139.87,139.87,139.77,139.78,91
20211004  09:37:30,139.79,139.82,139.7,139.77,248
20211004  09:37:35,139.77,139.84,139.75,139.82,98
20211004  09:37:40,139.84,139.85,139.81,139.83,89
20211004  09:37:45,139.81,139.92,139.81,139.89,55
20211004  09:37:50,139.89,139.95,139.86,139.87,68
20211004  09:37:55,139.9,140.03,139.9,140.01,144
20211004  09:38:00,140.01,140.08,139.98,140.02,120
20211004  09:38:05,139.99,140.01,139.9,139.96,164
20211004  09:38:10,139.97,140.13,139.97,140.06,115
20211004  09:38:15,140.07,140.13,140.01,140.1,111
20211004  09:38:20,140.09,140.21,140.04,140.21,107
20211004  09:38:25,140.2,140.23,140.15,140.23,77
20211004  09:38:30,140.2,140.23,140.17,140.21,68
20211004  09:38:35,140.2,140.29,140.15,140.19,92
20211004  09:38:40,140.17,140.34,140.15,140.33,100
20211004  09:38:45,140.26,140.38,140.26,140.38,55
20211004  09:38:50,140.35,140.45,140.33,140.33,73
20211004  09:38:55,140.33,140.35,140.25,140.34,59
