Date,Open,High,Low,Close,Volume
20211018  09:30:00,7.69,7.74,7.67,7.69,5813
20211018  09:30:05,7.7,7.73,7.68,7.73,731
20211018  09:30:10,7.7291,7.7694,7.71,7.7311,1311
20211018  09:30:15,7.74,7.81,7.74,7.8,1412
20211018  09:30:20,7.798,7.81,7.78,7.795,295
20211018  09:30:25,7.7918,7.835,7.79,7.835,500
20211018  09:30:30,7.8377,7.8882,7.83,7.87,1640
20211018  09:30:35,7.875,7.89,7.87,7.8862,1086
20211018  09:30:40,7.8829,7.89,7.86,7.87,1219
20211018  09:30:45,7.87,7.89,7.86,7.86,664
20211018  09:30:50,7.868,7.87,7.81,7.8133,1214
20211018  09:30:55,7.815,7.85,7.81,7.8377,469
20211018  09:31:00,7.835,7.88,7.835,7.8782,519
20211018  09:31:05,7.875,7.93,7.87,7.91,1886
20211018  09:31:10,7.9187,7.93,7.91,7.919,616
20211018  09:31:15,7.9101,7.96,7.91,7.95,2689
20211018  09:31:20,7.959,7.9661,7.92,7.925,684
20211018  09:31:25,7.924,7.95,7.92,7.945,464
20211018  09:31:30,7.9468,7.959,7.94,7.9503,437
20211018  09:31:35,7.95,7.97,7.94,7.94,691
20211018  09:31:40,7.9499,7.97,7.94,7.955,1079
20211018  09:31:45,7.96,7.98,7.9501,7.98,553
20211018  09:31:50,7.9775,8.0,7.975,7.98,1639
20211018  09:31:55,7.985,8.0,7.9684,7.9795,1004
20211018  09:32:00,7.98,8.0,7.9701,8.0,717
20211018  09:32:05,7.99,8.08,7.99,8.07,6169
20211018  09:32:10,8.08,8.1,8.06,8.0701,2114
20211018  09:32:15,8.08,8.09,8.06,8.075,770
20211018  09:32:20,8.0785,8.08,8.03,8.0439,797
20211018  09:32:25,8.031,8.1,8.03,8.095,1361
20211018  09:32:30,8.09,8.15,8.08,8.0888,2168
20211018  09:32:35,8.0885,8.12,8.08,8.12,1152
20211018  09:32:40,8.1188,8.1188,8.09,8.095,1257
20211018  09:32:45,8.09,8.14,8.09,8.14,1167
20211018  09:32:50,8.1393,8.16,8.12,8.1493,1188
20211018  09:32:55,8.15,8.1785,8.1301,8.14,1413
20211018  09:33:00,8.13,8.15,8.105,8.105,1684
20211018  09:33:05,8.11,8.12,8.08,8.1143,1180
20211018  09:33:10,8.1109,8.1399,8.1,8.1301,795
20211018  09:33:15,8.13,8.15,8.11,8.11,973
20211018  09:33:20,8.115,8.15,8.11,8.15,1119
20211018  09:33:25,8.15,8.16,8.13,8.145,934
20211018  09:33:30,8.146,8.15,8.1,8.11,916
20211018  09:33:35,8.1129,8.15,8.101,8.1423,959
20211018  09:33:40,8.1481,8.15,8.12,8.14,421
20211018  09:33:45,8.1222,8.14,8.12,8.1268,529
20211018  09:33:50,8.125,8.13,8.1,8.13,1763
20211018  09:33:55,8.125,8.15,8.12,8.1399,1084
20211018  09:34:00,8.135,8.1588,8.13,8.14,1401
20211018  09:34:05,8.135,8.14,8.11,8.1278,587
20211018  09:34:10,8.125,8.13,8.105,8.125,816
20211018  09:34:15,8.1212,8.13,8.1,8.11,1018
20211018  09:34:20,8.115,8.125,8.1,8.1053,264
20211018  09:34:25,8.1001,8.1308,8.0922,8.095,1177
20211018  09:34:30,8.0901,8.1,8.08,8.09,954
20211018  09:34:35,8.095,8.095,8.07,8.085,704
20211018  09:34:40,8.0899,8.1,8.07,8.1,514
20211018  09:34:45,8.0999,8.11,8.0999,8.1011,178
20211018  09:34:50,8.1,8.11,8.09,8.11,403
20211018  09:34:55,8.11,8.14,8.11,8.135,615
20211018  09:35:00,8.14,8.15,8.13,8.13,675
20211018  09:35:05,8.1322,8.14,8.12,8.135,613
20211018  09:35:10,8.135,8.2,8.13,8.195,2265
20211018  09:35:15,8.195,8.2,8.185,8.1908,1814
20211018  09:35:20,8.19,8.24,8.19,8.23,2317
20211018  09:35:25,8.235,8.24,8.21,8.225,2026
20211018  09:35:30,8.229,8.25,8.21,8.2313,1027
20211018  09:35:35,8.2393,8.25,8.23,8.2408,825
20211018  09:35:40,8.2415,8.2499,8.225,8.2306,1040
20211018  09:35:45,8.239,8.26,8.22,8.2521,2234
20211018  09:35:50,8.2589,8.28,8.245,8.2682,1233
20211018  09:35:55,8.2658,8.2658,8.21,8.2299,1042
20211018  09:36:00,8.23,8.24,8.22,8.238,621
20211018  09:36:05,8.2316,8.25,8.22,8.22,1058
