Date,Open,High,Low,Close,Volume
20120330,32.54,32.7,31.81,32.255,937991
20120405,32.22,32.46,31.05,31.52,1489331
20120413,31.27,31.4,30.23,30.81,1840420
20120420,30.99,32.89,30.77,32.42,2363124
20120427,32.3,32.5,31.83,31.98,2133033
20120504,31.99,32.34,30.92,30.98,1828262
20120511,30.69,31.54,30.1,31.16,2050688
20120518,30.76,31.04,29.17,29.27,2297292
20120525,29.09,29.88,28.64,29.06,2013163
20120601,29.38,29.72,28.44,28.45,1532143
20120608,28.63,29.7,28.32,29.65,1963025
20120615,29.78,30.08,28.82,30.02,1914579
20120622,29.99,31.14,29.71,30.7,2319403
20120629,30.3,30.69,29.42,30.59,1914806
20120706,30.62,30.78,29.95,30.185,1059602
20120713,30.12,30.23,28.54,29.39,1931027
20120720,29.5,31.05,29.04,30.115,1886414
20120727,29.53,29.85,28.78,29.755,2185288
20120803,29.75,29.94,28.97,29.75,1589416
20120810,30.0,30.65,29.81,30.42,1204043
20120817,30.35,30.94,30.01,30.9,1381113
20120824,30.83,30.96,30.08,30.56,1234101
20120831,30.94,30.96,30.22,30.82,1258588
20120907,30.45,31.36,30.15,30.95,1584728
20120914,30.78,31.25,30.4,31.21,1660442
20120921,31.19,31.61,30.91,31.19,2046899
20120928,31.0,31.07,29.74,29.76,2175043
20121005,29.81,30.25,29.42,29.85,2031570
20121012,29.67,29.92,28.8,29.2,1892892
20121019,29.39,29.74,28.5,28.64,2405839
20121026,28.74,28.83,27.76,28.21,2873710
20121102,28.53,29.77,28.5,29.5,1830515
20121109,29.62,30.2,28.8,28.83,2101467
20121116,28.93,29.01,26.36,26.52,3464940
20121123,26.8,27.77,26.46,27.7,1566765
20121130,27.54,27.58,26.49,26.615,2743488
20121207,26.78,26.98,26.26,26.455,2243336
20121214,26.53,27.62,26.52,26.81,2075252
20121221,26.79,27.73,26.68,27.45,2447393
20121228,27.2,27.25,26.55,26.55,1095416
20130104,26.58,27.73,26.37,26.74,1748350
20130111,26.77,26.98,26.28,26.83,2255594
20130118,26.87,27.47,26.76,27.25,2146108
20130125,27.3,28.23,27.0,27.88,2624124
20130201,28.01,28.23,27.4,27.93,2261659
20130208,27.92,28.02,27.1,27.55,1769106
20130215,27.65,28.16,27.5,28.01,1717581
20130222,27.93,28.2,27.23,27.76,1431242
20130301,27.97,28.05,27.33,27.95,1789313
20130308,27.83,28.54,27.7,28.0,1794084
20130315,27.94,28.16,27.64,28.035,2167676
20130322,27.87,28.49,27.81,28.25,1757928
20130328,28.3,28.66,27.96,28.605,1333801
20130405,28.63,28.95,28.11,28.7,1673390
20130412,28.69,30.32,28.47,28.79,3429226
20130419,28.63,30.24,28.5,29.765,2814300
20130426,30.32,32.84,30.27,31.79,3990280
20130503,31.83,33.52,31.77,33.49,2513947
20130510,33.42,33.91,32.32,32.69,1929288
20130517,32.56,34.87,32.55,34.87,2170895
20130524,34.73,35.27,33.9,34.27,2170877
20130531,34.53,35.28,34.41,34.9,1508655
20130607,34.93,35.78,34.43,35.67,2154984
20130614,35.51,35.65,34.25,34.4,1787651
20130621,34.69,35.17,33.05,33.265,2112631
20130628,32.93,34.79,32.57,34.545,1810565
20130705,34.75,34.99,33.58,34.21,965783
20130712,34.35,35.77,33.98,35.67,1477925
20130719,35.65,36.43,31.02,31.4,3590450
20130726,31.72,32.19,31.21,31.62,2646094
20130802,31.43,32.12,31.4,31.89,1671347
20130809,31.9,33.07,31.25,32.7,1742815
20130816,32.46,33.36,30.84,31.8,1590813
20130823,31.77,35.2,31.37,34.75,2905496
20130830,34.41,34.65,32.8,33.4,2317687
20130906,31.75,32.07,30.95,31.15,4025277
20130913,31.22,33.07,31.2,33.03,1942358
20130920,33.4,33.68,32.69,32.79,2830111
20130927,32.54,33.75,32.15,33.27,1620576
20131004,32.97,34.03,32.7,33.88,1643698
20131011,33.6,34.14,32.8,34.13,1647972
20131018,33.94,34.99,33.78,34.96,1629001
20131025,34.98,36.29,33.57,35.73,2542629
