Date,Open,High,Low,Close,Volume
20211004  09:30:00,35.02,35.02,34.92,34.96,537
20211004  09:30:05,34.92,34.92,34.91,34.915,4
20211004  09:30:10,34.93,34.93,34.93,34.93,17
20211004  09:30:15,34.93,34.95,34.92,34.92,7
20211004  09:30:20,34.92,34.92,34.92,34.92,1
20211004  09:30:25,34.93,34.93,34.86,34.87,4478
20211004  09:30:30,34.87,34.92,34.86,34.91,395
20211004  09:30:35,34.9,34.9,34.866,34.87,163
20211004  09:30:40,34.87,34.8775,34.8317,34.8335,228
20211004  09:30:45,34.83,34.89,34.82,34.87,323
20211004  09:30:50,34.86,34.88,34.81,34.83,171
20211004  09:30:55,34.85,34.94,34.845,34.94,218
20211004  09:31:00,34.94,34.95,34.9,34.92,224
20211004  09:31:05,34.915,34.925,34.88,34.9,575
20211004  09:31:10,34.89,34.895,34.78,34.8014,830
20211004  09:31:15,34.791,34.81,34.72,34.72,761
20211004  09:31:20,34.7201,34.755,34.63,34.6519,458
20211004  09:31:25,34.6525,34.672,34.62,34.63,264
20211004  09:31:30,34.62,34.6274,34.5,34.52,2360
20211004  09:31:35,34.51,34.59,34.5,34.52,835
20211004  09:31:40,34.53,34.5799,34.52,34.56,387
20211004  09:31:45,34.56,34.57,34.5145,34.5658,394
20211004  09:31:50,34.55,34.55,34.37,34.42,2465
20211004  09:31:55,34.4,34.44,34.4,34.44,265
20211004  09:32:00,34.4366,34.44,34.34,34.37,623
20211004  09:32:05,34.3799,34.44,34.35,34.4209,187
20211004  09:32:10,34.4394,34.44,34.4171,34.4171,139
20211004  09:32:15,34.4,34.42,34.39,34.4,285
20211004  09:32:20,34.387,34.395,34.35,34.39,161
20211004  09:32:25,34.3873,34.44,34.3873,34.42,344
20211004  09:32:30,34.44,34.44,34.39,34.39,158
20211004  09:32:35,34.395,34.44,34.37,34.43,227
20211004  09:32:40,34.43,34.45,34.4,34.435,359
20211004  09:32:45,34.44,34.45,34.42,34.44,174
20211004  09:32:50,34.44,34.44,34.4,34.4168,146
20211004  09:32:55,34.425,34.43,34.4025,34.4048,94
20211004  09:33:00,34.419,34.419,34.34,34.4,557
20211004  09:33:05,34.39,34.43,34.37,34.3851,173
20211004  09:33:10,34.39,34.3999,34.29,34.308,652
20211004  09:33:15,34.3031,34.37,34.3,34.34,185
20211004  09:33:20,34.34,34.39,34.34,34.36,95
20211004  09:33:25,34.3666,34.43,34.36,34.42,163
20211004  09:33:30,34.41,34.43,34.4,34.4075,172
20211004  09:33:35,34.4,34.43,34.39,34.405,171
20211004  09:33:40,34.41,34.42,34.3875,34.39,116
20211004  09:33:45,34.4,34.42,34.39,34.42,129
20211004  09:33:50,34.41,34.42,34.4,34.4199,113
20211004  09:33:55,34.4,34.4,34.35,34.36,208
20211004  09:34:00,34.37,34.42,34.35,34.3977,166
20211004  09:34:05,34.3746,34.4,34.37,34.4,271
20211004  09:34:10,34.39,34.41,34.375,34.3799,88
20211004  09:34:15,34.38,34.44,34.38,34.4,356
20211004  09:34:20,34.406,34.406,34.36,34.37,179
20211004  09:34:25,34.3601,34.38,34.355,34.36,133
20211004  09:34:30,34.3501,34.36,34.3,34.315,330
20211004  09:34:35,34.3299,34.34,34.32,34.3389,172
20211004  09:34:40,34.335,34.34,34.325,34.339,172
20211004  09:34:45,34.3388,34.3388,34.3,34.3084,206
20211004  09:34:50,34.31,34.31,34.29,34.31,274
20211004  09:34:55,34.2866,34.3099,34.24,34.24,376
20211004  09:35:00,34.245,34.27,34.22,34.266,226
20211004  09:35:05,34.26,34.27,34.18,34.181,649
20211004  09:35:10,34.185,34.19,34.14,34.186,238
20211004  09:35:15,34.185,34.1899,34.13,34.176,152
20211004  09:35:20,34.19,34.23,34.17,34.23,248
20211004  09:35:25,34.22,34.22,34.18,34.21,257
20211004  09:35:30,34.215,34.28,34.215,34.28,140
20211004  09:35:35,34.2701,34.3,34.25,34.25,169
20211004  09:35:40,34.25,34.26,34.23,34.24,79
20211004  09:35:45,34.23,34.279,34.2,34.2651,431
20211004  09:35:50,34.2696,34.29,34.23,34.2726,466
20211004  09:35:55,34.27,34.27,34.225,34.2491,261
20211004  09:36:00,34.25,34.25,34.19,34.1985,202
20211004  09:36:05,34.21,34.23,34.18,34.189,331
20211004  09:36:10,34.18,34.19,34.16,34.1891,240
20211004  09:36:15,34.1891,34.2,34.17,34.1738,321
20211004  09:36:20,34.17,34.195,34.15,34.17,576
20211004  09:36:25,34.1789,34.21,34.17,34.18,131
20211004  09:36:30,34.1891,34.21,34.1891,34.2,305
20211004  09:36:35,34.1939,34.22,34.19,34.22,113
20211004  09:36:40,34.21,34.23,34.21,34.23,73
20211004  09:36:45,34.23,34.26,34.223,34.259,167
20211004  09:36:50,34.25,34.26,34.19,34.19,700
20211004  09:36:55,34.18,34.18,34.16,34.175,254
20211004  09:37:00,34.18,34.18,34.11,34.11,477
20211004  09:37:05,34.115,34.13,34.06,34.0893,605
20211004  09:37:10,34.09,34.125,34.09,34.125,152
20211004  09:37:15,34.13,34.1588,34.125,34.145,101
20211004  09:37:20,34.15,34.16,34.14,34.159,104
20211004  09:37:25,34.16,34.21,34.16,34.185,109
20211004  09:37:30,34.19,34.195,34.17,34.175,79
20211004  09:37:35,34.18,34.21,34.18,34.21,91
20211004  09:37:40,34.205,34.24,34.2,34.229,93
20211004  09:37:45,34.22,34.2441,34.2199,34.2199,202
20211004  09:37:50,34.22,34.23,34.18,34.2,132
20211004  09:37:55,34.2,34.2499,34.2,34.21,102
20211004  09:38:00,34.2009,34.2009,34.18,34.185,292
20211004  09:38:05,34.18,34.2,34.1536,34.1901,98
20211004  09:38:10,34.19,34.24,34.18,34.235,246
20211004  09:38:15,34.2301,34.26,34.22,34.25,122
20211004  09:38:20,34.25,34.28,34.241,34.26,106
20211004  09:38:25,34.2628,34.28,34.2628,34.28,70
20211004  09:38:30,34.28,34.29,34.23,34.23,197
20211004  09:38:35,34.23,34.27,34.23,34.24,321
20211004  09:38:40,34.25,34.275,34.247,34.26,125
20211004  09:38:45,34.26,34.268,34.22,34.228,115
20211004  09:38:50,34.23,34.239,34.16,34.1894,187
20211004  09:38:55,34.189,34.21,34.18,34.21,41
20211004  09:39:00,34.2,34.235,34.19,34.23,109
20211004  09:39:05,34.24,34.25,34.2201,34.2391,50
20211004  09:39:10,34.23,34.24,34.23,34.235,41
20211004  09:39:15,34.23,34.23,34.2,34.2175,237
20211004  09:39:20,34.22,34.23,34.21,34.2245,58
20211004  09:39:25,34.22,34.22,34.16,34.165,304
20211004  09:39:30,34.159,34.17,34.13,34.16,140
20211004  09:39:35,34.15,34.195,34.15,34.195,127
20211004  09:39:40,34.1946,34.195,34.16,34.19,154
20211004  09:39:45,34.195,34.22,34.19,34.2148,101
20211004  09:39:50,34.214,34.27,34.214,34.27,129
20211004  09:39:55,34.27,34.27,34.24,34.245,89
20211004  09:40:00,34.23,34.2691,34.23,34.2674,106
20211004  09:40:05,34.2681,34.3194,34.26,34.3194,234
20211004  09:40:10,34.31,34.31,34.21,34.21,199
20211004  09:40:15,34.21,34.21,34.14,34.155,482
20211004  09:40:20,34.147,34.15,34.1301,34.1492,65
20211004  09:40:25,34.14,34.17,34.1307,34.1307,161
20211004  09:40:30,34.13,34.14,34.11,34.11,177
20211004  09:40:35,34.119,34.12,34.07,34.11,648
20211004  09:40:40,34.11,34.125,34.1,34.105,288
20211004  09:40:45,34.12,34.13,34.106,34.1295,248
20211004  09:40:50,34.123,34.135,34.0908,34.132,166
20211004  09:40:55,34.15,34.17,34.14,34.16,76
20211004  09:41:00,34.17,34.1899,34.15,34.1654,61
20211004  09:41:05,34.16,34.17,34.13,34.17,120
20211004  09:41:10,34.165,34.19,34.14,34.18,62
20211004  09:41:15,34.17,34.17,34.13,34.13,47
20211004  09:41:20,34.1392,34.185,34.133,34.1652,49
20211004  09:41:25,34.165,34.2,34.165,34.175,98
20211004  09:41:30,34.18,34.18,34.15,34.151,41
20211004  09:41:35,34.159,34.159,34.12,34.12,174
20211004  09:41:40,34.13,34.14,34.1002,34.135,248
20211004  09:41:45,34.16,34.1799,34.1405,34.15,210
20211004  09:41:50,34.1484,34.15,34.1379,34.1483,69
