Date,Open,High,Low,Close,Volume
20120330,3.695,3.875,3.69,3.85,2082000
20120405,3.84,3.875,3.64,3.66,1525004
20120413,3.6,3.69,3.525,3.54,1731380
20120420,3.565,3.575,3.34,3.35,2363728
20120427,3.3,3.345,3.19,3.245,2982700
20120504,3.23,3.34,3.065,3.065,2180560
20120511,3.11,3.42,3.03,3.305,3298856
20120518,3.275,3.355,3.005,3.02,2293792
20120525,3.025,3.135,2.96,3.1,2057048
20120601,3.15,3.2,2.99,2.995,1382160
20120608,3.01,3.16,2.91,3.03,1932868
20120615,3.13,3.185,2.98,3.075,2587056
20120622,3.05,3.425,3.025,3.25,2991372
20120629,3.255,3.465,3.12,3.455,2410348
20120706,3.475,3.475,3.315,3.35,1351620
20120713,3.34,3.37,3.075,3.14,1966564
20120720,3.13,3.34,3.04,3.2,2129416
20120727,3.12,3.38,3.085,3.37,1775232
20120803,3.375,3.465,3.275,3.43,1679016
20120810,3.46,3.805,3.46,3.655,3153684
20120817,3.665,3.72,3.605,3.665,2003232
20120824,3.65,3.7,3.565,3.65,1526588
20120831,3.65,3.66,3.475,3.51,1544392
20120907,3.45,3.525,3.24,3.35,2477424
20120914,3.355,3.52,3.305,3.46,1720040
20120921,3.465,3.475,3.325,3.415,1727244
20120928,3.365,3.475,3.255,3.335,2179104
20121005,3.35,3.45,3.245,3.325,1968140
20121012,3.315,3.33,3.14,3.16,1440852
20121019,3.165,3.3,3.01,3.025,1874924
20121026,3.04,3.115,2.96,3.015,1978348
20121102,3.025,3.175,2.99,3.125,1001776
20121109,3.125,3.27,3.04,3.05,2660624
20121116,3.065,3.065,2.79,2.845,2674412
20121123,2.9,3.01,2.84,2.975,1332208
20121130,2.98,3.085,2.975,2.995,1903260
20121207,3.03,3.03,2.925,2.99,2218944
20121214,2.99,3.205,2.985,3.15,2269396
20121221,3.14,3.2,3.055,3.09,1884808
20121228,3.085,3.105,3.005,3.025,789944
20130104,3.015,3.3,3.01,3.29,1506992
20130111,3.285,3.295,3.025,3.055,2617572
20130118,3.075,3.075,2.98,3.045,1886116
20130125,3.04,3.105,3.0,3.105,1437204
20130201,3.12,3.175,3.045,3.09,1727756
20130208,3.075,3.14,3.02,3.09,2040324
20130215,3.12,3.2,3.015,3.185,2955036
20130222,3.185,3.2,3.065,3.13,1850412
20130301,3.14,3.215,3.055,3.18,2417496
20130308,3.155,3.25,3.13,3.205,1518608
20130315,3.175,3.24,3.14,3.16,1678336
20130322,3.14,3.17,3.095,3.12,1476164
20130328,3.14,3.21,3.08,3.21,1091072
20130405,3.2,3.2,3.01,3.115,1801908
20130412,3.12,3.31,3.05,3.275,2689080
20130419,3.265,3.275,3.09,3.145,2007468
20130426,3.14,3.375,3.115,3.355,1749276
20130503,3.36,3.495,3.34,3.465,1319064
20130510,3.465,3.65,3.38,3.635,2224380
20130517,3.61,3.745,3.545,3.715,1553060
20130524,3.705,3.745,3.55,3.635,1568412
20130531,3.665,3.695,3.595,3.62,1146360
20130607,3.625,3.7,3.53,3.61,1722548
20130614,3.605,3.635,3.495,3.59,1188912
20130621,3.615,3.87,3.545,3.605,2918868
20130628,3.555,3.6,3.46,3.51,2392788
20130705,3.535,3.575,3.49,3.56,707264
20130712,3.57,3.695,3.525,3.66,1009120
20130719,3.67,3.695,3.525,3.56,1213516
20130726,3.59,3.62,3.52,3.55,1182504
20130802,3.545,3.7,3.535,3.69,1096336
20130809,3.68,3.72,3.53,3.625,1752168
20130816,3.58,3.85,3.28,3.8,2514948
20130823,3.775,3.79,3.705,3.74,1188516
20130830,3.745,3.76,3.67,3.69,1212508
20130906,3.7,3.76,3.67,3.72,838900
20130913,3.755,3.975,3.74,3.95,1288240
20130920,3.985,4.025,3.94,3.95,1094860
20130927,3.945,3.98,3.875,3.895,934088
20131004,3.855,3.93,3.83,3.9,1164572
20131011,3.885,3.945,3.775,3.815,1097920
20131018,3.805,3.965,3.805,3.955,966084
20131025,4.0,4.005,3.8,3.81,1099400
20131101,3.805,3.84,3.75,3.815,1357696
20131108,3.83,3.905,3.63,3.89,2112708
20131115,3.875,4.08,3.87,4.045,1382764
20131122,3.955,3.99,3.79,3.795,1013376
20131129,3.805,3.955,3.795,3.9,707348
20131206,3.885,4.0,3.86,3.87,1307084
20131213,3.87,3.91,3.75,3.755,1441616
20131220,3.76,3.925,3.725,3.92,1213204
20131227,3.945,3.985,3.91,3.94,536552
20140103,3.945,4.025,3.905,3.92,914260
20140110,3.96,4.11,3.9,3.935,1308068
20140117,3.935,4.065,3.835,4.0,1030168
20140124,4.005,4.04,3.89,3.89,850608
20140131,3.89,3.95,3.84,3.925,865768
20140207,3.95,3.975,3.83,3.965,1033928
20140214,3.965,4.485,3.96,4.48,2551548
20140221,4.48,4.745,4.44,4.66,1404124
20140228,4.69,4.765,4.53,4.595,1464980
20140307,4.495,4.69,4.45,4.59,1209708
20140314,4.575,4.61,4.39,4.455,1432972
20140321,4.47,4.73,4.45,4.635,1372460
20140328,4.64,4.745,4.4,4.475,1897100
20140404,4.485,4.8,4.45,4.54,1928212
20140411,4.54,4.78,4.47,4.53,1802572
20140417,4.565,4.685,4.53,4.64,881228
20140425,4.66,4.865,4.61,4.685,1155344
20140502,4.72,4.745,4.58,4.61,921916
20140509,4.605,4.745,4.43,4.515,1709340
20140516,4.525,4.655,4.455,4.49,1136164
20140523,4.54,4.66,4.52,4.62,1007084
20140530,4.65,4.78,4.635,4.75,710148
20140606,4.765,4.8,4.655,4.76,815484
20140613,4.755,4.935,4.72,4.885,1098932
20140620,4.86,4.925,4.695,4.735,1218460
20140627,4.67,4.71,4.56,4.595,1215672
20140703,4.575,4.725,4.575,4.715,716776
20140711,4.72,4.8,4.595,4.765,1031376
20140718,4.78,4.9,4.605,4.61,1652344
20140725,4.595,4.7,4.44,4.45,1235488
20140801,4.47,4.53,4.355,4.425,1255152
20140808,4.415,4.775,4.335,4.75,1812068
20140815,4.755,4.795,4.67,4.76,1248880
20140822,4.78,4.87,4.735,4.77,1074332
20140829,4.79,4.87,4.77,4.86,833800
20140905,4.875,5.04,4.83,4.995,1027272
20140912,4.985,4.995,4.775,4.78,987240
20140919,4.795,4.88,4.69,4.77,1022864
20140926,4.87,4.87,4.62,4.635,983300
20141003,4.6,4.665,4.44,4.56,1180968
20141010,4.575,4.61,4.21,4.21,1507740
20141017,4.24,4.47,4.19,4.355,1602540
20141024,4.355,4.65,4.325,4.62,1028264
20141031,4.61,4.89,4.565,4.885,786148
20141107,4.995,5.175,4.9,4.95,1584676
20141114,4.94,5.04,4.845,4.945,915108
20141121,4.925,5.14,4.895,5.115,845060
20141128,5.125,5.275,5.105,5.245,535044
20141205,5.22,5.3,5.095,5.27,852112
20141212,5.26,5.315,4.905,4.905,978288
20141219,4.965,5.155,4.775,5.105,1080868
20141226,5.1,5.26,5.085,5.15,295576
20150102,5.14,5.175,4.95,5.03,385628
20150109,5.03,5.05,4.77,4.985,962184
20150116,4.995,5.06,4.85,4.99,806536
20150123,5.03,5.19,4.94,5.18,472800
20150130,5.165,5.18,4.795,4.8,1079556
20150206,4.83,5.18,4.735,5.1,835944
20150213,5.07,5.625,5.04,5.575,1561380
20150220,5.575,5.62,5.5,5.585,581444
20150227,5.585,5.585,5.49,5.515,580628
20150306,5.5,5.725,5.495,5.64,1090188
20150313,5.64,5.825,5.56,5.675,1522044
20150320,5.72,5.905,5.665,5.87,1426924
20150327,5.69,5.77,5.115,5.345,1622220
20150402,5.37,5.395,5.165,5.265,942476
20150410,5.245,5.69,5.19,5.69,1654188
20150417,5.68,5.71,5.505,5.55,972200
20150424,5.575,5.61,5.415,5.51,898016
20150501,5.525,5.705,5.48,5.69,970284
20150508,5.685,5.72,5.12,5.205,2052576
20150515,5.135,5.37,5.095,5.325,1517024
20150522,5.315,5.35,5.2,5.215,889824
20150529,5.19,5.57,5.145,5.53,1160400
20150605,5.565,5.655,5.395,5.565,1261915
20150612,5.55,5.585,5.265,5.28,1489894
20150619,5.25,5.53,5.205,5.47,1098365
20150626,5.48,5.51,5.165,5.185,1552693
20150702,5.125,5.225,4.995,5.105,1041899
20150710,5.065,5.135,4.79,4.94,1556425
20150717,4.985,5.05,4.895,5.02,1081806
20150724,5.02,5.04,4.795,4.855,914179
20150731,4.815,5.055,4.775,4.985,921884
20150807,5.03,5.845,4.965,5.745,2600522
20150814,5.705,5.985,5.67,5.885,1811837
20150821,5.875,5.875,5.36,5.37,1434261
20150828,5.12,5.72,5.0,5.685,2283724
20150904,5.655,5.695,5.35,5.44,1209465
20150911,5.57,5.735,5.495,5.665,944536
20150918,5.69,5.93,5.645,5.825,1000781
20150925,5.83,6.02,5.625,5.905,1251292
20151002,5.905,6.2,5.79,6.2,2086143
20151009,6.24,6.57,6.21,6.52,1842065
20151016,6.525,7.03,6.475,6.965,1739710
20151023,6.985,7.195,6.84,7.15,1275876
20151030,7.155,7.17,6.905,7.095,1074855
20151106,7.115,7.985,6.905,7.89,2223535
20151113,7.81,7.875,7.415,7.45,1876023
20151120,7.55,7.895,7.485,7.85,1088614
20151127,7.915,7.915,7.695,7.85,557018
20151204,7.865,8.455,7.85,8.44,1379200
20151211,8.435,8.44,8.09,8.125,1137515
20151218,8.13,8.39,8.025,8.035,1094625
20151224,8.125,8.315,8.05,8.295,496759
20151231,8.205,8.485,8.09,8.24,585015
20160108,8.075,8.36,7.39,7.405,1930258
20160115,7.415,7.655,6.66,6.78,2383775
20160122,6.97,7.16,6.61,7.11,1350579
20160129,7.11,7.34,6.875,7.325,1089948
20160205,7.315,7.36,6.59,6.61,1519707
20160212,6.51,6.64,6.19,6.435,1764313
20160219,6.525,7.745,6.505,7.61,2267849
20160226,7.72,8.03,7.65,7.92,1645433
20160304,7.905,8.265,7.835,8.14,1377110
20160311,8.09,8.15,7.76,8.055,1062809
20160318,8.02,8.565,7.895,8.455,1529481
20160324,8.375,8.67,8.29,8.62,1044703
20160401,8.605,9.065,8.595,9.04,1332926
20160408,9.115,9.16,8.66,8.915,1563471
20160415,8.965,9.365,8.785,9.285,1590300
20160422,9.265,9.295,9.02,9.07,1028011
20160429,9.07,9.335,8.785,8.885,1229849
20160506,8.965,9.055,8.6,8.835,1187892
20160513,8.855,10.25,8.735,10.245,3004822
20160520,10.17,11.125,10.135,11.085,2503265
20160527,11.125,11.495,11.035,11.475,1509599
20160603,11.525,11.885,11.415,11.62,1243564
20160610,11.65,11.865,11.45,11.55,1439943
20160617,11.565,11.945,11.54,11.68,1299399
20160624,11.87,12.135,11.325,11.43,1394369
20160701,11.34,11.84,11.145,11.665,1517741
20160708,11.6,12.775,11.51,12.715,1338670
20160715,12.895,13.45,12.88,13.175,1667942
20160722,13.34,13.67,13.195,13.67,1289126
20160729,13.75,14.315,13.69,14.275,1588658
20160805,14.345,14.555,13.875,14.55,1201486
20160812,14.75,15.845,14.53,15.76,2678722
20160819,15.78,15.875,15.165,15.565,1739310
20160826,15.615,15.83,15.19,15.51,1300025
20160902,15.57,15.845,15.29,15.635,1393691
20160909,15.69,15.805,14.75,14.88,1355209
20160916,14.68,15.815,14.33,15.71,1972002
20160923,15.875,16.36,15.685,16.24,1405263
20160930,16.05,17.3,15.885,17.13,1437694
20161007,17.13,17.425,16.565,16.715,1248252
20161014,16.8,16.89,15.925,16.495,1333844
20161021,16.495,16.99,16.38,16.885,935722
20161028,17.0,18.24,16.995,17.64,1421003
20161104,17.7,17.955,16.645,16.895,1349612
20161111,17.385,22.19,16.69,21.995,3538955
20161118,22.025,23.7,20.905,23.34,3464088
20161125,23.525,23.815,23.095,23.54,1168264
20161202,23.465,23.685,21.19,22.115,2116152
20161209,22.495,24.155,22.25,22.955,1930975
20161216,22.455,25.175,21.885,25.105,3102771
20161223,24.925,27.46,24.75,27.445,3158646
20161230,28.035,29.985,25.7,26.685,6164030
20170106,26.095,26.595,24.845,25.775,3531110
20170113,25.875,27.3,25.405,25.86,2899733
20170120,25.745,26.7,24.78,26.005,1937560
20170127,25.95,27.975,25.925,27.94,1974448
20170203,27.73,28.975,26.98,28.595,2015666
20170210,28.5,30.23,28.15,28.405,3518200
20170217,28.35,28.495,26.2,26.81,3183122
20170224,27.05,27.95,23.925,25.365,3127120
20170303,25.54,26.3,24.055,24.61,2950276
20170310,24.285,25.325,23.795,24.78,2735652
20170317,24.885,26.53,24.885,26.52,2838157
20170324,26.695,27.49,26.325,26.87,2859415
20170331,26.395,27.5,25.895,27.235,1950166
20170407,27.225,27.415,24.605,25.085,3065315
20170413,25.09,25.16,23.87,23.87,1898365
20170421,24.015,25.45,22.495,25.42,1734503
20170428,25.735,26.495,25.53,26.075,1450635
20170505,26.185,26.715,25.64,25.965,1452752
