Date,Open,High,Low,Close,Volume
20120330,1.35,1.36,1.26,1.31,15888
20120405,1.34,1.34,1.21,1.27,12377
20120413,1.26,1.41,1.11,1.27,20821
20120420,1.3,1.31,1.21,1.22,4697
20120427,1.23,1.29,1.19,1.24,3842
20120504,1.23,1.33,1.23,1.28,5186
20120511,1.25,1.31,1.2,1.28,7057
20120518,1.27,1.31,1.15,1.17,8740
20120525,1.15,1.22,1.12,1.19,7180
20120601,1.22,1.22,1.15,1.17,2857
20120608,1.15,1.22,1.15,1.18,2945
20120615,1.16,1.2,1.14,1.14,3178
20120622,1.15,1.17,1.11,1.15,3551
20120629,1.13,1.1647,1.1,1.14,4628
20120706,1.16,1.17,1.11,1.13,1990
20120713,1.13,1.17,1.1,1.11,2611
20120720,1.13,1.22,1.1,1.17,11198
20120727,1.17,1.18,1.1,1.17,3944
20120803,1.15,1.25,1.15,1.2,6881
20120810,1.23,1.3,1.17,1.22,5262
20120817,1.24,1.24,1.0,1.05,8265
20120824,1.07,1.11,1.02,1.0616,2562
20120831,1.05,1.09,0.9197,0.9601,2928
20120907,0.938,0.97,0.76,0.82,6131
20120914,0.85,0.8998,0.81,0.88,3742
20120921,0.89,0.89,0.81,0.81,4306
20120928,0.8,0.86,0.8,0.825,2917
20121005,0.825,0.91,0.82,0.84,2599
20121012,0.85,0.92,0.83,0.9,2963
20121019,0.91,0.91,0.75,0.75,4122
20121026,0.71,0.7998,0.666,0.74,5305
20121102,0.73,0.8099,0.73,0.7902,1014
20121109,0.791,0.81,0.75,0.751,2006
20121116,0.75,0.789,0.67,0.72,2595
20121123,0.68,0.718,0.588,0.61,4804
20121130,0.6,0.7,0.59,0.615,6665
20121207,0.69,0.69,0.61,0.6498,2828
20121214,0.6217,0.6498,0.59,0.6298,2935
20121221,0.65,0.6501,0.5698,0.5701,6190
20121228,0.58,0.5998,0.54,0.54,7619
20130104,0.5,0.53,0.47,0.5298,13820
20130111,0.53,0.76,0.511,0.65,15005
20130118,0.63,0.6748,0.4725,0.485,22742
20130125,0.48,0.49,0.4401,0.49,8103
20130201,0.509,0.509,0.44,0.44,6915
20130208,0.44,0.46,0.3622,0.398,13953
20130215,0.41,0.41,0.12,0.138,374672
20130222,0.15,0.1592,0.13,0.1302,131325
20130301,0.145,0.1868,0.1155,0.1531,248335
20130308,0.157,0.1899,0.14,0.173,151254
20130315,0.1794,0.182,0.1626,0.1775,61923
20130322,0.178,0.3177,0.175,0.231,328165
20130328,0.26,0.26,0.2115,0.2166,62786
20130405,0.188,0.2147,0.15,0.185,115711
20130412,0.19,0.19,0.17,0.175,44122
20130419,0.1745,0.1865,0.1499,0.1588,49393
20130426,0.1589,0.169,0.151,0.16,17837
20130503,0.16,0.165,0.15,0.152,12400
20130510,0.1551,0.285,0.1527,0.23,187723
20130517,0.23,0.2725,0.2218,0.24,89042
20130524,0.24,0.3847,0.24,0.3348,373601
20130531,0.39,0.4691,0.35,0.3802,457372
20130607,0.41,0.4237,0.3422,0.3762,155469
20130614,0.397,0.53,0.3823,0.4399,378606
20130621,0.437,0.49,0.4021,0.42,181043
20130628,0.41,0.424,0.3516,0.38,85336
20130705,0.3995,0.41,0.262,0.3271,155139
20130712,0.34,0.4197,0.3328,0.3896,98822
20130719,0.39,0.4148,0.3411,0.395,70856
20130726,0.4039,0.4045,0.37,0.3947,39804
20130802,0.4,0.479,0.3835,0.423,89575
20130809,0.44,0.56,0.4,0.4139,241496
20130816,0.415,0.445,0.375,0.3821,49197
20130823,0.385,0.4449,0.3616,0.4395,78917
20130830,0.44,0.578,0.435,0.525,247382
20130906,0.53,0.685,0.52,0.6829,197855
20130913,0.708,0.8,0.52,0.5578,387310
20130920,0.57,0.64,0.565,0.57,149903
20130927,0.598,0.703,0.5723,0.703,265228
20131004,0.75,0.752,0.6502,0.7125,240579
20131011,0.7178,0.77,0.545,0.68,292773
20131018,0.66,0.66,0.57,0.6254,96491
20131025,0.635,0.64,0.55,0.5821,81059
20131101,0.6,0.6298,0.57,0.5804,44168
20131108,0.57,0.5896,0.45,0.53,87532
20131115,0.54,0.73,0.523,0.6801,182924
20131122,0.7,0.71,0.62,0.6602,82829
20131129,0.68,0.7449,0.62,0.735,91073
20131206,0.75,2.2399,0.7401,2.059,1632132
20131213,1.93,2.17,1.48,2.09,815089
20131220,1.99,2.06,1.74,1.84,286093
20131227,1.86,1.86,1.55,1.66,139297
20140103,1.67,2.84,1.55,2.61,1170813
20140110,2.67,4.9,2.43,3.65,3616047
20140117,3.86,4.2,3.33,3.48,1267562
20140124,3.61,3.63,2.75,2.805,560030
20140131,2.94,3.25,2.22,3.02,893927
20140207,3.1,3.36,2.8,3.1,691292
20140214,3.63,3.95,3.43,3.78,1094943
20140221,3.88,3.92,3.36,3.63,396892
20140228,3.66,4.84,3.6,4.67,1437505
20140307,4.6,8.35,4.5,8.27,4152267
20140314,9.23,11.72,5.32,6.71,7538899
20140321,7.18,7.34,5.33,5.94,2341941
20140328,6.1,8.48,5.56,6.9,3242771
20140404,7.09,8.1,6.85,7.12,1836608
20140411,6.95,7.43,6.58,7.29,797153
20140417,7.37,7.7,6.53,7.32,711929
20140425,7.64,8.37,5.32,5.37,1670426
20140502,5.37,5.4,4.11,4.5,1212172
20140509,4.41,4.43,3.62,3.72,1170002
20140516,3.81,4.55,3.7,4.29,1551853
20140523,4.38,4.62,4.07,4.09,676896
20140530,4.0,4.61,3.95,4.35,555525
20140606,4.49,4.58,4.1701,4.39,416161
20140613,4.37,4.4,4.03,4.15,347675
20140620,4.13,5.25,4.05,4.8,1220198
20140627,4.88,4.94,4.37,4.73,668725
20140703,4.73,4.85,4.5,4.52,312449
20140711,4.56,4.59,4.14,4.23,233697
20140718,4.26,5.12,4.165,5.03,924263
20140725,5.18,6.33,5.06,5.42,1895330
20140801,5.46,6.08,5.13,5.38,714162
20140808,5.43,5.76,5.2,5.65,359956
20140815,5.78,6.47,5.56,5.9201,947021
20140822,5.99,6.02,5.71,5.89,367025
20140829,5.94,6.12,5.47,5.58,478302
20140905,5.58,5.64,5.17,5.43,278101
20140912,5.36,5.58,5.03,5.1,324826
20140919,5.05,5.0701,4.26,4.43,424525
20140926,4.42,4.65,4.0,4.35,570314
20141003,4.25,4.74,4.2,4.56,366643
20141010,4.55,4.65,4.23,4.44,314959
20141017,4.4,4.5,4.15,4.38,303862
20141024,4.33,4.52,4.25,4.34,196332
20141031,4.3,4.75,4.25,4.71,281060
20141107,4.82,5.48,4.81,5.3,662591
20141114,5.35,5.46,3.6,3.72,607911
20141121,3.82,4.16,3.7,3.93,313208
20141128,3.93,4.0288,3.79,3.82,110383
20141205,3.75,4.02,3.42,3.6,373177
20141212,3.54,3.6101,2.86,2.93,336630
20141219,3.0,3.125,2.6,3.05,314638
20141226,3.08,3.1466,2.93,3.08,131578
20150102,3.08,3.22,2.85,2.98,177128
20150109,3.07,3.13,2.92,3.01,205035
20150116,2.98,3.04,2.48,2.67,202465
20150123,2.7,2.95,2.55,2.87,145248
20150130,2.86,3.3,2.63,2.67,358306
20150206,2.67,2.97,2.62,2.91,140604
20150213,2.89,3.36,2.79,3.15,284738
20150220,3.13,3.28,3.02,3.24,201390
20150227,3.32,3.38,3.03,3.08,230980
20150306,3.06,3.14,2.91,2.97,174031
20150313,2.97,3.01,2.7,2.86,140399
20150320,2.85,2.9,2.42,2.66,197028
20150327,2.66,2.72,2.56,2.64,89453
20150402,2.65,2.73,2.48,2.56,148895
20150410,2.53,2.68,2.47,2.61,164586
20150417,2.61,2.82,2.58,2.67,176584
20150424,2.7,2.78,2.62,2.65,136006
20150501,2.67,2.68,2.48,2.49,98849
20150508,2.5,2.54,2.4,2.43,136002
20150515,2.37,2.73,2.32,2.61,203086
20150522,2.61,2.8,2.53,2.58,116741
20150529,2.56,2.7885,2.52,2.72,101706
20150605,2.72,2.85,2.64,2.74,150088
20150612,2.73,2.75,2.67,2.69,65402
20150619,2.67,2.72,2.55,2.6,69021
20150626,2.6,2.64,2.52,2.57,72294
20150702,2.52,2.54,2.22,2.32,124814
20150710,2.23,2.62,2.17,2.28,234385
20150717,2.31,2.39,2.26,2.38,80134
20150724,2.45,2.57,2.33,2.38,96915
20150731,2.38,2.59,2.31,2.59,83779
20150807,2.68,2.85,2.28,2.4,226070
20150814,2.39,2.44,2.23,2.29,101470
20150821,2.27,2.31,1.8,1.92,137759
20150828,1.6,2.0,1.555,1.76,282655
20150904,1.76,1.79,1.64,1.72,104004
20150911,1.75,1.79,1.68,1.7,69591
20150918,1.72,1.92,1.66,1.89,132525
20150925,2.01,2.33,1.92,1.93,300057
20151002,1.92,2.03,1.68,2.01,149109
20151009,2.02,2.35,2.02,2.32,160617
20151016,2.33,2.48,2.15,2.31,100602
20151023,2.42,2.56,2.2,2.31,156355
20151030,2.29,2.48,2.27,2.41,85690
20151106,2.42,2.98,2.4,2.76,287545
20151113,2.47,2.55,1.76,1.84,315612
20151120,1.91,1.96,1.81,1.9,105725
20151127,1.86,2.15,1.86,2.12,86233
20151204,2.15,2.23,2.02,2.08,89698
20151211,2.06,2.08,1.92,2.0,59284
20151218,2.0,2.35,1.95,2.22,142332
20151224,2.22,2.35,2.18,2.3,71400
20151231,2.28,2.335,2.0501,2.11,67421
20160108,2.0,2.11,1.9,1.92,87777
20160115,1.92,1.96,1.56,1.66,119419
20160122,1.67,1.82,1.3,1.82,125178
20160129,1.79,1.94,1.71,1.87,108289
20160205,1.9,1.9,1.6,1.68,59718
20160212,1.65,1.69,1.55,1.67,61861
20160219,1.7,1.89,1.695,1.75,67008
20160226,1.8,2.07,1.76,2.02,121188
20160304,2.05,2.25,2.03,2.11,107941
20160311,2.02,2.2,1.9,2.04,177522
20160318,2.03,2.09,1.92,2.08,95748
20160324,2.05,2.11,1.92,2.02,66074
20160401,2.02,2.14,1.95,2.04,92826
20160408,2.02,2.07,1.98,2.0,47280
20160415,2.0,2.19,1.985,2.11,79443
20160422,2.1,2.25,2.07,2.22,68135
20160429,2.24,2.28,2.01,2.06,80593
20160506,2.04,2.08,1.9,1.92,68736
20160513,1.9,1.96,1.74,1.79,72200
20160520,1.79,1.84,1.65,1.68,62918
20160527,1.68,1.84,1.68,1.82,45037
20160603,1.81,1.95,1.79,1.91,46001
20160610,1.91,2.04,1.8,1.8,71701
20160617,1.8,1.82,1.72,1.75,49007
20160624,1.75,1.82,1.66,1.71,94074
20160701,1.68,1.8975,1.6,1.86,84067
20160708,1.85,1.85,1.67,1.73,66264
20160715,1.71,1.77,1.66,1.68,67824
20160722,1.74,1.95,1.7,1.79,119347
20160729,1.79,1.87,1.75,1.79,78854
20160805,1.8,1.845,1.7,1.71,86586
20160812,1.73,1.76,1.68,1.69,36177
20160819,1.68,1.74,1.65,1.67,63822
20160826,1.67,1.71,1.64,1.67,74155
20160902,1.75,1.75,1.5,1.51,104163
20160909,1.51,1.53,1.36,1.37,87868
20160916,1.37,1.47,1.34,1.44,120154
20160923,1.45,1.71,1.43,1.63,123777
20160930,1.62,1.75,1.61,1.71,81495
20161007,1.7,1.76,1.65,1.67,63611
20161014,1.69,1.71,1.55,1.56,46040
20161021,1.55,1.63,1.49,1.62,47414
20161028,1.68,1.69,1.55,1.58,47780
20161104,1.59,1.59,1.42,1.42,53533
20161111,1.36,1.47,1.19,1.47,223247
20161118,1.48,1.58,1.365,1.48,235029
20161125,1.47,1.525,1.32,1.44,152055
20161202,1.45,1.45,1.33,1.43,194344
20161209,1.43,1.6,1.41,1.43,248627
20161216,1.43,1.45,1.29,1.32,182575
20161223,1.28,1.39,1.24,1.27,160405
20161230,1.27,1.3,1.18,1.2,127393
20170106,1.2,1.32,1.19,1.25,98219
20170113,1.26,1.28,1.22,1.25,87580
20170120,1.24,1.2635,1.18,1.18,92543
20170127,1.18,1.2,1.1,1.12,204215
20170203,1.11,1.1299,0.91,0.94,329416
20170210,0.94,1.23,0.83,1.18,359813
