Date,Open,High,Low,Close,Volume
20120330,68.14,68.51,67.2,67.55,1477773
20120405,67.46,68.55,66.91,67.72,1499690
20120413,66.88,67.48,65.92,66.19,2413566
20120420,66.53,67.17,65.24,65.68,2489993
20120427,65.09,67.45,64.45,67.24,2284597
20120504,67.02,67.63,64.7,64.7,2047358
20120511,64.3,65.07,63.48,64.18,2508975
20120518,63.63,64.27,60.76,60.81,2715903
20120525,60.92,62.95,60.85,62.07,2402079
20120601,62.63,63.15,60.39,60.41,1953531
20120608,60.57,63.18,60.04,62.87,2107081
20120615,63.33,63.38,61.68,62.99,2103159
20120622,62.74,64.57,62.62,63.35,1683544
20120629,62.83,64.16,61.54,64.16,1643263
20120706,64.24,65.25,63.65,64.12,1003133
20120713,64.03,64.51,61.86,63.38,1828484
20120720,63.26,65.31,62.63,64.235,1656271
20120727,63.0,64.99,62.15,64.87,1844108
20120803,65.01,65.88,63.91,65.6,1528808
20120810,65.94,66.92,65.8,66.86,1011484
20120817,66.84,68.33,66.5,68.32,1005038
20120824,68.26,68.88,67.6,68.29,1347915
20120831,68.6,68.67,67.47,68.16,1108044
20120907,68.03,69.55,67.42,69.43,1126360
20120914,69.26,70.43,68.21,70.18,1565775
20120921,70.2,70.58,69.87,70.15,1076015
20120928,69.56,70.08,67.85,68.57,1361355
20121005,68.9,69.8,68.13,68.98,1329289
20121012,68.59,68.72,66.55,66.68,1557464
20121019,66.93,68.3,65.6,65.68,1814894
20121026,65.62,66.19,64.65,65.35,1695588
20121102,65.32,66.21,64.73,65.17,840832
20121109,65.2,66.17,63.16,63.43,1894519
20121116,63.79,63.87,61.31,62.3,1882240
20121123,62.97,64.92,62.96,64.9,954156
20121130,64.77,66.14,64.25,65.8,1408864
20121207,66.32,66.37,64.53,64.93,1634022
20121214,64.75,66.34,64.47,64.69,1647400
20121221,64.73,66.76,64.6,65.2,1825620
20121228,65.06,65.18,63.6,63.78,975644
20130104,63.68,67.34,63.58,66.63,1631315
20130111,66.45,67.29,66.17,67.26,1116805
20130118,66.9,67.48,66.33,67.07,1350048
20130125,67.15,67.79,66.56,67.0,1186580
20130201,67.02,67.78,66.63,67.66,1346968
20130208,67.25,68.13,66.46,67.99,1501551
20130215,68.02,68.23,67.56,67.75,999047
20130222,67.9,68.26,66.23,67.14,1040289
20130301,67.6,67.81,65.96,67.38,1566191
20130308,67.19,69.02,67.07,68.77,1089434
20130315,68.68,69.01,68.34,68.51,1011907
