Date,Open,High,Low,Close,Volume
20210923  09:30:00,78.97,78.97,78.89,78.89,62
20210923  09:30:05,79.1,79.15,79.09,79.14,19
20210923  09:30:10,79.16,79.16,79.16,79.16,1
20210923  09:30:15,79.1,79.1,79.08,79.08,6
20210923  09:30:20,79.08,79.08,79.08,79.08,0
20210923  09:30:25,79.08,79.08,79.08,79.08,0
20210923  09:30:30,79.18,79.18,79.12,79.12,22
20210923  09:30:35,79.17,79.18,79.15,79.15,6
20210923  09:30:40,79.15,79.15,79.15,79.15,1
20210923  09:30:45,79.15,79.15,79.15,79.15,0
20210923  09:30:50,79.18,79.26,79.13,79.25,1194
20210923  09:30:55,79.24,79.38,79.22,79.28,125
20210923  09:31:00,79.24,79.27,79.14,79.2,194
20210923  09:31:05,79.2,79.4,79.17,79.4,49
20210923  09:31:10,79.4,79.75,79.38,79.75,677
20210923  09:31:15,79.72,79.88,79.68,79.86,271
20210923  09:31:20,79.83,79.88,79.7,79.81,80
20210923  09:31:25,79.8,79.95,79.79,79.88,191
20210923  09:31:30,79.89,79.9,79.64,79.67,200
20210923  09:31:35,79.67,79.81,79.66,79.78,160
20210923  09:31:40,79.72,79.72,79.51,79.61,115
20210923  09:31:45,79.61,79.73,79.61,79.73,30
20210923  09:31:50,79.73,79.81,79.53,79.56,115
20210923  09:31:55,79.53,79.64,79.52,79.53,76
20210923  09:32:00,79.52,79.54,79.34,79.4,219
20210923  09:32:05,79.35,79.62,79.35,79.62,93
20210923  09:32:10,79.62,79.7,79.55,79.63,113
20210923  09:32:15,79.65,79.65,79.5,79.51,89
20210923  09:32:20,79.55,79.55,79.35,79.35,67
20210923  09:32:25,79.39,79.45,79.31,79.31,32
20210923  09:32:30,79.34,79.36,79.23,79.25,45
20210923  09:32:35,79.28,79.3,79.23,79.27,44
20210923  09:32:40,79.18,79.23,79.11,79.11,78
20210923  09:32:45,79.12,79.26,79.12,79.22,133
20210923  09:32:50,79.23,79.31,79.23,79.31,73
20210923  09:32:55,79.32,79.32,79.1,79.1,77
20210923  09:33:00,79.08,79.1,78.9,78.91,127
20210923  09:33:05,78.87,78.87,78.73,78.8,91
20210923  09:33:10,78.8,78.8,78.57,78.63,228
20210923  09:33:15,78.65,78.65,78.54,78.54,54
20210923  09:33:20,78.58,78.71,78.4,78.62,363
20210923  09:33:25,78.66,78.85,78.66,78.85,133
20210923  09:33:30,78.8,78.8,78.56,78.62,79
20210923  09:33:35,78.61,78.61,78.42,78.42,65
20210923  09:33:40,78.47,78.71,78.46,78.63,109
20210923  09:33:45,78.66,78.73,78.58,78.73,146
20210923  09:33:50,78.66,78.73,78.6,78.68,103
20210923  09:33:55,78.68,78.72,78.66,78.66,16
20210923  09:34:00,78.63,78.79,78.59,78.62,171
20210923  09:34:05,78.64,78.73,78.63,78.67,46
20210923  09:34:10,78.66,78.66,78.51,78.62,64
20210923  09:34:15,78.62,78.75,78.58,78.59,59
20210923  09:34:20,78.62,78.64,78.52,78.52,66
20210923  09:34:25,78.56,78.57,78.35,78.39,171
20210923  09:34:30,78.39,78.43,78.3,78.3,92
20210923  09:34:35,78.29,78.31,78.25,78.27,119
20210923  09:34:40,78.31,78.35,78.23,78.27,76
20210923  09:34:45,78.25,78.42,78.24,78.38,213
20210923  09:34:50,78.38,78.38,78.3,78.3,66
20210923  09:34:55,78.33,78.33,78.21,78.23,75
20210923  09:35:00,78.21,78.23,78.03,78.06,143
20210923  09:35:05,78.03,78.17,78.03,78.13,191
20210923  09:35:10,78.16,78.17,78.1,78.11,59
20210923  09:35:15,78.12,78.16,78.1,78.15,47
20210923  09:35:20,78.15,78.18,78.12,78.16,66
20210923  09:35:25,78.15,78.18,78.01,78.08,186
20210923  09:35:30,78.05,78.15,78.05,78.12,101
20210923  09:35:35,78.11,78.13,78.07,78.07,73
20210923  09:35:40,78.07,78.08,78.02,78.03,204
20210923  09:35:45,78.07,78.07,77.82,77.82,251
20210923  09:35:50,77.87,77.92,77.78,77.88,204
20210923  09:35:55,77.89,77.89,77.8,77.84,108
20210923  09:36:00,77.81,77.82,77.73,77.81,123
20210923  09:36:05,77.81,78.04,77.81,78.01,184
20210923  09:36:10,78.07,78.07,77.98,77.99,171
20210923  09:36:15,77.99,78.05,77.98,78.0,205
20210923  09:36:20,77.95,78.16,77.94,78.06,318
20210923  09:36:25,78.07,78.1,78.03,78.06,102
20210923  09:36:30,78.09,78.1,77.97,78.1,108
20210923  09:36:35,78.01,78.07,78.01,78.05,57
20210923  09:36:40,78.01,78.07,78.01,78.04,46
20210923  09:36:45,78.01,78.06,77.99,78.05,69
20210923  09:36:50,78.05,78.05,77.9,77.96,39
20210923  09:36:55,77.91,77.95,77.89,77.89,34
20210923  09:37:00,77.93,77.93,77.83,77.85,162
20210923  09:37:05,77.89,77.9,77.83,77.89,70
20210923  09:37:10,77.88,77.88,77.87,77.88,30
20210923  09:37:15,77.87,77.87,77.81,77.82,41
20210923  09:37:20,77.83,77.86,77.7,77.76,146
20210923  09:37:25,77.73,77.79,77.73,77.75,41
20210923  09:37:30,77.75,77.75,77.56,77.59,165
20210923  09:37:35,77.6,77.63,77.51,77.54,154
20210923  09:37:40,77.51,77.62,77.46,77.62,316
20210923  09:37:45,77.63,77.68,77.59,77.62,54
20210923  09:37:50,77.63,77.64,77.55,77.57,39
20210923  09:37:55,77.55,77.59,77.53,77.57,67
20210923  09:38:00,77.59,77.6,77.55,77.55,74
20210923  09:38:05,77.6,77.63,77.52,77.63,79
20210923  09:38:10,77.64,77.72,77.62,77.69,78
20210923  09:38:15,77.67,77.81,77.67,77.78,84
20210923  09:38:20,77.78,77.78,77.68,77.69,83
20210923  09:38:25,77.69,77.77,77.67,77.77,82
20210923  09:38:30,77.77,77.89,77.75,77.86,50
20210923  09:38:35,77.85,77.85,77.75,77.75,34
20210923  09:38:40,77.8,77.8,77.75,77.78,96
20210923  09:38:45,77.77,77.9,77.74,77.89,69
20210923  09:38:50,77.87,77.93,77.86,77.92,50
20210923  09:38:55,77.96,78.01,77.95,78.0,68
20210923  09:39:00,78.0,78.09,77.95,78.05,54
20210923  09:39:05,78.13,78.3,78.05,78.15,174
20210923  09:39:10,78.15,78.26,78.15,78.22,68
20210923  09:39:15,78.19,78.19,78.12,78.16,78
20210923  09:39:20,78.18,78.25,78.15,78.21,117
