Date,Open,High,Low,Close,Volume
20211018  09:30:00,19.18,19.19,19.12,19.16,1886
20211018  09:30:05,19.14,19.19,19.12,19.15,473
20211018  09:30:10,19.12,19.19,19.12,19.19,274
20211018  09:30:15,19.16,19.16,19.13,19.14,18
20211018  09:30:20,19.15,19.2,19.14,19.19,116
20211018  09:30:25,19.18,19.21,19.16,19.17,158
20211018  09:30:30,19.21,19.21,19.19,19.2,18
20211018  09:30:35,19.19,19.2,19.17,19.17,89
20211018  09:30:40,19.18,19.19,19.14,19.19,206
20211018  09:30:45,19.15,19.18,19.14,19.14,50
20211018  09:30:50,19.16,19.17,19.13,19.16,121
20211018  09:30:55,19.16,19.2,19.15,19.18,280
20211018  09:31:00,19.16,19.24,19.16,19.23,309
20211018  09:31:05,19.22,19.24,19.22,19.24,34
20211018  09:31:10,19.24,19.24,19.22,19.22,149
20211018  09:31:15,19.22,19.25,19.22,19.24,96
20211018  09:31:20,19.23,19.26,19.22,19.23,264
20211018  09:31:25,19.23,19.25,19.23,19.23,64
20211018  09:31:30,19.25,19.32,19.24,19.29,326
20211018  09:31:35,19.3,19.31,19.29,19.3,16
20211018  09:31:40,19.31,19.32,19.29,19.29,220
20211018  09:31:45,19.3,19.3,19.28,19.29,49
20211018  09:31:50,19.29,19.29,19.28,19.29,54
20211018  09:31:55,19.27,19.3,19.27,19.3,7
20211018  09:32:00,19.3,19.33,19.3,19.32,264
20211018  09:32:05,19.33,19.33,19.31,19.33,8
20211018  09:32:10,19.33,19.33,19.32,19.33,35
20211018  09:32:15,19.33,19.33,19.32,19.33,3
20211018  09:32:20,19.32,19.33,19.31,19.32,17
20211018  09:32:25,19.31,19.32,19.3,19.31,127
20211018  09:32:30,19.32,19.32,19.29,19.3,6
20211018  09:32:35,19.32,19.33,19.3,19.3,24
20211018  09:32:40,19.31,19.32,19.3,19.3,33
20211018  09:32:45,19.31,19.31,19.3,19.31,2
20211018  09:32:50,19.3,19.32,19.29,19.32,37
20211018  09:32:55,19.31,19.31,19.3,19.31,41
20211018  09:33:00,19.31,19.32,19.31,19.31,24
20211018  09:33:05,19.32,19.34,19.31,19.33,174
20211018  09:33:10,19.34,19.36,19.32,19.32,620
20211018  09:33:15,19.32,19.34,19.32,19.33,34
20211018  09:33:20,19.33,19.34,19.32,19.32,68
20211018  09:33:25,19.32,19.33,19.32,19.33,14
20211018  09:33:30,19.33,19.34,19.33,19.33,53
20211018  09:33:35,19.33,19.34,19.32,19.32,95
20211018  09:33:40,19.33,19.34,19.33,19.33,168
20211018  09:33:45,19.34,19.36,19.32,19.32,140
20211018  09:33:50,19.33,19.36,19.32,19.34,247
20211018  09:33:55,19.32,19.33,19.31,19.33,52
20211018  09:34:00,19.33,19.33,19.32,19.32,24
20211018  09:34:05,19.33,19.36,19.32,19.35,117
20211018  09:34:10,19.37,19.37,19.34,19.37,311
20211018  09:34:15,19.35,19.37,19.33,19.35,74
20211018  09:34:20,19.36,19.39,19.35,19.37,398
20211018  09:34:25,19.37,19.4,19.36,19.39,164
20211018  09:34:30,19.38,19.39,19.37,19.38,14
20211018  09:34:35,19.37,19.37,19.35,19.36,36
20211018  09:34:40,19.35,19.37,19.35,19.35,27
20211018  09:34:45,19.36,19.39,19.36,19.37,187
20211018  09:34:50,19.35,19.37,19.35,19.37,7
20211018  09:34:55,19.36,19.36,19.35,19.35,6
20211018  09:35:00,19.38,19.39,19.37,19.38,127
20211018  09:35:05,19.38,19.39,19.36,19.38,55
20211018  09:35:10,19.39,19.43,19.37,19.4,155
20211018  09:35:15,19.41,19.42,19.39,19.39,33
20211018  09:35:20,19.41,19.42,19.4,19.42,72
20211018  09:35:25,19.42,19.43,19.4,19.43,36
20211018  09:35:30,19.43,19.45,19.4,19.45,50
20211018  09:35:35,19.45,19.45,19.44,19.45,28
20211018  09:35:40,19.45,19.46,19.43,19.44,85
20211018  09:35:45,19.43,19.47,19.4,19.41,190
20211018  09:35:50,19.43,19.44,19.4,19.42,55
20211018  09:35:55,19.41,19.43,19.39,19.39,123
20211018  09:36:00,19.39,19.41,19.38,19.41,17
20211018  09:36:05,19.4,19.41,19.39,19.41,8
20211018  09:36:10,19.41,19.41,19.39,19.39,17
20211018  09:36:15,19.4,19.4,19.4,19.4,6
20211018  09:36:20,19.4,19.42,19.4,19.41,62
20211018  09:36:25,19.41,19.42,19.41,19.42,24
20211018  09:36:30,19.41,19.42,19.41,19.41,32
20211018  09:36:35,19.41,19.42,19.41,19.41,5
20211018  09:36:40,19.43,19.43,19.41,19.43,29
20211018  09:36:45,19.43,19.43,19.41,19.42,20
20211018  09:36:50,19.43,19.45,19.42,19.45,8
20211018  09:36:55,19.45,19.46,19.43,19.46,38
20211018  09:37:00,19.45,19.46,19.43,19.44,82
20211018  09:37:05,19.44,19.44,19.42,19.42,82
20211018  09:37:10,19.42,19.44,19.42,19.43,30
